GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREAFUE,G16PREOWRI
44001440101,44,001,440101,985.34,499.8,57.96,21.85,1.9,35.16
44001440102,44,001,440102,1364.36,695.3,71.07,21.29,2.95,40.16
44001440103,44,001,440103,1108.92,458.13,58.06,16.45,0.01,47.35
44001440104,44,001,440104,1228.38,564.61,74.18,22.93,1.84,55.81
44001440105,44,001,440105,1349.21,616.23,73.8,24.86,4.07,62.1
44001440201,44,001,440201,497.62,468.72,42.35,11.55,1.92,24.06
44001440202,44,001,440202,373.26,184.7,37.71,9.67,0.97,17.41
44001440203,44,001,440203,1199.06,833.69,83.05,26.02,0,53.04
44001440204,44,001,440204,814.45,529.12,42.67,17.38,1.06,28.7
44001440205,44,001,440205,814.48,735.19,80.27,18.6,2.94,34.26
44001440206,44,001,440206,723,493,40,15,3,26
44001440207,44,001,440207,568.74,305.3,42.29,11.33,1.03,19.59
44001440208,44,001,440208,643,411,48,18,1,30
44001440209,44,001,440209,134,103,12,6,1,5
44001443401,44,001,443401,664.18,449.16,43.01,24,3,35.01
44001443402,44,001,443402,848.56,795.53,62.05,18.01,4,40.03
44001443403,44,001,443403,1198.65,762.58,72.59,32.43,3.07,47.9
44003440601,44,003,440601,380.29,546.57,45.95,7.1,3.95,12.1
44003440602,44,003,440602,102.22,113.39,18.04,3.44,1.72,8.59
44003440603,44,003,440603,768.3,1040.64,74.7,24.55,4.81,46.49
44003440604,44,003,440604,398.34,531.8,36.92,15.96,2,24.94
44003440605,44,003,440605,393.33,594.39,42.22,16.55,1.98,18.82
44003440606,44,003,440606,216.5,337.81,17.94,6.86,1,17.59
44003440607,44,003,440607,626.59,708.45,52.38,20.75,2.94,19.9
44003440608,44,003,440608,571.29,697.63,41.06,23.39,2.06,33.32
44003440609,44,003,440609,399.6,633.46,45.24,15.49,3.06,18.55
44003440610,44,003,440610,271,334,25,16,1,14
44003440611,44,003,440611,414.56,499.41,30.85,9.64,0,15.43
44003440612,44,003,440612,472.55,524.71,42.27,7.05,0.03,24.13
44003440613,44,003,440613,389.18,460.05,39.19,6.04,3.02,18.12
44003440614,44,003,440614,229,216.36,6.06,2,1.01,9.01
44003440615,44,003,440615,468.89,649.58,38.66,8.21,2,29.31
44003440616,44,003,440616,551.25,749.61,49.84,7.67,6.14,27.19
44003440617,44,003,440617,340.66,525.24,52.78,22.33,0.03,22.44
44003440618,44,003,440618,186,280,25,6,2,10
44003440901,44,003,440901,239.55,160.52,15.21,4.04,2,7.06
44003440902,44,003,440902,966.09,799.42,62.88,9.98,2,52.9
44003440903,44,003,440903,932.58,569.24,61.42,15.19,0.01,39.25
44003440904,44,003,440904,909.73,740.17,85.32,17.87,0.99,54.56
44003440905,44,003,440905,975.12,852.23,57.95,11.99,3,43.96
44003443501,44,003,443501,1059,741,78,24,3,42
44003443502,44,003,443502,938,722,57,29,1,43
44003443503,44,003,443503,487,379,33,9,2,19
44003443504,44,003,443504,886.01,502.6,55.66,17.37,2,36.55
44003443505,44,003,443505,300.2,292.89,21.32,8.38,0.01,10.25
44003443506,44,003,443506,295.56,298.58,34,15,0,14.04
44003443507,44,003,443507,172.46,129.38,12.03,5.01,0,11.02
44003443508,44,003,443508,692.17,593.21,50.8,27.22,2.83,45.9
44003443509,44,003,443509,181,148,9,6,0,6
44003443510,44,003,443510,536.52,436.48,32.37,16.67,0,25.5
44003443511,44,003,443511,829,725,41,19,3,30
44003443512,44,003,443512,522,507,37,25,0,28
44003443513,44,003,443513,683.57,676.11,62.77,20.63,4.67,34.64
44003443514,44,003,443514,921.06,905.13,54.16,36.06,4.01,57.08
44003443515,44,003,443515,863.01,887.84,64.55,25.82,4.97,33.77
44003443516,44,003,443516,239,256,21,10,1,11
44003443517,44,003,443517,260,314,30,8,2,11
44003443518,44,003,443518,877.33,933.03,83.45,24.85,4.97,46.71
44003443519,44,003,443519,865.6,942.51,78.08,29.04,4.01,51.02
44003443520,44,003,443520,687.43,667.95,46.72,22.21,4.04,30.4
44003443521,44,003,443521,650.14,664.82,57.67,22.88,3.2,27.48
44003443522,44,003,443522,484.52,525.5,46.04,16.02,0,18.02
44003443523,44,003,443523,847,814,73,21,1,46
44003443524,44,003,443524,576.78,585.54,48.56,20.49,0.13,31.84
44003443525,44,003,443525,642,659,37,21,2,38
44003443526,44,003,443526,248,182,13,2,1,13
44003443527,44,003,443527,619.69,572.6,57.26,24.94,1.99,34.19
