GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGJAN,G20PRECBLA,G20PREIPIE,G20PREOFUE,G20USSRSUL,G20USSDGRO,G20USSOHOW,G20HALRYOU,G20HALDGAL
0202017-425,02,020,17-425,430,598,29,17,0,1,0,418,598,69,446,626
0202017-430,02,020,17-430,280.92,447.88,19.99,3,2,1,0,265.93,452.88,43.99,294.92,443.88
0202018-435,02,020,18-435,253,339,7,0,3,2,0,270,316,7,247,356
0202018-440,02,020,18-440,224,411,12,12,3,1,0,239,404,20,235,441
0202018-445,02,020,18-445,421,637,43,12,5,5,0,438,624,52,447,652
0202018-450,02,020,18-450,343,633,19,19,0,0,0,357,577,60,376,613
0202018-455,02,020,18-455,282,467,14,3,2,1,0,255,473,53,264,526
0202018-460,02,020,18-460,314,715,22,7,5,5,4,318,711,34,327,722
0202018-465,02,020,18-465,156,335,2,11,5,0,0,138,356,24,157,337
0202018-470,02,020,18-470,150,291,5,5,0,0,0,139,311,7,137,325
0202018-475,02,020,18-475,201,270,14,3,0,0,0,212,231,22,222,252
0202018-480,02,020,18-480,416,596,19,7,1,1,0,441,562,10,420,586
0202019-500,02,020,19-500,285,470,20,4,4,0,7,273,453,48,291,483
0202019-505,02,020,19-505,367,562,28,7,7,0,0,317,574,71,352,599
0202019-510,02,020,19-510,424,547,25,10,9,0,1,431,531,51,452,555
0202019-515,02,020,19-515,235.08,279.12,15.01,3,1,0,0,196.07,307.12,42.01,227.08,317.12
0202019-520,02,020,19-520,332,475,7,9,1,0,0,312,469,36,319,494
0202019-525,02,020,19-525,332,792,15,19,0,11,5,347,719,62,381,736
0202020-530,02,020,20-530,353.41,803.55,36.84,11.53,0.01,0,3.84,372.53,753.61,55.13,380.23,806.76
0202020-535,02,020,20-535,465,887,38,9,2,6,0,476,888,48,461,933
0202020-540,02,020,20-540,134.4,212.48,7.91,8.89,0.99,0,0,154.17,210.5,11.86,155.16,217.42
0202020-545,02,020,20-545,186,250,8,5,0,0,0,195,244,5,198,250
0202020-550,02,020,20-550,116,211,3,0,0,0,0,109,213,12,114,220
0202020-555,02,020,20-555,346,839,19,8,1,6,0,391,761,37,362,826
0202020-560,02,020,20-560,263,635,17,3,0,0,0,305,596,11,281,626
0202020-565,02,020,20-565,183,350,8,2,0,0,0,204,323,4,215,299
0202020-570,02,020,20-570,323,673,14,5,4,3,0,305,649,57,315,690
0202021-600,02,020,21-600,336,709,18,5,0,0,0,389,680,10,371,680
0202021-605,02,020,21-605,680.25,673.37,26.54,14.75,2.95,0,0.98,713.67,646.82,38.34,706.79,696.96
0202021-610,02,020,21-610,518,795,37,5,8,0,1,594,696,52,570,772
0202021-615,02,020,21-615,486,528,19,7,12,8,0,522,525,27,504,580
0202021-620,02,020,21-620,381,496,25,13,0,2,0,406,475,39,406,506
0202021-625,02,020,21-625,502,806,25,11,0,1,1,525,761,46,512,816
0202021-630,02,020,21-630,281,509,18,9,3,3,0,272,525,40,277,552
0202021-635,02,020,21-635,494,899,34,5,3,5,1,546,834,43,532,876
0202022-640,02,020,22-640,811,850,23,11,3,5,0,850,772,63,828,869
0202022-645,02,020,22-645,1141,837,39,9,3,9,0,1258,706,67,1231,787
0202022-650,02,020,22-650,516,558,18,6,0,0,0,516,538,58,515,608
0202022-655,02,020,22-655,498,627,33,3,8,0,3,509,640,38,517,637
0202022-660,02,020,22-660,853,846,42,2,2,0,0,926,764,43,872,856
0202022-665,02,020,22-665,597,571,36,15,0,0,0,615,570,47,618,601
0202022-670,02,020,22-670,269,275,9,0,0,4,0,304,223,20,298,260
0202023-735,02,020,23-735,322,327,14,5,5,0,0,310,345,25,311,363
0202023-740,02,020,23-740,552,631,13,2,4,4,0,542,620,42,546,640
0202023-745,02,020,23-745,274,272,21,0,2,3,5,260,280,41,275,296
0202023-750,02,020,23-750,545,544,47,17,3,6,4,582,522,65,577,582
0202023-755,02,020,23-755,583,676,30,4,0,2,1,622,603,40,603,649
0202023-760,02,020,23-760,362,266,9,7,2,1,0,360,255,28,349,298
0202023-765,02,020,23-765,609,584,30,11,6,0,3,636,556,52,629,622
0202023-770,02,020,23-770,408,520,6,7,0,0,0,422,466,42,416,516
0202024-700,02,020,24-700,680,716,36,5,0,0,0,703,709,46,712,719
0202024-705,02,020,24-705,665,653,31,5,9,9,0,727,596,40,695,664
0202024-710,02,020,24-710,784,683,33,2,0,3,0,862,637,16,838,664
0202024-715,02,020,24-715,663,546,19,0,0,2,0,726,473,19,684,548
0202024-720,02,020,24-720,669,553,25,20,0,5,2,705,513,52,686,604
0202024-725,02,020,24-725,816,700,45,5,0,0,0,908,630,35,865,725
0202024-730,02,020,24-730,1102,897,33,9,6,5,5,1205,816,30,1184,829
0202025-840,02,020,25-840,213,275,6,6,0,0,0,208,259,29,225,258
0202025-845,02,020,25-845,1019,1089,60,21,2,0,8,1062,1014,83,1029,1149
0202025-850,02,020,25-850,610,720,28,6,0,0,0,669,640,19,625,694
0202025-855,02,020,25-855,725,737,14,10,8,2,0,733,738,48,731,768
0202025-860,02,020,25-860,679,759,34,10,5,7,7,685,731,81,688,792
0202025-865,02,020,25-865,510,450,20,4,2,2,0,524,447,29,493,513
0202025-870,02,020,25-870,652,582,39,10,4,3,0,676,549,61,671,612
0202026-800,02,020,26-800,729,696,16,2,6,2,0,740,640,69,754,672
0202026-805,02,020,26-805,699,688,36,0,9,6,0,790,635,17,767,649
0202026-810,02,020,26-810,794,515,34,17,0,3,0,880,442,25,847,490
0202026-815,02,020,26-815,923,658,31,12,6,1,0,1017,570,34,966,661
0202026-820,02,020,26-820,755,561,30,11,0,8,0,823,514,20,795,572
0202026-825,02,020,26-825,647,669,28,4,0,0,2,653,628,69,648,705
0202026-830,02,020,26-830,380,291,14,7,0,0,0,416,263,13,392,298
0202026-835,02,020,26-835,317,492,18,2,2,3,0,333,491,20,325,508
0202027-900,02,020,27-900,776,827,33,8,3,2,0,821,745,57,808,822
0202027-905,02,020,27-905,471,489,24,8,2,0,0,463,491,41,465,533
0202027-910,02,020,27-910,717.88,871.3,30.26,15.15,9.1,5,2,745.83,867.14,55.13,742.97,911.42
0202027-915,02,020,27-915,365.14,416.09,17.01,6,0,2,0,373.15,401.08,33.01,373.14,422.09
0202027-920,02,020,27-920,559.9,758.62,39.05,6.01,0,2,0,592.98,723.52,44.05,580.95,752.58
0202027-925,02,020,27-925,551,548,28,2,5,7,0,569,531,48,570,573
0202027-930,02,020,27-930,767,839,50,14,2,6,2,835,767,60,792,878
0202027-935,02,020,27-935,138,121,8,0,0,0,2,158,106,5,151,117
0202028-105,02,020,28-105,623,532,17,2,4,0,0,676,492,21,650,532
0202028-110,02,020,28-110,1172.91,781.11,37.7,11.25,0,4,0,1298.65,663.17,38,1234.06,789.81
0202028-115,02,020,28-115,759,389,34,5,0,3,0,819,380,24,798,423
0202028-120,02,020,28-120,853,567,17,6,0,3,3,912,538,25,879,602
0202028-125,02,020,28-125,494.09,497.89,13.3,4.75,0,0,0,546.35,441.83,19,515.94,492.19
0202028-130,02,020,28-130,135,237,6,0,2,3,0,126,259,18,140,251
0202028-135,02,020,28-135,430,1967,35,28,10,0,0,479,1917,57,465,1932
0202028-140,02,020,28-140,1113,854,40,8,0,0,0,1260,678,33,1192,793
0202028-145,02,020,28-145,584,454,19,4,0,3,0,638,422,9,628,430
0205037-746,02,050,37-746,3.18,43.09,0,1,0,0.03,0,12.15,22.13,11.98,19.15,26.12
0205038-800,02,050,38-800,109.53,108.84,0.99,1.4,4.51,1.27,0.07,75.08,113.12,35.64,113.49,115.16
0205038-802,02,050,38-802,49.44,80.1,0,5.59,7.45,3.72,0.93,25.22,97.8,27.02,49.43,98.74
0205038-804,02,050,38-804,39.96,78.77,0,1,1,1,0,53.9,47.88,14.97,65.87,47.89
0205038-806,02,050,38-806,24.22,29.9,0.39,2,4.1,5.11,1.29,16.98,34.39,14.57,30.63,38.38
0205038-808,02,050,38-808,292,433,17,7,1,7,5,289,408,56,323,425
0205038-810,02,050,38-810,296.53,346.41,16.63,5.54,3.7,0.92,0,295.6,327.93,46.19,324.24,338.1
0205038-812,02,050,38-812,26,153,9,9,1,3,1,35,134,27,43,154
0205038-814,02,050,38-814,14,14,1,0,1,0,0,15,14,1,19,11
0205038-816,02,050,38-816,0.97,18.5,0,0,0,0.97,0,4.87,10.71,2.92,6.82,11.68
0205038-818,02,050,38-818,68.69,103.3,11.59,2.85,0.41,1.44,0.08,69.61,100.94,17.66,75.31,113.39
0205038-820,02,050,38-820,26.7,79.61,1.06,1,0.02,0,0.01,48.6,44.63,11.17,47.78,60.61
0205038-822,02,050,38-822,11.65,85.04,0.08,5,1.02,2.02,0.06,25.19,68.15,10.53,24.78,78.1
0205038-824,02,050,38-824,76,125,3,3,2,0,0,37,149,25,60,150
0205038-826,02,050,38-826,73,94,3,14,2,0,1,64,84,40,86,107
0205038-828,02,050,38-828,22.77,176.21,0.99,3.95,2.01,8.86,0.98,43.08,140.83,30.86,132.02,76.9
0205038-830,02,050,38-830,45,46,1,1,1,0,0,34,56,8,49,45
0205038-832,02,050,38-832,27.86,58.69,2.97,3.96,1.98,0.99,0.99,31.87,49.67,16.88,56.67,39.77
0205038-836,02,050,38-836,36,57,0,3,1,0,0,48,35,13,60,39
0205038-838,02,050,38-838,61.23,96.78,0.99,0,0,0.99,0,50.36,97.76,14.81,48.39,111.59
0205038-840,02,050,38-840,19.2,69.82,0.87,1.75,0,0.87,0,27.93,56.73,6.11,21.82,70.69
0205038-842,02,050,38-842,23,24,1,6,3,8,1,19,32,17,26,43
0205038-844,02,050,38-844,33,43,1,1,0,0,1,18,54,9,21,60
0205038-846,02,050,38-846,68.9,43.28,3.53,0,0.88,0.88,2.65,49.47,47.7,22.08,74.2,45.93
0205038-848,02,050,38-848,73.73,116.99,0.98,3.93,2.95,4.92,2.95,44.24,153.37,15.73,78.65,132.72
0205038-852,02,050,38-852,48,167,3,0,3,0,2,44,167,18,59,162
0205038-854,02,050,38-854,26.74,97.06,0.99,1.98,0,3.96,0,54.47,63.38,9.9,53.48,74.28
0205038-856,02,050,38-856,45,121,4,6,1,1,1,50,91,31,62,115
0205038-858,02,050,38-858,16,146,1,8,0,2,0,28,117,25,41,131
0205038-860,02,050,38-860,13.53,37.52,1.04,2.06,1.02,0.05,0.01,21.84,22.1,11.26,32.08,24.11
0206037-722,02,060,37-722,141,73,3,1,0,0,0,140,68,7,143,74
0206037-734,02,060,37-734,132.54,82.61,0,0,2.72,0,0,138.89,68.09,6.35,137.08,77.16
0206037-748,02,060,37-748,10.66,18.28,0,0,0,0,0,0,12.19,0.76,16.76,10.66
0206309-650,02,063,09-650,511,357,42,8,0,1,0,503,369,53,468,456
0206309-655,02,063,09-655,288,197,17,5,4,3,0,274,194,34,258,252
0206309-660,02,063,09-660,545.52,308.17,24.93,9.97,0,1,0,532.56,288.22,41.89,530.56,331.1
0206309-665,02,063,09-665,126.98,90.56,1.05,0.02,0,3,0,126.96,61.52,16.08,119.96,88.6
0206332-805,02,063,32-805,377.09,392.06,25.94,10.97,3.99,0,0,339.18,427.97,42.9,354.15,438.94
0206332-850,02,063,32-850,14.65,19.26,2.81,1.86,0.01,0,0.92,16.39,16.6,5.6,14.59,26.7
0206606-020,02,066,06-020,108,14,0,1,1,0,2,92,18,9,98,26
0206606-025,02,066,06-025,372.6,196.85,12.97,6.21,1,5,1.24,349.34,194.73,35.05,355.52,220.9
0206606-035,02,066,06-035,122,53,8,0,0,0,0,111,65,6,105,76
0206606-047,02,066,06-047,155.4,37.15,3.03,3.79,0,0,0.76,132.66,49.27,18.95,139.48,56.1
0206606-053,02,066,06-053,9.56,36.2,2.73,0.68,0,1.37,0,8.2,34.83,8.2,18.44,29.37
0206606-060,02,066,06-060,3.88,5.17,0,0.29,0,0,0,4.23,4.11,0.53,4.7,4
0206606-090,02,066,06-090,0,0,0,0,0,0,0,0,0,0,0,0
0206609-632,02,066,09-632,294,63,12,0,0,1,0,280,84,13,272,96
0206806-005,02,068,06-005,72.29,14.14,0.79,0.79,0,0.79,0,64.43,18.86,9.43,69.14,20.43
0206806-012,02,068,06-012,116,71,6,1,3,0,0,112,59,14,107,81
0206806-024,02,068,06-024,61.46,26.89,0,0,0,0,0,57.62,27.85,0,58.58,26.89
0206806-026,02,068,06-026,11,141,1,3,0,0,0,13,139,0,12,141
0206806-040,02,068,06-040,373.93,233.69,20.64,3.21,3.09,3.03,0,368.29,212.54,30.67,344.75,274.73
0207037-702,02,070,37-702,73.53,24.84,0,2.98,0.99,0,0,60.61,32.79,12.92,68.56,35.77
0207037-710,02,070,37-710,59.63,64.37,2.6,0.92,1.68,0.15,0,53.98,70.64,4.89,58.56,68.35
0207037-714,02,070,37-714,330.37,356.63,14.4,5.08,9.32,0.85,0,299.02,391.36,27.11,324.44,378.65
0207037-718,02,070,37-718,34,23,3,0,1,3,0,27,36,3,38,23
0207037-724,02,070,37-724,39,40,0,0,1,0,0,38,39,1,38,39
0207037-732,02,070,37-732,92.89,72.76,2.38,2.95,1.12,0.04,0.07,71.75,86.54,11.04,93.55,79.56
0207037-736,02,070,37-736,43,254,5,3,8,2,2,55,237,24,113,199
0207037-754,02,070,37-754,143.72,125.03,11.5,1.04,3.84,0.95,1.91,124.05,130.19,34.62,160.89,125.23
0209001-446,02,090,01-446,828.09,703.41,70.78,4.93,7.85,3.93,0.01,824.11,689.55,93.5,814.3,777.2
0209001-455,02,090,01-455,162,141,3,3,0,0,0,151,134,17,166,134
0209001-465,02,090,01-465,223,253,21,2,3,0,1,216,224,47,219,266
0209001-470,02,090,01-470,380,380,18,4,0,6,1,382,366,26,393,378
0209001-475,02,090,01-475,234.58,320.36,10.25,2.09,7.14,1.07,0,240.51,271.12,34.65,242.34,310.66
0209001-480,02,090,01-480,685.6,621.64,36.98,12.99,2,1,0,724.58,538.69,57.97,675.61,656.62
0209001-485,02,090,01-485,343.29,416.27,27.99,0.02,2.01,3.01,0,335.24,425.27,41.07,342.24,447.34
0209001-490,02,090,01-490,450.49,477.78,11.69,18.47,9.73,7.78,0,406.73,481.67,81.71,410.62,549.76
0209001-495,02,090,01-495,192,161,16,2,2,1,0,196,159,13,201,159
0209002-345,02,090,02-345,1574.13,571.02,105.12,0.12,4.99,4.96,0,1386.58,467.16,196.08,1419.88,650.68
0209002-355,02,090,02-355,641.49,547.5,31.98,10.66,0.97,8.72,3.88,586.26,549.43,49.42,556.22,602.73
0209002-365,02,090,02-365,1053.9,740.42,81.7,18.01,12,0,5,1020.74,646.3,86.39,1014.68,714.58
0209002-375,02,090,02-375,400.03,245.4,68.95,1.13,0.07,0.17,0.05,382.24,232.32,40.57,376.31,261.91
0209003-130,02,090,03-130,1369.67,509.64,67.29,14.21,4.05,0.03,4.03,1344.62,485.93,107.84,1338.42,573.74
0209003-135,02,090,03-135,1292.88,361.29,62.7,11.94,7.96,2.99,0,1253.07,362.28,118.44,1248.09,446.88
0209003-165,02,090,03-165,1508.64,452.8,91.78,7.04,7.03,5.01,0.08,1494.54,466.37,104.09,1484.06,559.64
0209003-175,02,090,03-175,698.76,294.14,48.88,6.23,5.11,3.08,2.38,709.43,238.62,75.67,689.65,345.37
0209003-183,02,090,03-183,1250.35,305.26,48.2,2.84,2.84,1.89,1.89,1245.63,275.97,80.33,1230.51,359.13
0209004-230,02,090,04-230,274,679,24,8,4,1,0,292,651,32,284,673
0209004-240,02,090,04-240,711.03,1020.88,45.09,24.01,2.01,10,1,763.03,985.86,56.12,728.02,1074.97
0209004-250,02,090,04-250,358,731,41,9,1,4,0,365,757,41,364,759
0209004-260,02,090,04-260,418.44,1051.96,41.23,12.8,1.1,0.97,0.97,420.43,1070.54,45.48,422.46,1065.89
0209004-265,02,090,04-265,1439.45,780.39,62.08,16.72,11.64,7.01,1.01,1465.1,769.68,100.55,1448.9,885.36
0209004-270,02,090,04-270,1383.59,863.64,92.93,21.28,6.36,5.99,0.99,1391.94,867.35,120.45,1386.14,1031.66
0209004-280,02,090,04-280,98.06,207.5,15.76,0.88,0.88,0,0,112.07,187.36,11.38,98.93,223.26
0209005-580,02,090,05-580,140,72,11,1,0,2,0,139,83,9,137,98
0209005-582,02,090,05-582,1486.76,1505.52,93.65,30.86,12.94,4.02,0,1545.38,1483,99.25,1465.79,1658.21
0209005-586,02,090,05-586,535.4,679.36,36.02,7.01,5,3,3,556.42,671.31,44.03,558.39,681.38
0209005-587,02,090,05-587,196.35,114.31,6.92,1.7,0.28,0.38,0.07,187.12,118.45,15.15,191.66,129.31
0209005-588,02,090,05-588,253.62,220.44,16.83,3.98,1.98,0.01,0,267.44,212.56,20.76,273.13,210.99
0209005-590,02,090,05-590,254.43,86.56,17.49,0.87,0,0,2.62,246.56,81.31,35.85,256.18,111.91
0209005-592,02,090,05-592,295.3,460.35,20.88,3.98,0,0.99,0.99,286.35,440.47,44.74,288.34,491.17
0209005-594,02,090,05-594,30,78,3,3,0,0,0,31,80,1,27,88
0209005-596,02,090,05-596,875,994,51,16,1,7,1,916,942,60,895,1008
0209006-145,02,090,06-145,455.92,200.97,57.99,4,3,0,0,445.92,218.96,31.99,441.92,248.96
0209006-150,02,090,06-150,317.94,93.98,15,9,0,1,1,283.94,92.98,62.99,330.93,105.98
0209006-155,02,090,06-155,260.84,63.8,6.61,3.73,0.94,1.86,0,245.97,72.13,16.9,252.43,73.23
0209006-160,02,090,06-160,679.03,153.5,20.25,8.15,3.03,2.08,0,654.42,166.85,30.69,673.66,186.84
0209006-170,02,090,06-170,529.3,282.25,38.36,12.97,0.19,0,0,531.14,265.75,39.11,536.18,297.35
0209006-180,02,090,06-180,622.29,261.3,25.16,3.87,5.81,0,0,588.42,270.01,47.42,621.32,270.01
0210033-545,02,100,33-545,842.35,1329.89,25.93,18.03,11.95,2.99,0.03,871.2,1274.2,57.88,870.19,1301.24
0210033-550,02,100,33-550,140,245,2,0,0,0,0,133,243,8,127,263
0210533-505,02,105,33-505,177.36,543.73,14.07,5.05,2.03,0.01,0,175.45,575.57,14.16,183.44,552.65
0210533-530,02,105,33-530,17.83,37.86,0.37,0.43,0,0.18,0,17.95,36.58,1.7,17.77,38.89
0210533-555,02,105,33-555,11,143,2,2,0,2,0,4,137,14,22,136
0210535-700,02,105,35-700,69.59,420.26,4.24,6.08,5.04,0.02,0,89.61,316.97,51.34,136.69,313.15
0210535-720,02,105,35-720,265,418,7,6,2,2,3,256,353,54,266,421
0210535-750,02,105,35-750,43,57,0,2,0,0,0,36,48,7,44,46
0210535-755,02,105,35-755,0,0,0,0,0,0,0,0,0,0,0,0
0210535-775,02,105,35-775,17.36,85.73,2.07,0.05,0.03,0.01,0,13.45,97.57,2.16,17.44,88.65
0211033-500,02,110,33-500,318.49,1147.94,28.77,9.92,4.96,1.98,0,320.47,1113.22,42.66,331.39,1133.06
0211033-510,02,110,33-510,265.79,725.43,42.97,11.99,2,4,0,306.76,686.47,19.98,275.79,766.4
0211033-515,02,110,33-515,183,713,23,7,0,7,0,173,782,23,163,797
0211033-520,02,110,33-520,134,364,14,3,0,0,0,142,364,8,132,385
0211033-525,02,110,33-525,471,1028,23,13,2,2,3,427,1013,83,455,1086
0211033-530,02,110,33-530,275.3,584.51,5.66,6.58,0,2.82,0,277.2,564.76,26.31,274.37,600.49
0211034-400,02,110,34-400,498.8,694.59,37.39,6.89,0,0,1.97,523.4,715.25,25.58,526.35,684.75
0211034-410,02,110,34-410,493.2,729.41,31.61,4.11,3,6,3.03,508.6,688.75,57.42,510.65,736.25
0211034-420,02,110,34-420,456,641,18,3,3,0,0,478,627,19,461,648
0211034-430,02,110,34-430,676,840,50,18,8,11,0,673,826,84,665,926
0211034-440,02,110,34-440,673,924,35,3,14,6,1,691,889,73,680,948
0211034-450,02,110,34-450,639,718,43,15,0,11,0,651,740,53,625,829
0211034-460,02,110,34-460,1108,1231,64,18,8,0,0,1143,1137,116,1100,1329
0212229-100,02,122,29-100,645.35,538.49,26.26,13.43,1.87,0.34,0.07,623.51,531.79,62.6,625.25,578.89
0212229-110,02,122,29-110,128.07,198.09,11,6,0,0,0,133.07,201.09,9,131.07,193.08
0212229-115,02,122,29-115,625.74,202.99,9.53,6.56,0.23,0.01,0,601.23,191.59,40.43,606.85,227.25
0212229-120,02,122,29-120,47,121,2,2,0,1,0,40,136,6,49,119
0212229-130,02,122,29-130,525.23,161.67,12.37,2.05,2.08,0.03,0.01,512.07,189.66,15.63,521.19,182.87
0212229-140,02,122,29-140,173.06,133.57,1.53,2.23,5.08,0,0,170.41,129.52,10.27,171.71,129.64
0212229-150,02,122,29-150,1416.96,371.81,39.61,7.87,1.79,2.08,2,1343.47,365.87,106.78,1372.16,431.81
0212229-160,02,122,29-160,1326.04,242.19,30.39,10.13,9.21,0.92,0,1250.53,266.13,102.22,1281.84,335.19
0212229-170,02,122,29-170,420.09,499.82,15.72,5.56,0.13,4.66,0.93,439.9,432.62,42.34,451.14,453.5
0212229-180,02,122,29-180,1081.08,251,22.73,4.94,2.96,0.99,0,1071.2,216.41,56.33,1063.29,281.63
0212229-190,02,122,29-190,1087.09,274.09,19.2,8.26,2.73,0,0,1063.18,272.16,45.9,1074.15,277.08
0212230-200,02,122,30-200,1124.98,343.46,39.03,0,1.95,2.93,0,1087.91,296.62,76.1,1100.59,371.75
0212230-210,02,122,30-210,1670.07,501.24,62.54,18.22,5.1,3.07,1,1661.2,485.07,90.13,1644.13,588.06
0212230-220,02,122,30-220,1312,562,52,7,1,6,1,1253,518,115,1238,646
0212230-230,02,122,30-230,740,314,20,4,1,0,0,728,304,50,740,323
0212230-240,02,122,30-240,587.47,229.56,26.23,3.75,0.94,0,0,588.39,212.71,37.48,581.85,248.29
0212230-250,02,122,30-250,1741.29,691.43,69.85,8.99,15.92,4.97,0.99,1711.42,689.27,117.73,1733.25,729.42
0212231-300,02,122,31-300,1337,731,47,15,10,5,3,1302,732,80,1338,757
0212231-310,02,122,31-310,252.96,344.51,10.75,1.5,0.07,2.55,0.05,252.76,321.27,19.48,257.01,331.26
0212231-320,02,122,31-320,404.23,199.28,11.01,8,0,0,0,384.22,229.28,21.01,387.24,243.25
0212231-340,02,122,31-340,883.01,274.26,46.62,6.53,0,0,0,856.9,293.84,61.54,844.8,406.63
0212231-350,02,122,31-350,785.89,856.41,38.28,9.85,7.03,4.51,0.02,784.81,827.58,64.38,779.26,890.53
0212231-360,02,122,31-360,756.19,803.83,33.64,13.19,3.11,2.16,2.16,747.33,799.25,60.69,768.86,796.37
0212231-370,02,122,31-370,545.96,878.25,22.33,19.46,1.79,1.78,1.78,544.1,858.89,38.45,547.87,851.84
0212231-380,02,122,31-380,1146.33,425.03,32.18,13.02,5,2,0,1093.23,433.11,80.23,1117.18,508.53
0212231-390,02,122,31-390,802,519,5,13,0,0,0,741,547,68,770,571
0212232-847,02,122,32-847,213.94,205.05,8.22,2.45,0,0.01,0,206.19,206.3,12.28,218.34,198.16
0212232-855,02,122,32-855,2.01,88.12,0,2,0,0,0,12.05,68.03,3.06,17.08,63.06
0213036-600,02,130,36-600,463,447,41,9,3,2,2,434,441,78,455,495
0213036-610,02,130,36-610,704,541,41,11,5,6,0,682,540,69,684,599
0213036-620,02,130,36-620,632,361,32,4,2,0,2,605,384,39,617,391
0213036-640,02,130,36-640,501,221,21,2,2,0,1,500,198,42,503,240
0213036-650,02,130,36-650,887.67,394.41,36.57,11.86,2.97,0,0,865.92,415.17,49.42,876.8,446.8
0213036-660,02,130,36-660,57.82,118.57,0,0.98,0.98,1.96,0.98,56.84,80.35,26.46,69.57,94.07
0213036-670,02,130,36-670,783.77,532,40.64,11.59,1.46,2.6,0.22,793.01,531.89,42.75,802.35,552.78
0215032-800,02,150,32-800,55,37,0,5,0,0,0,50,44,5,60,32
0215032-810,02,150,32-810,584,398,26,6,0,0,0,587,382,31,576,406
