GEOID,G16PREDCLI,G16PRERTRU,G16PREGSTE,G16PRELJOH,G16HALDROC,G16HALRREI,G16HALGPER,G16HALLGES,G16GOVDCAR,G16GOVRBON,G16GOVGGRO,G16GOVLGOW,G16LTGDHAL,G16LTGRGUN,G16INSDNAV,G16INSRCRA
100010430001043,5.5,8.2,0.3,0.6,6.1,7.1,0.4,0.2,6.3,7.3,0.3,0.2,7.1,6.7,6.1,7.5
100010430001019,0.2,0.3,0,0,0.2,0.3,0,0,0.2,0.3,0,0,0.3,0.3,0.2,0.3
100010430001014,0.4,0.6,0,0,0.5,0.5,0,0,0.5,0.6,0,0,0.5,0.5,0.5,0.6
100010430001024,5.5,8.2,0.3,0.6,6.1,7.1,0.4,0.2,6.3,7.3,0.3,0.2,7.1,6.7,6.1,7.5
100010431002065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010431002082,0.8,3.2,0.1,0.1,1,2.8,0.1,0.1,1.1,2.9,0.1,0,1.4,2.6,1,3
100010431002083,0.5,1.8,0,0.1,0.6,1.6,0.1,0,0.6,1.7,0,0,0.8,1.5,0.5,1.7
100010431002056,0.3,1.4,0,0,0.4,1.2,0.1,0,0.5,1.3,0,0,0.6,1.1,0.4,1.3
100010431002136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010429001054,3.1,9.6,0.1,0.4,3.3,9.1,0.2,0.2,4.2,8.7,0.1,0.1,4.2,8.6,3.6,9.2
100010430003031,0.8,1.6,0,0.1,0.8,1.4,0.1,0,0.9,1.4,0,0,1.1,1.3,0.9,1.4
100010430002036,0.8,1.3,0,0.1,0.9,1.1,0.1,0,1,1.1,0,0,1.1,1,0.9,1.2
100010430002015,2.5,3.8,0.1,0.3,2.8,3.3,0.2,0.1,2.9,3.4,0.1,0.1,3.3,3.1,2.8,3.5
100010430001016,0.2,0.3,0,0,0.2,0.3,0,0,0.2,0.3,0,0,0.3,0.3,0.2,0.3
100010421002008,16.5,20.6,0.4,1.4,16.8,20.4,0.1,0.3,17.5,20.1,0.1,0.3,18,19,17.1,19.8
100010421002015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010421002024,0.4,0.8,0,0.1,0.4,0.8,0,0,0.5,0.8,0,0,0.6,0.7,0.5,0.7
100010422011054,46.1,46.3,1,4.4,45.4,46.1,2,1.8,47.7,45.8,0.9,1.5,51.6,42.8,47.8,45
100010422022019,8.5,13.9,0.3,1.2,8.6,13.8,0.4,0.2,9.1,14.1,0.2,0.2,10.5,12.2,9.2,13.5
100010421001032,3.8,6.9,0.2,0.5,3.8,6.8,0.4,0.1,4.5,6.8,0.1,0.1,5.1,6,4.5,6.5
100010421002032,1.6,2.3,0.1,0.1,1.5,2.1,0.1,0,1.7,2.2,0,0,1.8,2,1.6,2.2
100010421002031,0.3,0.4,0,0,0.3,0.4,0,0,0.3,0.4,0,0,0.3,0.3,0.3,0.4
100010422012016,14.7,18.2,0.3,1.2,14.1,18.3,0.6,0.7,14.9,18.6,0.3,0.3,16.3,16.9,14.7,18.3
100010422022069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010422022073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010417012038,15.7,15.6,0.5,1.4,14.9,15,0.7,0.6,16.3,14.9,0.3,0.5,16.5,14.8,16,14.5
100010417022026,96,93.1,2.1,8.8,90.7,94.4,4,3.6,98.1,92.4,2.1,3.2,99.8,91.4,97.7,92.3
100010418022032,0.9,0.7,0,0.1,0.9,0.8,0,0,0.9,0.8,0,0,1,0.7,0.9,0.7
100010428002081,5.5,10.6,0.2,0.5,5.7,9.9,0.3,0.3,6.4,9.5,0.2,0.2,7,9,5.8,10
100010428001058,4.3,18.7,0.3,0.8,5.3,16.8,0.4,0.4,6.6,16.4,0.3,0.3,8.4,14.5,6.1,16.6
100010428001027,0.4,1.9,0,0.1,0.5,1.7,0,0,0.7,1.6,0,0,0.8,1.5,0.6,1.7
100010428001029,0.2,0.9,0,0,0.3,0.8,0,0,0.3,0.8,0,0,0.4,0.7,0.3,0.8
100010428003023,6.8,9.5,0.3,0.7,6.9,9.1,0.4,0.2,7.5,9.1,0.2,0.1,8.1,8.3,7.2,9.2
100010428003020,6.2,8.7,0.2,0.6,6.4,8.3,0.4,0.2,6.8,8.3,0.2,0.1,7.4,7.6,6.6,8.4
100010428003094,5.1,7.2,0.2,0.5,5.2,6.8,0.3,0.2,5.6,6.8,0.2,0.1,6.1,6.3,5.4,6.9
100010428003064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010428003067,3.8,11.9,0.4,0.7,4.8,10.7,0.5,0.2,4.8,11.5,0.3,0.1,6.7,9.6,4.4,11.6
100010428003063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010428003086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010428003007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010428003017,0.6,0.8,0,0.1,0.6,0.8,0,0,0.6,0.8,0,0,0.7,0.7,0.6,0.8
100010428003018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010402022090,4.3,3.5,0.1,0.2,4.3,3.4,0.1,0.1,4.6,3.2,0.1,0.1,4.7,3.1,4.5,3.2
100010402022116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010402021132,11.1,8,0.2,0.7,10.8,7.3,0.3,0.3,12,6.7,0.2,0.2,11.9,6.9,12.2,6.5
100010402021105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010402021059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010402012044,21.8,18.5,0.8,2.3,22.5,16.5,1.2,0.8,24.5,15.7,0.7,0.6,26.7,14.3,24.3,16.4
100010402022074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010402021158,13.4,9.7,0.2,0.8,13.1,8.8,0.4,0.4,14.5,8.1,0.3,0.2,14.4,8.3,14.7,7.9
100010402022045,13.5,9,0.4,0.7,13.2,7.7,0.6,0.4,14.4,7.5,0.3,0.2,13.6,8.3,14.3,7.3
100010430003043,22.4,44.1,1.2,2.3,23.3,40,1.4,1,26.2,40.3,0.9,0.8,29.9,36.2,24.3,40.4
100010429002052,5.6,17.7,0.2,0.8,6.1,16.7,0.4,0.3,7.7,16.1,0.3,0.2,7.8,15.8,6.7,16.9
100010429002031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010429002039,0.2,0.4,0,0,0.2,0.4,0,0,0.2,0.4,0,0,0.3,0.4,0.2,0.4
100010401001003,13.3,26.6,0.6,2,14.9,23.7,0.9,1.2,17.8,22.7,0.6,0.6,20.7,20.1,16.8,23.1
100010401001036,39.3,62.8,1.8,4.1,42.4,56.5,3.2,1.6,50.1,53.4,1.3,1.1,52.4,50.2,46,55.8
100010401002017,14.5,23.2,0.7,1.5,15.7,20.9,1.2,0.6,18.5,19.7,0.5,0.4,19.4,18.6,17,20.6
100010401003008,1.7,2.7,0.1,0.2,1.8,2.4,0.1,0.1,2.1,2.3,0.1,0,2.2,2.1,2,2.4
100010401002021,11.7,33.6,0.8,1.7,13.8,29.8,1.2,1,16.5,28.9,0.6,0.6,19.5,26,14.5,30.5
100010409001002,6.8,3.8,0.2,0.6,6.3,3.9,0.3,0.1,6.5,4.2,0.2,0.1,6.6,4.1,6.6,3.9
100010410002005,5.2,10.4,0,0.8,5.1,10,0.4,0.2,5.6,9.9,0.3,0.2,6.6,9,5.5,10.2
100010412002017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010416001063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010412001035,2.8,2.5,0.1,0.2,2.7,2.6,0.1,0.1,2.8,2.5,0.1,0.1,3,2.3,2.8,2.4
100010418013002,12.4,7.2,0.3,0.8,12.4,7.2,0.4,0.4,12.7,7.4,0.2,0.2,12.7,7.6,12.5,7.4
100010418022047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010417021021,14.4,18.5,0.4,1.2,13.5,19.5,0.6,0.4,15.3,18.3,0.2,0.2,17.5,16,14.1,19.1
100010411002000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010411002067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010411002054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010416001068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010416001052,8.9,14.7,0.2,1.7,9.1,15.7,0.3,0.2,9.4,15.8,0.3,0.3,12,12.9,9.4,15.2
100010433001022,0.2,0.1,0,0,0.2,0.1,0,0,0.2,0.1,0,0,0.2,0.1,0.2,0.1
100010414001065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010417011049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010417012002,3,3.5,0.1,0.4,2.9,3.7,0.1,0.1,3.3,3.4,0.1,0.1,3.6,3.1,3.2,3.5
100010428002003,18.9,36.6,0.8,1.8,19.6,34.2,1,0.9,22.3,33,0.7,0.7,24.1,31.1,20.3,34.8
100010428002051,14.4,20.3,0.5,1.4,14.7,19.3,0.8,0.5,15.9,19.3,0.5,0.2,17.2,17.7,15.2,19.5
100010429002056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010431002109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010431002111,0.6,2.3,0,0.1,0.7,2,0.1,0.1,0.8,2.1,0,0,1,1.8,0.7,2.1
100010430002057,0.4,0.6,0,0,0.5,0.5,0,0,0.5,0.6,0,0,0.5,0.5,0.5,0.6
100010431002001,1.2,5.1,0.1,0.2,1.5,4.4,0.2,0.1,1.8,4.6,0.1,0,2.1,4.1,1.5,4.7
100010431001017,0.9,5.1,0,0.1,1.1,4.6,0.1,0.1,1.6,4.3,0.1,0.1,1.9,3.9,1.3,4.6
100010430002114,3,5.9,0.2,0.3,3.1,5.4,0.2,0.1,3.5,5.4,0.1,0.1,4,4.9,3.3,5.4
100010431002123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010431002104,1.4,5.5,0.1,0.2,1.7,4.8,0.2,0.1,1.9,5,0.1,0,2.3,4.4,1.6,5.1
100010430002035,4.9,7.3,0.3,0.5,5.4,6.3,0.3,0.2,5.6,6.5,0.2,0.1,6.3,6,5.4,6.6
100010431001014,0.3,1.4,0,0.1,0.4,1.3,0,0,0.5,1.2,0,0,0.6,1.1,0.5,1.2
100010401003005,31.2,49.8,1.5,3.3,33.7,44.9,2.6,1.3,39.8,42.4,1,0.9,41.6,39.9,36.5,44.3
100010401003024,0.7,1.1,0,0.1,0.8,1,0.1,0,0.9,1,0,0,1,0.9,0.8,1
100010401003038,5.1,11,0.3,0.6,5.7,9.8,0.5,0.3,6.3,9.9,0.2,0.1,7.3,8.9,5.8,10.1
100010401003034,5.5,8.7,0.3,0.6,5.9,7.9,0.5,0.2,7,7.4,0.2,0.2,7.3,7,6.4,7.8
100010401003016,9.8,15.6,0.5,1,10.5,14,0.8,0.4,12.5,13.3,0.3,0.3,13,12.5,11.4,13.9
100010401003017,1.4,4.1,0.1,0.2,1.7,3.6,0.1,0.1,2,3.5,0.1,0.1,2.4,3.2,1.8,3.7
100010401002018,1,1.5,0,0.1,1,1.4,0.1,0,1.2,1.3,0,0,1.3,1.2,1.1,1.4
100010401003021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010401001014,6.2,12.5,0.3,1,7,11.1,0.4,0.6,8.3,10.6,0.3,0.3,9.7,9.4,7.9,10.8
100010401001032,2.3,4.6,0.1,0.3,2.6,4.1,0.2,0.2,3.1,3.9,0.1,0.1,3.6,3.5,2.9,4
100010401001040,4.5,7.2,0.2,0.5,4.9,6.5,0.4,0.2,5.8,6.1,0.2,0.1,6,5.8,5.3,6.4
100010425001021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010425002002,4.5,4,0.1,0.4,4.3,3.8,0.3,0.2,4.7,3.9,0.1,0.1,4.8,3.7,4.5,4
100010425001035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010432023025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010432024001,1,2.3,0,0.1,1,2.1,0.1,0.1,1.1,2.2,0,0,1.3,1.9,1.1,2.1
100010416001064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010417022023,10,9.7,0.2,0.9,9.4,9.8,0.4,0.4,10.2,9.6,0.2,0.3,10.4,9.5,10.2,9.6
100010418022013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010411001000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010415001039,4.2,3.3,0.1,0.3,4.1,3.4,0.1,0.1,4.2,3.4,0,0.1,4.4,3.2,4.3,3.3
100010410001072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010416001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010413001059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010405021023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010433001035,0.6,0.2,0,0.1,0.5,0.3,0,0,0.5,0.3,0,0,0.6,0.3,0.6,0.2
100010418011116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010411002059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010411002053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010411001013,7.7,4.5,0.4,1.1,7.6,4.5,0.4,0.4,7.8,4.7,0.2,0.3,7.5,5.3,7.7,4.7
100010410001064,15.7,6.3,0.2,0.8,14.6,6.1,0.6,0.3,15.1,6.3,0.4,0.3,14.6,7,15.7,6
100010410001044,16.8,6.7,0.2,0.9,15.6,6.6,0.6,0.4,16.1,6.7,0.4,0.3,15.6,7.5,16.8,6.4
100010410001046,5.7,2.3,0.1,0.3,5.3,2.2,0.2,0.1,5.5,2.3,0.1,0.1,5.3,2.5,5.7,2.2
100010410001050,9.3,3.7,0.1,0.5,8.6,3.6,0.3,0.2,8.9,3.7,0.2,0.2,8.7,4.1,9.3,3.6
100010413001072,6.7,4.1,0.3,0.4,6.4,4.1,0.2,0.3,6.7,4.3,0.2,0.1,6.9,4,6.7,4.1
100010405011030,0.6,0.7,0,0.1,0.7,0.7,0,0,0.7,0.7,0,0,0.8,0.6,0.7,0.7
100010431001029,1,5.7,0,0.2,1.2,5.1,0.1,0.1,1.7,4.8,0.1,0.1,2.1,4.3,1.4,5.1
100010431001037,2.6,15.3,0,0.4,3.3,13.7,0.4,0.3,4.7,12.9,0.2,0.2,5.6,11.7,3.8,13.7
100010431001043,0.4,2.3,0,0.1,0.5,2,0.1,0,0.7,1.9,0,0,0.8,1.7,0.6,2
100010431001056,1.2,6.8,0,0.2,1.5,6.1,0.2,0.1,2.1,5.7,0.1,0.1,2.5,5.2,1.7,6.1
100010431002020,3.7,15.2,0.3,0.5,4.6,13.2,0.6,0.3,5.3,13.8,0.3,0.1,6.4,12.2,4.5,14
100010431002035,0.9,3.7,0.1,0.1,1.1,3.2,0.1,0.1,1.3,3.3,0.1,0,1.5,3,1.1,3.4
100010431002054,0.5,1.8,0,0.1,0.6,1.6,0.1,0,0.6,1.7,0,0,0.8,1.5,0.5,1.7
100010431002088,4,16.1,0.3,0.6,4.9,14,0.6,0.4,5.6,14.6,0.3,0.1,6.8,12.9,4.8,14.9
100010430002016,2.1,3.2,0.1,0.2,2.3,2.7,0.1,0.1,2.4,2.8,0.1,0.1,2.7,2.6,2.3,2.9
100010430002032,1.5,2.2,0.1,0.1,1.6,1.9,0.1,0.1,1.7,2,0.1,0,1.9,1.8,1.6,2
100010430002040,1.5,2.2,0.1,0.1,1.6,1.9,0.1,0.1,1.7,2,0.1,0,1.9,1.8,1.6,2
100010430002061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010430002080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010430002079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010432023030,1.3,3.1,0,0.1,1.4,2.8,0.1,0.1,1.5,2.9,0.1,0,1.8,2.5,1.5,2.7
100010432023054,1.3,3.1,0,0.1,1.4,2.8,0.1,0.1,1.5,2.9,0.1,0,1.8,2.5,1.5,2.7
100010432023059,2.6,6.2,0,0.3,2.8,5.6,0.2,0.1,2.9,5.9,0.1,0.1,3.6,5.1,3,5.5
100010432022012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010434001015,10.3,13.6,0.3,0.9,10.6,12.7,0.5,0.5,10.9,13.1,0.3,0.4,11.9,12.1,10.9,12.9
100010432022013,2.3,5.4,0,0.2,2.4,4.9,0.2,0.1,2.6,5.1,0.1,0,3.1,4.4,2.7,4.8
100010434001029,0.3,0.3,0,0,0.3,0.3,0,0,0.3,0.3,0,0,0.3,0.3,0.3,0.3
100010432023044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010432024006,1.9,4.7,0,0.2,2.1,4.2,0.2,0.1,2.2,4.4,0.1,0,2.7,3.8,2.3,4.1
100010432024008,2.4,5.8,0,0.2,2.6,5.3,0.2,0.1,2.7,5.5,0.1,0.1,3.4,4.8,2.8,5.1
100010432023016,1.3,3.1,0,0.1,1.4,2.8,0.1,0.1,1.5,2.9,0.1,0,1.8,2.5,1.5,2.7
100010434002089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010434001095,4.1,6.7,0.1,0.3,4.2,6.4,0.1,0.1,4.6,6.4,0.1,0,5,5.7,4.1,6.6
100010425002039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010434002086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010425001034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010432022036,0.5,1.2,0,0,0.5,1.1,0,0,0.5,1.1,0,0,0.7,1,0.6,1
100010432024019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010432022054,1.1,2.7,0,0.1,1.2,2.5,0.1,0.1,1.3,2.6,0,0,1.6,2.2,1.3,2.4
100010405011027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010410001065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010416001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010413001027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010433003009,3,1.1,0.1,0.2,3,1.2,0,0,3.2,1.1,0,0,2.9,1.3,3,1.2
100010409001063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010433003051,4.9,1.9,0.1,0.3,4.9,1.9,0.1,0.1,5.2,1.9,0.1,0.1,4.8,2.2,5,2
100010409001054,2,1.3,0.1,0.2,1.9,1.4,0.1,0.1,2,1.4,0.1,0,2.2,1.2,2,1.4
100010414002024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010410001070,2.5,1,0,0.1,2.3,1,0.1,0.1,2.4,1,0.1,0,2.3,1.1,2.5,1
100010410001048,1.4,0.6,0,0.1,1.3,0.6,0.1,0,1.4,0.6,0,0,1.3,0.6,1.4,0.5
100010419001014,6.3,18,0.4,0.9,7.4,16,0.6,0.6,8.9,15.5,0.3,0.3,10.5,13.9,7.8,16.4
100010418012026,9.3,14.8,0.2,0.8,9,14.8,0.3,0.2,10.4,13.8,0.3,0.2,11.6,12.6,9.7,13.9
100010419001022,24.1,68.9,1.6,3.6,28.2,61.1,2.4,2.1,33.9,59.3,1.2,1.2,40,53.2,29.7,62.5
100010419001028,10,28.7,0.6,1.5,11.7,25.5,1,0.9,14.1,24.7,0.5,0.5,16.6,22.2,12.4,26.1
100010430003028,8.9,17.5,0.5,0.9,9.3,15.9,0.6,0.4,10.4,16,0.4,0.3,11.9,14.4,9.6,16
100010430002065,2.5,5,0.1,0.3,2.6,4.5,0.2,0.1,3,4.6,0.1,0.1,3.4,4.1,2.8,4.6
100010430001040,6.8,10.1,0.4,0.7,7.5,8.8,0.5,0.3,7.8,9,0.3,0.2,8.7,8.3,7.5,9.2
100010430003029,12.7,25,0.7,1.3,13.2,22.7,0.8,0.6,14.8,22.9,0.5,0.4,17,20.5,13.8,22.9
100010430003033,1.8,3.4,0.1,0.2,1.8,3.1,0.1,0.1,2,3.1,0.1,0.1,2.3,2.8,1.9,3.2
100010430002116,1.4,2.8,0.1,0.1,1.5,2.6,0.1,0.1,1.7,2.6,0.1,0,1.9,2.3,1.5,2.6
100010429002065,0.4,0.9,0,0.1,0.4,0.8,0,0,0.5,0.9,0,0,0.6,0.8,0.5,0.9
100010429001018,0.7,1.6,0,0,0.8,1.4,0,0,0.9,1.4,0,0,1,1.3,0.8,1.4
