GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PRECCAS,G16USSRTHU,G16USSDWIL,G16HALRNOE,G16HALDHAW,G16PUCRNEL,G16PUCDRED
460030VTD-1,46,003,0VTD-1,230,62,11,4,254,60,229,85,270,40
460030VTD-2,46,003,0VTD-2,120,23,7,3,121,32,107,50,145,10
460030VTD-3,46,003,0VTD-3,290,101,19,6,314,107,262,159,362,61
460030VTD-5,46,003,0VTD-5,128,61,11,1,135,62,128,74,153,44
460030VTD-7,46,003,0VTD-7,206,93,26,5,249,82,203,124,271,53
460050VTD-1,46,005,0VTD-1,258.5,104.4,19.9,5.1,284.8,110.1,262,131.9,299.3,87.3
46005VTD-01,46,005,VTD-01,639.6,177.6,38.3,3,696.8,167.6,617.4,238.3,709.9,132.3
46005VTD-02,46,005,VTD-02,600.7,200.9,40.5,13,660.8,207.6,589.5,273.7,703.4,145.6
46005VTD-04,46,005,VTD-04,193.1,78,14.9,3.8,212.7,82.2,195.7,98.5,223.5,65.2
46005VTD-05,46,005,VTD-05,973.8,384,64.6,18.1,1114.6,357.1,1001.5,470.6,1215.1,235.9
46005VTD-W2,46,005,VTD-W2,359,226.2,42.3,11.8,398.4,241,362,273.4,424.9,204.6
46005VTD-W3,46,005,VTD-W3,377,212,29,9,437,188,385,240,462,142
46005VTDW01,46,005,VTDW01,149.9,61.9,11.8,3,165.1,65.3,151.8,78,173.7,52
46005VTDW71,46,005,VTDW71,314.7,131.4,19.4,3,353,119.6,307,163.2,379.5,82.5
46005VTDW72,46,005,VTDW72,27.3,11.4,1.9,0.4,31.4,10.7,28.5,13.7,34.5,7.1
46005VTDW81,46,005,VTDW81,355.1,233.5,27.1,7,454.3,182.4,377.2,253.6,489.4,123.3
46005VTDW82,46,005,VTDW82,206.3,90.7,13.4,4.9,240.2,77.2,213.4,104.9,260.8,53.1
460070VTD-1,46,007,0VTD-1,70,183,11,2,112,148,96,166,83,179
460070VTD-4,46,007,0VTD-4,150.1,7.3,12,0,157.1,11.3,150.1,16.3,149.1,11.3
46007VTD-02,46,007,VTD-02,108.4,62.1,10.8,4.1,127.9,57,118.7,65.8,115.6,64.7
46007VTD-05,46,007,VTD-05,80.6,46.2,8,3,95.1,42.4,88.2,48.9,85.9,48.1
46007VTD-06,46,007,VTD-06,22.1,12.7,2.2,0.8,26,11.6,24.1,13.4,23.5,13.2
46007VTD-27,46,007,VTD-27,235,101,13,4,240,112,244,109,228,118
460090VTD-1,46,009,0VTD-1,439,105,29,6,470,114,412,170,496,69
460090VTD-2,46,009,0VTD-2,369.7,107.6,15.9,11,405.6,104.6,360.7,143.5,423.5,74.7
460090VTD-3,46,009,0VTD-3,472.3,208.4,30.1,8,501.4,224.4,431.3,295.5,571.5,125.3
460090VTD-4,46,009,0VTD-4,337,156,32,6,388,178,295,247,426,96
460090VTD-5,46,009,0VTD-5,488,127.4,22,5,489,149.5,444,190.6,499.2,112.3
