GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREIPIE,G20PREOWRI,G20USSRLUM,G20USSDDAV,G20USSOWRI,G20HALRCHE,G20HALDBUL,G20HALLBRU,G20HALCHAG,G20HALOWRI
56001000103,56,001,000103,178,120,11,1,3,190,120,1,185,116,6,5,0
56001000104,56,001,000104,130,20,0,0,1,129,20,0,122,19,0,6,0
56001000111,56,001,000111,26.3,11.2,0.3,0.3,0.1,27.1,10.4,0.3,25.8,10.5,0.8,0.3,0.1
56001000112,56,001,000112,79.7,33.9,0.8,0.8,0.3,81.9,31.5,0.8,78,31.9,2.5,0.8,0.2
56001000113,56,001,000113,139.6,59.3,1.5,1.5,0.6,143.4,55.2,1.5,136.7,55.8,4.4,1.5,0.3
56001000114,56,001,000114,18.7,7.9,0.2,0.2,0.1,19.2,7.4,0.2,18.3,7.5,0.6,0.2,0
56001000115,56,001,000115,248.4,141.8,5.9,3.1,2,259.2,133.8,2.7,247,130.7,10.8,4,0.7
56001000121,56,001,000121,1583.7,810.3,54.5,25.2,18.8,1636.9,819.3,4,1568.4,743.3,83,59.9,1.2
56001000122,56,001,000122,347.2,112.9,6.1,2.1,3,356.3,111.9,0,352.1,99.7,10.2,6.2,0
56001000301,56,001,000301,66.6,97.2,7.6,1.6,1.7,73.1,97.4,0.7,65.6,92.9,7.9,3.2,0.4
56001000312,56,001,000312,782.5,922.4,90.1,19.7,16,858.6,922.3,9.4,777.8,874.5,86.4,33.8,3.8
56001000313,56,001,000313,460.1,893.8,51.9,18.1,16.8,503.7,906.4,8.4,457,848.5,62,40.3,2.6
56001000314,56,001,000314,115.4,205.4,11.7,3.5,4.3,125.9,207,2.1,114.4,195.1,12.5,9.7,0.6
56001000402,56,001,000402,461,610.1,39.3,9.8,13.2,520.2,585.9,5.8,500.5,537.4,46.6,20.6,2.8
56001000501,56,001,000501,331.5,641.6,35.8,8.5,11.7,363.3,645.8,3.7,323.2,616.9,41.4,22.4,2.6
56001000511,56,001,000511,58.8,118.1,6.5,1.4,2,64.5,118.8,0.5,56.8,114.1,7.8,3.5,0.6
56001000512,56,001,000512,83.8,185.4,10.7,3.5,2.9,92.4,188.5,0.9,82,177.9,14.3,6.2,0.8
56001000514,56,001,000514,32,18.8,1.5,0.6,0.3,33,19,0.2,30.6,17.6,2.2,1.6,0
56001000515,56,001,000515,1010.1,651.2,54.3,19.3,10.5,1046.9,659.1,7,953.2,612.7,78.8,55.1,0
56001000516,56,001,000516,98.6,198.2,10.9,2.3,3.4,108.3,199.4,0.8,95.4,191.5,13.1,5.9,0.9
56001000601,56,001,000601,469.2,636.6,35,13,10.7,514.4,636.5,1.9,485.8,587.8,47.3,19.8,1.2
56001000602,56,001,000602,571.9,886.4,54,13,15.7,631.5,884.8,4.6,569,837.8,69.9,30,2.5
56001000614,56,001,000614,279.4,377.4,19.7,8.1,6.2,305.2,378.2,0.8,291.4,347.7,26.6,11.2,0.8
560010041-1,56,001,0041-1,708.7,938,60.4,15.1,20.3,799.7,900.7,9,769.5,826.1,71.7,31.6,4.2
560010041-2,56,001,0041-2,128.6,170.2,11,2.7,3.7,145.1,163.4,1.6,139.6,149.9,13,5.7,0.8
560010041-4,56,001,0041-4,0,0,0,0,0,0,0,0,0,0,0,0,0
56001004131,56,001,004131,169.3,224.1,14.4,3.6,4.8,191.1,215.2,2.1,183.9,197.4,17.1,7.6,1
56003000101,56,003,000101,709,132,11,4,7,711,133,2,649,114,35,37,2
56003000201,56,003,000201,292,17,2,2,6,294,16,0,287,14,6,7,0
56003000301,56,003,000301,100,7,0,0,2,100,6,1,95,8,1,1,0
56003000501,56,003,000501,58,3,0,0,0,56,3,0,55,2,0,1,0
56003000601,56,003,000601,91,13,0,2,1,94,11,0,94,11,0,2,0
56003000801,56,003,000801,170,14,1,0,0,174,11,0,163,12,3,6,0
56003001101,56,003,001101,867.8,256,20.1,7.1,5.1,878,249.9,1,830.6,244.8,32.2,25.3,0
56003001601,56,003,001601,219,56,4,3,1,228,50,1,214,48,3,12,0
56003002001,56,003,002001,1342,187.7,15.1,11,12.9,1372,171.8,7,1290.2,163.7,35,50.8,4
56003002201,56,003,002201,493,36,6,11,1,508,33,0,477,31,11,18,0
56003002301,56,003,002301,274.2,32.8,8.9,5,1,281.1,34.8,0,251.3,38.7,11.9,12.9,0
56003002501,56,003,002501,88,20,2,1,1,86,24,0,85,21,2,3,0
56003002601,56,003,002601,103,14,4,0,0,106,13,0,97,16,3,4,0
56005001-01,56,005,001-01,357,59,15,4,2,362,63,4,323,51,24,26,1
56005001-03,56,005,001-03,312,93,10,8,1,327,80,2,298,73,14,20,2
56005001-05,56,005,001-05,684,93,25,1,1,679,91,2,614,88,29,40,2
56005001-07,56,005,001-07,638,89,17,3,3,642,83,4,569,82,34,33,5
56005001-09,56,005,001-09,621,86,14,2,5,617,85,3,579,75,28,22,2
