GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20USSDSHA,G20USSRMES,G20USSLODO,G20USSOWRI,G20GOVDFEL,G20GOVRSUN,G20GOVLPER,G20GOVOWRI
33001ALTO01,33,001,ALTO01,1447.84,2433.78,45.35,1608.02,2229.24,68.56,4.02,762.7,3110.6,36.33,6.01
33001BARN01,33,001,BARN01,1161.34,1709.21,74.28,1320.48,1537.84,76.4,0.01,668.95,2196.31,61.25,3.99
33001BELM01,33,001,BELM01,1602.14,2351.36,77.58,1866.48,2010.6,103.3,9.89,810.83,3114.76,62.69,4.97
33001CENT01,33,001,CENT01,395.95,430,6.7,411.5,399.78,17.22,1,232.78,583.42,11.94,0.03
33001GILF01,33,001,GILF01,2545.38,2797.57,57.9,2761.36,2517.5,67.35,5.04,1392.8,3862.73,46.68,3.05
33001GILM01,33,001,GILM01,1015.67,1417.17,34.85,1146.11,1256.86,58.74,1.99,619.29,1800.61,29.87,1.99
33001LACO01,33,001,LACO01,768.61,969.89,22.87,856.04,857.61,22.89,2,418.63,1308.94,14.93,1
33001LACO02,33,001,LACO02,589.94,670.42,20.11,649.36,585.87,35.13,0.01,338.7,903.48,23.09,0.01
33001LACO03,33,001,LACO03,824,617,22,830,550,23,0,472,970,19,0
33001LACO04,33,001,LACO04,663.12,673.33,25.66,725.33,579.55,32.57,0.99,381.83,938.83,30.58,0.99
33001LACO05,33,001,LACO05,440,608,28,510,520,32,0,246,814,17,1
33001LACO06,33,001,LACO06,803.82,1037.94,17.09,884.48,937.34,24.67,0.95,443.18,1402.3,11.4,0.95
33001MERE01,33,001,MERE01,2144.4,2215.7,60.05,2329.72,1971.14,83.11,13.96,1188.14,3146.63,53.1,5.98
33001NEWH01,33,001,NEWH01,700.23,811.26,27.01,765.88,722.14,36.21,3.99,440.74,1067.82,18.32,3.03
33001SANB01,33,001,SANB01,888.19,1151.36,36.47,1007.01,1017.33,35.93,0.12,564.98,1455.36,25.68,3.04
33001TILT01,33,001,TILT01,958.81,1081.14,44.41,1095.09,910.48,50.31,2.13,541.3,1497.25,39.92,2.09
33003ALBA01,33,003,ALBA01,210.19,160.07,7.46,228.6,137.57,8.27,0.82,136.16,232.35,5.82,0
33003BART01,33,003,BART01,1367.31,769.24,22.89,1408.11,709.53,18.91,0,891.64,1226,13.93,0
33003BROO01,33,003,BROO01,214.54,310.03,11.8,242.1,276.56,13.78,0,125.97,393.7,7.87,0.98
33003CHAT01,33,003,CHAT01,137.72,151.89,8.79,145.2,138.36,7.05,1,95.64,196.98,4.58,0.06
33003CONW01,33,003,CONW01,3355.57,2363.17,88.3,3513.47,2093.4,112.98,1,2087.2,3533.49,63.48,5.93
33003EATO01,33,003,EATO01,192.6,120.25,4.12,201.81,106.87,6.16,0,131.86,176.85,4.09,0.01
33003EFFI01,33,003,EFFI01,404.63,539.03,9.38,452.69,478.47,17.55,1.98,279.11,658.29,13.36,0.99
33003FREE01,33,003,FREE01,525.77,527.62,13.68,569.92,465.87,20.56,0.02,325.69,716.97,14.69,0.01
33003HALE01,33,003,HALE01,30.86,84.6,1,33.84,85.6,1,0,19.91,97.54,0,0
33003HART01,33,003,HART01,23,20,0,21,19,2,0,17,26,0,0
33003JACK01,33,003,JACK01,567.02,212.01,7,577.02,205.01,5,0,424.01,328.02,33,0
33003MADI01,33,003,MADI01,915.25,751.18,16.8,984.44,681,15.81,0,588.1,1060.55,14.83,0
33003MOUL01,33,003,MOUL01,1594.3,1981.2,43.59,1688.62,1883.43,35.03,0.06,849.9,2717.39,15.15,0.02
33003OSSI01,33,003,OSSI01,957.38,1473.63,33.69,1063.34,1309.24,57.47,0,562.63,1841.63,35.67,2.97
33003SAND01,33,003,SAND01,718,413,12,741,387,11,1,526,584,12,2
33003TAMW01,33,003,TAMW01,900.66,839.26,31.06,963.8,753.08,50.07,2.01,645.07,1095.83,24.05,1
33003TUFT01,33,003,TUFT01,866.57,1005.79,13.06,912.66,933.65,23.09,5.88,488.47,1376.77,10.14,2.97
33003WAKE01,33,003,WAKE01,1240.87,1987.18,44.07,1420.98,1730.08,86.04,0,724.51,2540.47,29.04,0.01
33003WOLF01,33,003,WOLF01,2370.65,2390.08,51.31,2440.69,2254.57,84.47,2.11,1474.74,3243.86,45.22,3.06
33005ALST01,33,005,ALST01,682.37,475.86,27.93,707.31,437.95,30.93,1,499.8,647.45,27.93,1
33005CHES01,33,005,CHES01,1398.03,965.05,44.24,1427.79,867.15,48.24,1,1057.18,1291.61,31.18,3.02
33005DUBL01,33,005,DUBL01,759.32,432.26,19.47,765.38,411.3,24.22,1.02,547.31,631.47,10.32,1.12
33005FITZ01,33,005,FITZ01,644.94,660.44,18.4,696.27,577.16,30.99,0,428.02,807.63,27.11,8.72
33005GILS01,33,005,GILS01,240,263,13,272,220,14,0,160,337,8,0
33005HARR01,33,005,HARR01,558.32,204.13,6.14,569.36,175.98,19.17,0.01,436.81,319.56,8.07,0.01
33005HINS01,33,005,HINS01,1046.63,827.92,32.96,1137.51,666.13,50.93,0,712.07,1097.56,37.95,0
33005JAFF01,33,005,JAFF01,1517.87,1401.66,79.46,1665.79,1242.71,71.59,0.99,1047.92,1890.36,55.65,3.97
