GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20USSDSHA,G20USSRMES,G20USSLODO,G20USSOWRI,G20GOVDFEL,G20GOVRSUN,G20GOVLPER,G20GOVOWRI
33001ALTO01,33,001,ALTO01,1447.8,2433.8,45.4,1608,2229.2,68.6,4,762.7,3110.6,36.3,6
33001BARN01,33,001,BARN01,1161.3,1709.2,74.3,1320.5,1537.8,76.4,0,669,2196.3,61.2,4
33001BELM01,33,001,BELM01,1602.1,2351.4,77.6,1866.5,2010.6,103.3,9.9,810.8,3114.8,62.7,5
33001CENT01,33,001,CENT01,396,430,6.7,411.5,399.8,17.2,1,232.8,583.4,11.9,0
33001GILF01,33,001,GILF01,2545.4,2797.6,57.9,2761.4,2517.5,67.3,5,1392.8,3862.7,46.7,3
33001GILM01,33,001,GILM01,1015.7,1417.2,34.9,1146.1,1256.9,58.7,2,619.3,1800.6,29.9,2
33001LACO01,33,001,LACO01,768.6,969.9,22.9,856,857.6,22.9,2,418.6,1308.9,14.9,1
33001LACO02,33,001,LACO02,589.9,670.4,20.1,649.4,585.9,35.1,0,338.7,903.5,23.1,0
33001LACO03,33,001,LACO03,824,617,22,830,550,23,0,472,970,19,0
33001LACO04,33,001,LACO04,663.1,673.3,25.7,725.3,579.5,32.6,1,381.8,938.8,30.6,1
33001LACO05,33,001,LACO05,440,608,28,510,520,32,0,246,814,17,1
33001LACO06,33,001,LACO06,803.8,1037.9,17.1,884.5,937.3,24.7,0.9,443.2,1402.3,11.4,0.9
33001MERE01,33,001,MERE01,2144.4,2215.7,60,2329.7,1971.1,83.1,14,1188.1,3146.6,53.1,6
33001NEWH01,33,001,NEWH01,700.2,811.3,27,765.9,722.1,36.2,4,440.7,1067.8,18.3,3
33001SANB01,33,001,SANB01,888.2,1151.4,36.5,1007,1017.3,35.9,0.1,565,1455.4,25.7,3
33001TILT01,33,001,TILT01,958.8,1081.1,44.4,1095.1,910.5,50.3,2.1,541.3,1497.2,39.9,2.1
33003ALBA01,33,003,ALBA01,210.2,160.1,7.5,228.6,137.6,8.3,0.8,136.2,232.3,5.8,0
33003BART01,33,003,BART01,1367.3,769.2,22.9,1408.1,709.5,18.9,0,891.6,1226,13.9,0
33003BROO01,33,003,BROO01,214.5,310,11.8,242.1,276.6,13.8,0,126,393.7,7.9,1
33003CHAT01,33,003,CHAT01,137.7,151.9,8.8,145.2,138.4,7,1,95.6,197,4.6,0.1
33003CONW01,33,003,CONW01,3355.6,2363.2,88.3,3513.5,2093.4,113,1,2087.2,3533.5,63.5,5.9
33003EATO01,33,003,EATO01,192.6,120.2,4.1,201.8,106.9,6.2,0,131.9,176.8,4.1,0
33003EFFI01,33,003,EFFI01,404.6,539,9.4,452.7,478.5,17.6,2,279.1,658.3,13.4,1
33003FREE01,33,003,FREE01,525.8,527.6,13.7,569.9,465.9,20.6,0,325.7,717,14.7,0
33003HALE01,33,003,HALE01,30.9,84.6,1,33.8,85.6,1,0,19.9,97.5,0,0
33003HART01,33,003,HART01,23,20,0,21,19,2,0,17,26,0,0
33003JACK01,33,003,JACK01,567,212,7,577,205,5,0,424,328,33,0
33003MADI01,33,003,MADI01,915.2,751.2,16.8,984.4,681,15.8,0,588.1,1060.6,14.8,0
33003MOUL01,33,003,MOUL01,1594.3,1981.2,43.6,1688.6,1883.4,35,0.1,849.9,2717.4,15.2,0
33003OSSI01,33,003,OSSI01,957.4,1473.6,33.7,1063.3,1309.2,57.5,0,562.6,1841.6,35.7,3
33003SAND01,33,003,SAND01,718,413,12,741,387,11,1,526,584,12,2
33003TAMW01,33,003,TAMW01,900.7,839.3,31.1,963.8,753.1,50.1,2,645.1,1095.8,24,1
33003TUFT01,33,003,TUFT01,866.6,1005.8,13.1,912.7,933.6,23.1,5.9,488.5,1376.8,10.1,3
33003WAKE01,33,003,WAKE01,1240.9,1987.2,44.1,1421,1730.1,86,0,724.5,2540.5,29,0
33003WOLF01,33,003,WOLF01,2370.7,2390.1,51.3,2440.7,2254.6,84.5,2.1,1474.7,3243.9,45.2,3.1
33005ALST01,33,005,ALST01,682.4,475.9,27.9,707.3,438,30.9,1,499.8,647.5,27.9,1
33005CHES01,33,005,CHES01,1398,965,44.2,1427.8,867.1,48.2,1,1057.2,1291.6,31.2,3
33005DUBL01,33,005,DUBL01,759.3,432.3,19.5,765.4,411.3,24.2,1,547.3,631.5,10.3,1.1
33005FITZ01,33,005,FITZ01,644.9,660.4,18.4,696.3,577.2,31,0,428,807.6,27.1,8.7
33005GILS01,33,005,GILS01,240,263,13,272,220,14,0,160,337,8,0
33005HARR01,33,005,HARR01,558.3,204.1,6.1,569.4,176,19.2,0,436.8,319.6,8.1,0
33005HINS01,33,005,HINS01,1046.6,827.9,33,1137.5,666.1,50.9,0,712.1,1097.6,38,0
33005JAFF01,33,005,JAFF01,1517.9,1401.7,79.5,1665.8,1242.7,71.6,1,1047.9,1890.4,55.6,4
33005KEEN01,33,005,KEEN01,1374.6,472.7,24.7,1296.9,380.5,67.2,2.1,929.4,768.4,44,3
33005KEEN02,33,005,KEEN02,1851.3,715.9,48,1872.8,626.3,75.9,1,1397.3,1165.2,56,2
33005KEEN03,33,005,KEEN03,1690.3,797.8,38.9,1762.1,701.1,47.9,0,1221.6,1240.6,35.9,2
33005KEEN04,33,005,KEEN04,1921,920,60,2000,785,81,8,1406,1394,50,5
33005KEEN05,33,005,KEEN05,2130.1,861.7,50.4,2197,739.6,63.9,2.9,1543.2,1402,59,1
33005MRLB01,33,005,MRLB01,815.6,450.4,22.5,853.6,396.3,31.5,2,546.6,695.5,26.4,0
33005MRLW01,33,005,MRLW01,277,207,12,289,184,14,0,196,284,8,0
33005NELS01,33,005,NELS01,274.7,163.8,12,288.7,151.8,10,1,222.7,207.8,6,0
33005RICH01,33,005,RICH01,297.3,417.8,14.2,312.8,378.2,18.2,4,201.4,491.4,17.1,1
33005RIND01,33,005,RIND01,1441.3,2141.4,70.9,1506.2,1984.6,120.8,2,928.9,2575.9,67.9,4
33005ROXB01,33,005,ROXB01,92.3,51.3,0.1,95.3,42.5,1.1,0,71.2,63,2,0
33005STOD01,33,005,STOD01,419.3,430.2,0,463.3,396.2,20,0,353.3,554.2,12,0
33005SULL01,33,005,SULL01,216.1,186.1,10,235.1,153.1,14,0,139.1,248.1,10,2
33005SURR01,33,005,SURR01,305.8,249.4,4,328.5,206.9,10.9,0,206.4,336.9,5,0
33005SWAN01,33,005,SWAN01,1984.7,1742.5,58.3,2174.4,1521.1,58.3,1,1280,2376.1,44.5,5.9
33005TROY01,33,005,TROY01,532.3,606.1,25.6,580.2,517.2,39,0,334.4,782.6,24.9,2.3
33005WALP01,33,005,WALP01,1477.7,840.6,43.1,1528.2,750.6,69.3,3,1003.2,1290.8,42.1,3
33005WEST01,33,005,WEST01,660,453,20,709,388,23,2,467,630,14,0
33005WINC01,33,005,WINC01,987.4,989.1,45,1090.5,815.9,68.1,0,692.9,1223.4,51,0
33007ATGT01,33,007,ATGT01,0.4,1,0,0.5,0.9,0,0,0.2,1.3,0,0
33007BERL01,33,007,BERL01,407.6,351.6,12.5,461.3,280,23.2,0,262.2,483.6,18.4,0
33007BERL02,33,007,BERL02,1196.8,1032.3,36.8,1354.5,822.2,68,0,769.8,1419.7,54.1,0
33007BERL03,33,007,BERL03,542.6,468.1,16.7,614.1,372.8,30.8,0,349,643.7,24.5,0
33007BGRT01,33,007,BGRT01,0,0,0,0,0,0,0,0,0,0,0
33007BPUR01,33,007,BPUR01,0,0,0,0,0,0,0,0,0,0,0
33007CAMB01,33,007,CAMB01,3,4,0,3,4,0,0,0,7,0,0
33007CARR01,33,007,CARR01,266,267,5,300,228,8,0,159,371,4,0
33007CHAN01,33,007,CHAN01,0,0,0,0,0,0,0,0,0,0,0
33007CLAR01,33,007,CLAR01,72.6,111.3,3,80.9,96,5.9,0,39,136.1,8.8,0
33007COLE01,33,007,COLE01,418,630,26,475,556,19,0,239,808,9,0
33007COLU01,33,007,COLU01,114.2,235.2,2,148.2,198.2,8,0,70.1,287.3,7,0
33007CRAW01,33,007,CRAW01,0,0,0,0,0,0,0,0,0,0,0
33007CUTT01,33,007,CUTT01,0,0,0,0,0,0,0,0,0,0,0
33007DALT01,33,007,DALT01,236.8,301,2.2,271.8,262.8,13.3,0,141.7,379,10.1,0
33007DIXG01,33,007,DIXG01,0,0,0,0,0,0,0,0,0,0,0
33007DIXV01,33,007,DIXV01,5,0,0,4,1,0,0,1,4,0,0
33007DUMM01,33,007,DUMM01,68.1,114.4,4,83.3,95.2,6,0,53.6,129.8,3,0
33007ERRO01,33,007,ERRO01,71,144.2,1,79.1,131.1,2,0,29,183.2,3,0
33007ERVI01,33,007,ERVI01,0,0,0,0,0,0,0,0,0,0,0
33007GORH01,33,007,GORH01,904,748,29,1012,616,37,0,565,1065,29,1
33007GRGT01,33,007,GRGT01,1,0,0,1,0,0,0,0,1,0,0
33007HADL01,33,007,HADL01,0,0,0,0,0,0,0,0,0,0,0
33007JEFF01,33,007,JEFF01,257,394,11,302,331,16,0,162,489,6,0
33007KILK01,33,007,KILK01,0,0,0,0,0,0,0,0,0,0,0
33007LANC01,33,007,LANC01,817,874,34,901,767,40,0,490,1188.9,35,5
33007LOWB01,33,007,LOWB01,0,0,0,0,0,0,0,0,0,0,0
33007MART01,33,007,MART01,0,0,0,0,0,0,0,0,0,0,0
33007MILA01,33,007,MILA01,343.9,435.6,12,418.6,362.8,11,0,203.3,576.1,10,0
33007MILL01,33,007,MILL01,5,15.8,0,6.9,14.8,0,0,0,21.8,0,0
33007NORU01,33,007,NORU01,424,614,18,516,504,15,0,237,795.1,11,0
33007ODEL01,33,007,ODEL01,0,0,0,0,0,0,0,0,0,0,0
33007PINK01,33,007,PINK01,1,0,0,1,0,0,0,1,0,0,0
33007PITB01,33,007,PITB01,156,374.2,6.9,189.4,334.8,3,0,65.3,466.8,1.1,1
33007RAND01,33,007,RAND01,186,83,8,200,74,1,0,128,143,1,0
33007SARG01,33,007,SARG01,0,0,0,0,0,0,0,0,0,0,0
33007SECO01,33,007,SECO01,0,0,0,0,0,0,0,0,0,0,0
33007SHEL01,33,007,SHEL01,131,122,1,137,108,4,0,85,160,3,0
33007STAR01,33,007,STAR01,106,188.1,1,135.1,148.1,7,0,61,227.1,4,1
33007STEW01,33,007,STEW01,118.1,292.5,5,156.2,235.3,7.1,0,65.6,327.9,2.1,1
33007STRT01,33,007,STRT01,158.8,139.8,1,171.8,119.8,7,0,89.9,198.7,7,1
33007SUCC01,33,007,SUCC01,0,0,0,0,0,0,0,0,0,0,0
33007THOM01,33,007,THOM01,0,0,0,0,0,0,0,0,0,0,0
33007WENL01,33,007,WENL01,4,13,1,4,14,0,0,3,15,0,0
33007WHIT01,33,007,WHIT01,625.2,663,20.8,724.2,544.2,29.7,0,396.3,880,13.9,0
33009ALEX01,33,009,ALEX01,487.6,703,25.6,546.9,614.8,40.8,4.4,295.2,879.7,28.8,2.2
33009ASHL01,33,009,ASHL01,623,554.6,23.6,670.4,485.6,26.6,3,376.7,781.3,18.7,1
33009BATH01,33,009,BATH01,261.4,356,11.1,290.6,314.6,12.2,0,172.4,434.9,11.1,0
33009BENT01,33,009,BENT01,89,143,3,104,119,8,0,46,179,8,0
33009BETH01,33,009,BETH01,1022.8,621.7,30.1,1076.9,553.5,40.1,4,695,912.4,35,3
33009BRID01,33,009,BRID01,398.2,511.4,18.2,435.9,484.9,13.1,1.2,251.4,659.4,10.1,1.2
33009BRIS01,33,009,BRIS01,775.9,917.5,26.8,831.5,827.3,45,3.7,456.6,1214.9,25.8,5.5
33009CAMP01,33,009,CAMP01,1101.6,948.2,44.3,1186.2,855.7,40.3,3,701.3,1335.7,35.4,1
33009CANA01,33,009,CANA01,1162,890,34,1217,805,37,0,741,1291,24,0
33009DORC01,33,009,DORC01,127.3,162.8,5,136.1,148.8,8,0,84.9,199,6.3,2.1
33009EASN01,33,009,EASN01,167,64,3,160,64,7,0,127,98,8,0
33009ELLS01,33,009,ELLS01,45,32,1,45,27,4,0,32,43,1,0
33009ENFI01,33,009,ENFI01,1781.1,931.4,58.1,1830.2,849.3,67.1,2,1187.1,1515.4,40.1,1
33009FRCA01,33,009,FRCA01,542,248,11,451,244,17,0,379,418,9,0
33009GRAF01,33,009,GRAF01,348.3,427.8,16.2,373.7,377.3,32.3,1,215.1,550,21.2,1
33009GROT01,33,009,GROT01,151.2,218.3,6.3,165.3,192.5,7.8,0.1,97.8,264.4,8,0.9
33009HANO01,33,009,HANO01,6233.4,848.4,66.3,6050.4,917.9,87.7,2,5037.6,1754.8,76.3,2
33009HAVE01,33,009,HAVE01,922.1,1176.3,38.9,1017.8,1038.7,59.8,0,558.2,1511.2,33.9,1
33009HEBR01,33,009,HEBR01,239.8,268.1,14,257.9,256,10.1,0,122.5,391.4,4,1
33009HOLD01,33,009,HOLD01,871.3,557,21.5,887.9,541.4,22.5,0,605,825.3,13.7,1
33009LAND01,33,009,LAND01,137.7,169.2,4.4,146.1,140.9,7.9,0,86.4,196.2,2.4,0.1
33009LEBA01,33,009,LEBA01,1996.6,627.6,29.6,1996.6,589.1,59.3,0,1495.4,1091.2,26.7,2
33009LEBA02,33,009,LEBA02,1815.2,603.7,36.9,1830.2,540,65.8,1,1294.2,1080,42.8,1
33009LEBA03,33,009,LEBA03,2055.7,713.8,33.1,2072.7,660.7,55.1,1,1524.8,1207.6,38.1,1
33009LINC01,33,009,LINC01,513,397,13,531,361,20,0,265,630,12,0
33009LISB01,33,009,LISB01,341.4,416.8,11.6,382.9,348.1,25.1,1,215.6,534.8,11.6,1.9
33009LITT01,33,009,LITT01,1550.9,1501.1,50.8,1694.3,1327.8,74.7,0,921.4,2121.7,42.8,5
33009LIVE01,33,009,LIVE01,0,0,0,0,0,0,0,0,0,0,0
33009LYMA01,33,009,LYMA01,178.4,212.2,3.1,180.8,197.7,9.2,0,120.6,258,9.1,1
33009LYME01,33,009,LYME01,1077.5,222.1,13.1,1073.7,219.8,10.2,4,871.4,402.1,7.2,1.1
33009MONR01,33,009,MONR01,227.5,309.7,8,249.6,269.6,0,1,148.3,378.9,9,0
33009ORAN01,33,009,ORAN01,80,110,6,91,96,5,0,57,127,7,0
33009ORFO01,33,009,ORFO01,539,269,15,552,259,10,1,399,415,9,0
33009PIER01,33,009,PIER01,240.5,193.6,5,250.5,182.7,7,0,150.7,281.5,6,2
33009PLYM01,33,009,PLYM01,2211.6,1124.1,77.7,2248.6,940.5,144.1,0,1528.4,1691.4,93.4,0
33009RUMN01,33,009,RUMN01,394.5,507.1,18.3,417.6,470.6,19.2,1.9,270.4,619.7,17.3,1
33009SUGA01,33,009,SUGA01,316,153,16,322,156,6,0,231,247,4,0
33009THOR01,33,009,THOR01,976.1,752.6,36.7,1025.6,674.1,47.7,1,584.6,1109,29.6,1
33009WARR01,33,009,WARR01,189,275,14,230,215,23,1,123,339,14,0
33009WATE01,33,009,WATE01,281.8,160.3,5.6,286.7,157.6,5.8,0.2,170.4,270.4,5.2,0
33009WENT01,33,009,WENT01,281.2,324.3,13,266.3,328.2,19.1,0,155.8,445.7,14.1,2
33009WOOD01,33,009,WOOD01,480.2,364.2,14,524.2,306.2,15,2,263.1,568.3,21,0
33011AMHE01,33,011,AMHE01,4708.3,3151.4,130.7,4777.8,3045.7,144.6,5.9,2859.3,4871.9,103.2,17.6
33011ANTR01,33,011,ANTR01,764.8,783.5,35.2,842,676.9,52.3,0,537.4,1011.7,24.2,2
33011BEDF01,33,011,BEDF01,7569.6,7091.3,168.2,7909.6,6662,193.4,10.1,4104.6,10546.9,100.2,26
33011BENN01,33,011,BENN01,375.7,400.5,13.2,403.8,342.1,24.6,0,265.6,492.7,19.8,0.9
33011BRKL01,33,011,BRKL01,1894.4,1639.5,77.7,1929.2,1564.9,108.5,0,1096,2433.9,49.8,0
33011DRNG01,33,011,DRNG01,454.7,659.4,25.6,487.1,592.4,38.4,2,287.4,822.7,15.8,2
33011FRNT01,33,011,FRNT01,621,563.9,27,638.1,544.1,22.7,0,420.2,743.7,24.3,0.1
33011GOFF01,33,011,GOFF01,4953.2,5026,182.5,5318.2,4561.3,196.4,3,2706.5,7263.8,122.7,8
33011GRFD01,33,011,GRFD01,526.1,464.1,14.9,547.1,435.9,19,0,355.2,632.9,8.1,2
33011GRNV01,33,011,GRNV01,501.8,533.2,21.1,526.8,484.1,35.1,0,305.6,722.5,25,1
33011HANC01,33,011,HANC01,870,405.6,14.9,380.8,368.9,39.8,0,654.2,601.5,12.9,1
33011HILS01,33,011,HILS01,1477.6,1726.9,79.2,1587.8,1524.5,132.2,0,956.6,2220,61.1,1
33011HOLL01,33,011,HOLL01,3222.7,2427.2,78.7,3277.8,2322.9,108.2,3,1971.7,3522.9,55.1,3
33011HUDS01,33,011,HUDS01,6651.6,7745.3,217.4,7263.3,6849.3,305.8,4,3735.6,10556,175.9,4.2
33011LITC01,33,011,LITC01,2490.9,2812.1,88.7,2699.1,2501.4,121.5,3,1210.8,4045.6,71.8,4.9
33011LYND01,33,011,LYND01,563.4,540.4,33,577.4,505.5,37,0,369.6,741.3,21,1
33011MANC01,33,011,MANC01,3344,2159.8,85.8,3521.6,1929.4,115.7,9,2052.1,3378.9,62.9,7
33011MANC02,33,011,MANC02,2996.5,2020.6,85,3155.4,1795.7,124,3,1907.7,3061.5,84,6
33011MANC03,33,011,MANC03,2199.6,1159,73.1,2281.5,980.3,133.3,3,1508.5,1753.3,107.6,1
33011MANC04,33,011,MANC04,2077.9,1433,82,2202.9,1218,135,4,1313,2131.9,95,6
33011MANC05,33,011,MANC05,1670,1121,74,1759,936,115,3,1041,1685,84,2
33011MANC06,33,011,MANC06,2753.9,2567.4,78.8,3025.2,2242.3,93.8,2,1569.9,3718.5,59.9,1
33011MANC07,33,011,MANC07,2168,1678,90,2318,1439,142,8,1285,2503,103,4
33011MANC08,33,011,MANC08,2645.4,2625.6,88.1,2876.1,2325.6,110.9,1,1426.7,3776,59.4,4
33011MANC09,33,011,MANC09,2444,2013.6,85.1,2645.1,1711.2,134.6,4,1352.1,2844,82.6,0.1
33011MANC10,33,011,MANC10,2288.8,1853.6,96.7,2505,1579.6,121.5,4,1261,2629.4,88.6,4
33011MANC11,33,011,MANC11,2107,1439,99,2227,1250,175,0,1211,2108,131,2
33011MANC12,33,011,MANC12,2693.8,2003.1,74.8,2814,1769.6,130.6,4,654.7,2792.2,79.1,9.8
33011MASO01,33,011,MASO01,381.9,536,31,408.9,483.9,45,0,254.2,673.6,23,3
33011MERR01,33,011,MERR01,8716,7654.3,302.4,9218.4,6912.6,402.1,12,4832,11452.8,262.5,10.1
33011MILF01,33,011,MILF01,4719,4173,196.1,5210.4,3738.8,269.3,6.1,2654.7,6198.3,150.6,8.3
33011MONT01,33,011,MONT01,1010.8,729.9,37,1029.8,699.9,42,1,672.9,1061.8,21,2
33011NASH01,33,011,"NASH01",3477.4,2489.2,92.2,3626.6,2230.1,128.8,5,2190.5,3706.7,79.9,7
