GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREOWRI,G16USSRYOU,G16USSDBAY,G16USSLBRE,G16USSOWRI,G16GOVRHOL,G16GOVDGRE,G16GOVLBEL,G16GOVOWRI,G16ATGRHIL,G16ATGDARR,G16SPIRMCC,G16SPIDRIT
18003001270,18,003,001270,590.1,338.5,55.3,10.5,599.3,351.4,37.3,1,597.3,359.8,27.2,0,693.2,262.1,586.1,379.2
18003001280,18,003,001280,291.9,175.5,27.9,11.5,281.9,190.7,32.4,0,277.3,213.2,13.6,0,329.3,160.1,270.2,228.4
18003001290,18,003,001290,357.9,229.3,21,20.9,385.8,226.3,17,0,362.9,247.2,14,0,432.7,177.4,371.8,250.2
18003001300,18,003,001300,127.4,156.4,21.2,15.4,115.8,169.9,29,0,124.5,172.8,16.4,0,141.9,165.1,124.5,188.2
18003001310,18,003,001310,143,240,40,18,129,274,40,0,130,290,15,0,177,251,149,289
18003001320,18,003,001320,118,246,21,21,134,236,34,1,126,252,24,0,167,227,133,259
18003001330,18,003,001330,86,166,16,9,77,175,20,0,79,184,9,0,100,165,82,184
18003001340,18,003,001340,153,267,25,12,154,277,26,0,155,282,13,0,196,252,159,291
18003001350,18,003,001350,97,181,27,14,114,188,19,0,110,199,13,0,138,179,115,205
18003001360,18,003,001360,211.5,439,38.6,19.6,212,434,51.6,0,197.6,338.7,29,0,244.5,308.5,205.6,351.5
18003001370,18,003,001370,41,140,10,3,45,132,13,0,38,138,14,1,60,124,38,149
18003001380,18,003,001380,102,176,17,17,88,180,35,0,88,199,15,0,108,186,102,192
18003001390,18,003,001390,210,334,41,20,203,356,47,0,217,356,26,0,271,313,211,382
18003001400,18,003,001400,280,408,31,14,286,407,34,0,292,418,15,0,377,311,296,408
18003001410,18,003,001410,88,198,11,2,74,199,23,0,88,196,8,0,104,189,80,214
18003001420,18,003,001420,121.7,261.2,14.8,9.9,110.8,273.1,21.8,0,116.8,275,12.9,0,150.4,251.3,125.7,276
18003001430,18,003,001430,179,213,16,5,170,224,20,0,167,240,7,0,221,177,184,226
18003001440,18,003,001440,33,71,4,3,29,74,9,0,33,71,6,0,40,66,33,74
18003001450,18,003,001450,38.3,456.8,6.8,8.8,39.8,450.7,18.6,0,41.6,456.7,6.7,0,62.1,441,49.1,450
18003001460,18,003,001460,45.1,180.2,6,2,44.1,178.2,8,0,42.2,183.2,5,0,54.1,170.2,46.1,177.2
18003001470,18,003,001470,167.3,166.3,23.2,20.3,123.8,193.4,56.1,0,139.3,197.3,34.8,0,175.1,185.7,141.2,221.5
18003001480,18,003,001480,181.8,148.4,29.3,18.1,158.9,168.3,48.3,1,165.9,181.5,29.2,1,199.1,161.3,177.1,188.4
18003001490,18,003,001490,187.8,132.6,22,13,164.6,157.8,31.2,0,170.7,159.7,22.1,0,208,133.5,182.5,164.9
18003001500,18,003,001500,141,192,11,8,143,195,15,0,141,201,12,0,186,157,148,200
18003001510,18,003,001510,109,195,21,8,96,201,30,0,103,203,14,1,123,198,113,208
18003001520,18,003,001520,155.1,179.3,25,11,144.1,190.3,36,1,140.1,198.3,25,1,170.2,190.3,145.1,212.3
18003001530,18,003,001530,219.3,251.8,27.6,17.2,204.1,266.2,43.6,0,213.6,272.7,24.6,0,263.3,227.1,220.1,277
18003001540,18,003,001540,148.1,431.3,46.7,24.8,166.9,419.3,53.7,0,162,440.2,35.8,0,202.7,419.3,195.8,430.3
18003001550,18,003,001550,257.3,240.8,37.2,15.3,247.1,258.9,46.4,0,262.8,263.5,22.9,0,319.8,210.8,245.4,296.8
18003001560,18,003,001560,271,212.9,28.1,17,230.1,239.9,59,1,237.1,253.6,28,0,294.1,208.7,233.1,277.6
18003001570,18,003,001570,181,208.7,26.9,6.2,176.5,208.2,37,0,182.3,215.9,21.4,0,225.4,183,183.8,228.7
18003001580,18,003,001580,160,156,35,12,137,174,43,0,145,179,25,0,167,173,148,195
18003001590,18,003,001590,95.5,110.4,30.2,5.7,88.1,128.2,21.8,0,88.9,134.4,14.2,0,114.4,113.6,98.3,133.4
18003001600,18,003,001600,38,231,3,1,37,220,7,0,43,216,4,0,46,217,37,222
18003001610,18,003,001610,33,221,6,4,29,217,15,0,31,218,5,0,48,207,31,217
18003001620,18,003,001620,44,299,7,4,39,287,28,0,45,298,10,0,62,293,49,302
18003001630,18,003,001630,26,319,8,2,22,318,9,0,24,319,4,0,40,306,24,323
18003001640,18,003,001640,53,341,8,1,47,335,10,0,46,326,13,0,61,325,47,344
18003001650,18,003,001650,82,338,9,3,84,339,10,0,79,344,6,0,98,335,85,349
18003001660,18,003,001660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18003001670,18,003,001670,2.9,2.8,0,0,2.9,2.8,0,0,2.9,2.8,0,0,2.9,2.8,2.9,2.8
18003001680,18,003,001680,24,330,9,4,24,327,12,0,25,327,7,0,41,319,23,336
18003001690,18,003,001690,36,356,6,8,35,353,11,0,34,358,6,1,51,350,40,357
18003001700,18,003,001700,100.9,541.6,23,4,90.9,547.6,24,0,82.9,561.6,18,0,132.9,521.6,91.9,567.6
18003001710,18,003,001710,56,424,8,5,51,429,17,0,52,431,7,0,72,419,58,437
18003001720,18,003,001720,165,401,5,2,158,396,11,0,164,393,7,1,190,369,148,413
18003001730,18,003,001730,60,478,12,3,65,466,16,0,57,474,11,0,87,455,62,487
18003001740,18,003,001740,85,295,5,4,76,294,18,0,71,305,7,0,118,265,77,303
18003001750,18,003,001750,80.4,244.2,12.8,1,71.6,226.6,25.5,0,69.6,239.3,11.8,0,96.1,227.6,84.3,239.3
18003001760,18,003,001760,125,513,12,8,119,510,25,0,123,515,8,1,162,482,128,517
18003001770,18,003,001770,100,455,14,5,88,461,17,0,90,464,12,0,125,437,97,463
18003001780,18,003,001780,4,10,1,0,3,12,1,0,4,11,1,0,6,10,4,12
18003001790,18,003,001790,1.4,0.6,0.1,0,1.3,0.7,0.2,0,1.2,0.8,0.1,0,1.5,0.6,1.4,0.8
18003001800,18,003,001800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18003001810,18,003,001810,57.8,334.2,17.3,6.7,64.5,319.8,18.3,0,74.2,319.8,12.5,0,94.4,305.4,71.3,328.5
18003001820,18,003,001820,112,364,14,2,113,353,22,0,107,365,8,0,141,342,116,370
18003001830,18,003,001830,40,409,5,4,40,395,15,0,39,399,11,0,45,400,40,406
18003001840,18,003,001840,108,189,13,8,98,186,29,0,109,195,14,0,131,180,113,198
18003001850,18,003,001850,4.4,0.6,0,0,4.1,0.7,0.1,0,3.4,1.5,0.1,0,4.3,0.7,3.2,1.8
18003001860,18,003,001860,5,0.4,1,0,5,0.4,1,0,5,1.4,0,0,5,1.3,5,1.4
18003001870,18,003,001870,80,180,9,4,67,177,27,0,75,188,9,0,90,169,75,192
18003001880,18,003,001880,174,489,25,12,164,489,39,1,167,505,15,1,220,468,177,506
18003001890,18,003,001890,30,361,11,8,32,351,19,3,33,360,10,1,41,361,37,364
18003001900,18,003,001900,83,176,6,1,63,192,9,0,73,183,8,1,91,170,74,187
18003001910,18,003,001910,39,450,10,4,37,456,10,0,36,462,7,0,55,449,32,472
18003001920,18,003,001920,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
18003001930,18,003,001930,458,243,28,10,460,259,14,1,472,250,8,0,504,210,453,267
18003001940,18,003,001940,577,269,30,20,587,281,30,0,606,272,15,0,666.1,212,582,305
18003001950,18,003,001950,572,295,50,21,608,296,34,1,603,299,19,0,668,235,588,322
18003001960,18,003,001960,378,179,17,5,402,165,12,0,402,171,3,0,444,123,386,189
18003001970,18,003,001970,88,56,6,0,84,56,6,0,89,54,1,0,98,41,86,58
18003001980,18,003,001980,437,219,44,17,453,239,26,0,476,224,11,0,532,164,464,241
18003001990,18,003,001990,644,375,42,19,660,370,47,0,671,375,16,0,733,316,645,400
18003002000,18,003,002000,439.1,245.8,30.7,12.2,423.8,273,34.7,0,431.8,276.4,17.3,0,503.3,205.7,418.4,296.9
18003002010,18,003,002010,104.1,107.2,6,8.1,107.1,100.1,14.7,0,109.9,103.8,8.1,0,133.7,77.9,105.6,107.5
18003002020,18,003,002020,31.1,9.5,0,0,26.8,9.5,1.7,0,26.8,12.1,0,0,32,7.8,27.7,11.2
18003002030,18,003,002030,15.8,2.8,0.1,1,14.7,4.9,0.1,0,12.8,6.8,0.1,0,15.9,3.8,12.8,6
18003002040,18,003,002040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18003002050,18,003,002050,125.7,56.6,1.8,1.8,113,63,7.2,0,110.2,73,1.8,0,138.4,45.8,112.9,72.2
18003002060,18,003,002060,67,24,4,0,56,33,6,0,61,30,3,0,69,19,55,37
18003002070,18,003,002070,318.6,142.8,24.3,10,276.5,176.4,37.5,0,286.4,178.7,21.2,0,344,128.5,294.7,181.7
18003002080,18,003,002080,3.1,1.1,0.2,0,2.9,1.4,0.2,0,2.9,1.4,0.1,0,3.3,1,2.8,1.5
18003002090,18,003,002090,2.4,0.8,0.1,0,2.1,1,0.1,0,2.1,1,0.1,0,2.4,0.8,2.1,1.1
18003002100,18,003,002100,578,119,27,7,571,133,27,0,554,164,9,0,618,98,532,192
18003002110,18,003,002110,622.6,85.9,14.8,5,598,104.7,21.7,1,609.8,100.7,10.9,0,637.5,64.2,567.4,140.2
18003002120,18,003,002120,331,126,21,8,323,138,25,0,324,151,10,0,365,106,297,179
18003002130,18,003,002130,607,184,29,10,606,190,30,0,617,194,16,0,660,143,595,225
18003002140,18,003,002140,581.6,173.1,35,8,575.5,190.1,25,1,566.5,205.1,18,0,637.6,132.1,522.5,253.2
18003002150,18,003,002150,295.2,40.5,7.3,5.2,287.9,48.9,11.3,0,282.4,57.2,7.3,0,305.1,33.9,277.1,67.9
18003002160,18,003,002160,0.3,0.1,0,0,0.3,0.1,0,0,0.3,0.1,0,0,0.3,0.1,0.3,0.1
18003002170,18,003,002170,483,110,30,5,449,137,42,0,443,153,25,0,518,92,435,182
