GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREBSEG,G20PREOWRI
2400511-025,24,005,11-025,41.36,28.02,0.6,0.43,0.05,0.32
2400511-026,24,005,11-026,81,175,4,2,0,2
2400511-027,24,005,11-027,3,5,0,0,0,0
2400512-001,24,005,12-001,498,743,13,11,4,6
2400512-002,24,005,12-002,628,772,11,9,5,7
2400512-003,24,005,12-003,771,1107,19,11,3,14
2400512-004,24,005,12-004,706,1549,38,6,3,12
2400512-005,24,005,12-005,559.38,1059.81,24.02,17.01,2,6
2400512-006,24,005,12-006,562.99,616.8,14.9,9.94,1.66,4.97
2400512-007,24,005,12-007,949.58,1316.22,17.73,9.49,12.08,15.24
2400512-008,24,005,12-008,484,871,19,8,4,8
2400512-009,24,005,12-009,312.59,327.46,9.33,3.28,2.01,2.21
2400512-010,24,005,12-010,714.36,690.48,28.85,10.94,1.99,12.93
2400512-011,24,005,12-011,939,933,27,8,3,9
2400512-012,24,005,12-012,608.64,902.94,22.93,10.06,2,6.01
2400512-013,24,005,12-013,752.16,67.63,5.14,5.82,0.04,3.87
2400513-001,24,005,13-001,923,613,20,12,1,8
2400513-002,24,005,13-002,608,608,19,7,2,11
2400513-003,24,005,13-003,943,1025,35,6,2,18
2400513-004,24,005,13-004,1052,1111,48,11,1,23
2400513-005,24,005,13-005,879.77,1118.98,49.95,15,3.01,14
2400513-006,24,005,13-006,334.53,333.62,11.26,4.39,2.32,2.19
2400513-007,24,005,13-007,561,401,4,9,0,3
2400513-008,24,005,13-008,353,773,24,5,0,2
2400513-009,24,005,13-009,1038,1099,37,8,2,10
2400514-001,24,005,14-001,719.71,745.48,27.01,5,0,15.01
2400514-002,24,005,14-002,1666.29,1121.52,31.99,8,3,15.99
2400514-003,24,005,14-003,1443.85,785.32,23.59,8.85,1.97,10.81
2400514-004,24,005,14-004,232.15,149.68,3.41,1.15,0.03,2.19
2400514-005,24,005,14-005,383,122,9,5,0,1
2400514-006,24,005,14-006,1158,1065,50,15,4,21
2400514-007,24,005,14-007,999,658,26,5,2,3
2400514-008,24,005,14-008,1363.03,425.08,13.91,8.69,3.48,11.3
2400514-009,24,005,14-009,2166.14,669.68,18.33,12.82,4.33,11.07
2400514-010,24,005,14-010,1062.88,712.59,20.45,6.29,1.12,6.37
2400514-011,24,005,14-011,1002.96,691.65,16.32,9.2,2.08,12.26
2400514-012,24,005,14-012,719,670,37,14,4,14
2400514-013,24,005,14-013,1113,501,12,8,1,8
2400514-014,24,005,14-014,264,142,8,1,2,1
2400515-001,24,005,15-001,373.35,450.67,9.93,6.36,1.19,2.32
2400515-002,24,005,15-002,628.63,1026.13,19.77,6.32,1.13,8.93
2400515-003,24,005,15-003,485,1035,19,5,2,3
2400515-004,24,005,15-004,1193,694,17,13,2,10
2400515-005,24,005,15-005,2450.64,1659.98,35.4,25.57,2.95,18.68
2400515-006,24,005,15-006,432.65,1314.25,23.98,4.8,0,4.8
2400515-007,24,005,15-007,837.9,964.28,16.83,8.11,0.99,4.16
2400515-008,24,005,15-008,785.76,942.77,18.01,12,4,14.99
2400515-009,24,005,15-009,286.72,514.35,12.59,1.94,0.97,2.91
2400515-010,24,005,15-010,803.08,714.29,29.68,12.13,1,5.37
2400515-011,24,005,15-011,908,786,16,6,4,4
2400515-012,24,005,15-012,379,855,20,6,0,5
2400515-013,24,005,15-013,342.87,784.24,6.65,8.91,1.07,3.95
2400515-014,24,005,15-014,144.51,306.48,13.5,2.38,1.59,0.79
2400515-015,24,005,15-015,463.69,769.04,15.08,9.42,4.71,0.94
2400515-016,24,005,15-016,560.26,757.67,13.02,2.02,3.01,4.02
2400515-017,24,005,15-017,1032.73,476.08,17.42,10,3.41,4.81
2400515-018,24,005,15-018,539.29,707.62,17.65,3.07,1.53,6.91
2400515-019,24,005,15-019,1281.39,2101.85,45.03,16.14,3.22,28.02
2400515-020,24,005,15-020,921.79,1843.91,42.23,12.51,3.32,9.67
2400515-021,24,005,15-021,786.64,1971.11,36.92,12.31,0.95,15.22
2400515-022,24,005,15-022,626.5,1932.36,25.7,9.92,0.08,13.07
2400515-023,24,005,15-023,1505.74,311.33,10.98,10.98,3.99,9.98
2400515-024,24,005,15-024,295.3,269.82,6.45,1.89,0.01,2.68
2400515-025,24,005,15-025,1453.88,1574.61,30.1,11.57,3.11,15.23
2400515-026,24,005,15-026,357.71,1166.48,12.57,4.15,2.04,5.14
2400901-001,24,009,01-001,1123.99,1002.76,29.13,5.62,2.82,8.43
2400901-002,24,009,01-002,929.47,783.01,35.68,3.76,3.76,6.57
2400901-003,24,009,01-003,531.65,681.22,24.1,4.96,0.71,7.09
2400901-004,24,009,01-004,701.38,1043.5,23.47,3.61,0.9,12.64
2400901-005,24,009,01-005,982,1050,45,8,0,17
2400901-006,24,009,01-006,945.38,921.98,49.61,3.74,2.81,6.55
2400901-007,24,009,01-007,848.14,912.84,41.1,5.25,2.62,8.74
2400902-001,24,009,02-001,1082.07,1317.61,36.39,0.01,0.95,14.34
2400902-002,24,009,02-002,915.92,1108.22,30.41,2.68,0,6.26
2400902-003,24,009,02-003,458.19,734.39,11.78,5.3,1.77,2.94
2400902-004,24,009,02-004,1291.15,1182.13,33.54,6,0.03,8.56
2400902-005,24,009,02-005,1034.63,1315.29,38.14,7.82,2.93,11.73
2400902-006,24,009,02-006,657.6,804.37,19.46,0,2.43,7.3
2400902-007,24,009,02-007,447.08,689.08,11.87,2.64,0.66,8.57
2400902-008,24,009,02-008,1123.57,1415.22,26.97,5.43,3.14,11.24
2400903-001,24,009,03-001,730.22,697.64,16.29,3.83,0.96,8.62
2400903-002,24,009,03-002,851.79,768.48,31.01,6.04,0.89,10.32
2400903-003,24,009,03-003,1282.03,1394.6,32.52,4,0.44,20.32
2400903-004,24,009,03-004,785.25,995.66,30.3,12.69,1.95,8.81
2400903-005,24,009,03-005,1417.06,1442.98,18.39,4.2,1.3,21.89
2400903-006,24,009,03-006,623.75,814.88,20.79,6.93,1.54,10.01
2400903-007,24,009,03-007,1040.97,1439.78,36.93,7.64,1.14,24.93
2400903-008,24,009,03-008,1355.76,1083.26,39.74,6.16,2,22.64
24009ZZZZZZ,24,009,ZZZZZZ,1115.35,1324.05,42.56,7.42,2.38,12.25
2401101-001,24,011,01-001,199.17,780.18,9.72,5.83,0.97,1.94
2401102-001,24,011,02-001,856.38,2099.76,41.73,19.66,3.43,11.91
2401103-001,24,011,03-001,1413.72,2154.04,57.37,15.16,11.03,18.11
2401104-001,24,011,04-001,706.71,1495.75,33.03,10.05,0.36,9.09
2401105-001,24,011,05-001,757.7,1070.59,26.08,19.1,9.02,8
2401106-001,24,011,06-001,345.79,832.79,15.54,3.93,2.91,4.86
2401107-001,24,011,07-001,567.93,1086.61,18.37,10.35,2.6,6.09
2401108-001,24,011,08-001,288,865,30,7,2,5
2401301-001,24,013,01-001,806.9,1993.98,45.54,24.75,5.94,21.78
2401301-002,24,013,01-002,702.45,1394.66,58.05,26.05,6.01,18.07
2401302-001,24,013,02-001,394.65,787.02,25.15,7.05,2,5.03
2401302-002,24,013,02-002,407.65,976.36,26.41,4.19,0.05,9.15
2401303-001,24,013,03-001,871.74,2327.82,60.24,12.07,8.01,22.06
2401304-001,24,013,04-001,1727.98,3021.72,103.58,29.88,4.98,52.79
2401304-002,24,013,04-002,657,1353,46,7,2,12
2401304-003,24,013,04-003,1459.77,2539.69,83.18,26.83,6.96,44.66
2401305-001,24,013,05-001,1274.09,1257.32,51.96,18.22,3.07,47.58
2401305-002,24,013,05-002,2216.96,2442.96,95.84,28.02,12.17,52.75
2401305-003,24,013,05-003,1007.97,1265.38,51.74,18.94,5.98,24.66
2401305-004,24,013,05-004,2844.81,3020.92,115.74,26.73,8.64,69.4
2401305-005,24,013,05-005,751.76,838.5,38.04,10.65,3.04,15.98
2401305-006,24,013,05-006,211,178,6,2,1,0
2401306-001,24,013,06-001,1261.83,3311.19,81.54,22.87,3.98,21.88
2401306-002,24,013,06-002,1095.78,2703.33,73.04,14.01,5,28.02
2401307-001,24,013,07-001,565.4,737.31,22.85,11.92,0.99,16.89
2401307-002,24,013,07-002,906.6,1551.69,55.15,11.08,4.01,25.11
2401307-003,24,013,07-003,1090,1131,50,17,4,17
2401307-004,24,013,07-004,2178.54,2791.37,99.28,31.08,8.01,38.08
2401307-005,24,013,07-005,330,330,13,1,1,5
2401307-006,24,013,07-006,827,1140,35,9,6,27
2401307-007,24,013,07-007,1819.89,2251.62,92.94,26.98,4,31.98
2401307-008,24,013,07-008,485,991,27,8,1,14
2401308-001,24,013,08-001,1044.07,2403.1,67.46,17.81,4.68,30.93
2401308-002,24,013,08-002,819.89,1790.75,72.02,12.83,2.96,32.56
2401308-003,24,013,08-003,726.5,1160.73,55.8,5.99,4.98,16.95
2401309-001,24,013,09-001,1009,2106,53,14,6,29
2401309-002,24,013,09-002,471.41,1062.41,13.95,3.99,4.98,10.96
2401310-001,24,013,10-001,148.07,596.08,12.09,1.01,2.01,10.05
2401311-001,24,013,11-001,712.18,1539.51,53.2,13.05,1.01,26.06
2401312-001,24,013,12-001,214.35,520.98,18.85,5.95,0,3.97
2401313-001,24,013,13-001,2551.77,3624.53,128.07,29.01,19.01,64.05
2401314-001,24,013,14-001,897,1436,70,9,5,18
2401314-002,24,013,14-002,1656.23,2911.48,105.07,24.01,6.02,46.03
2401314-003,24,013,14-003,256.77,516.52,14.93,2.99,3.98,6.97
2401501-001,24,015,01-001,981.57,1605.93,33.3,12.94,6.95,10.98
2401502-001,24,015,02-001,501.16,870.32,23.24,3.73,0.93,5.57
2401502-002,24,015,02-002,426.94,731.01,12.86,8.83,2.41,2.42
2401503-001,24,015,03-001,1403.26,1385.4,41.3,17.06,8.02,18.09
2401503-002,24,015,03-002,395.91,816.26,19.22,7.44,2.51,4.36
2401503-003,24,015,03-003,988.44,1227.08,28.71,11.91,6.9,8.87
2401503-004,24,015,03-004,107.89,276.77,5.77,0.98,1.91,1.92
2401503-005,24,015,03-005,353.87,322.65,12.36,2.86,0.96,3.81
2401503-006,24,015,03-006,466.74,987.82,20.38,6.79,5.82,7.76
2401503-007,24,015,03-007,706.36,614.04,14.76,5.85,8.7,2.98
2401504-001,24,015,04-001,1214.84,1702.36,46.57,8.92,3.96,10.9
2401504-002,24,015,04-002,811.16,556.64,22.43,9.08,3.04,5.1
2401505-001,24,015,05-001,555,1103.75,23.74,11.87,3.96,8.88
2401505-002,24,015,05-002,701.68,1067.3,33.37,11.22,4.51,5.84
2401505-003,24,015,05-003,1053.6,1964.32,63.7,12.05,6.03,10.33
2401505-004,24,015,05-004,556.2,623.12,21.96,10.97,3.99,3.07
2401505-005,24,015,05-005,876.42,1932.83,53.18,14.62,3.42,11.08
2401505-006,24,015,05-006,220.26,284.27,7.53,4.71,0,0
2401506-001,24,015,06-001,604.31,1835.87,30.91,9.97,2.99,9.97
2401506-002,24,015,06-002,504.29,1685.27,33.41,7,0.06,9.97
2401506-003,24,015,06-003,132.53,414.77,8.58,0.95,0,0.95
2401507-001,24,015,07-001,519.33,1343.49,14.04,5.49,2.68,13.58
2401507-002,24,015,07-002,970.23,1370.94,33.26,8.38,2.02,13.02
2401507-003,24,015,07-003,205.46,343.51,13.91,3.98,1,1.05
2401507-004,24,015,07-004,59.46,170.95,5.78,1.65,0,0
2401508-001,24,015,08-001,341.54,1337.68,20.29,10,0.91,3.75
2401509-001,24,015,09-001,378.68,1124.57,18.26,7.07,2.02,6.05
2401509-002,24,015,09-002,327.22,854.19,23.12,5.97,1.97,3.99
24015ZZZZZZ,24,015,ZZZZZZ,402.46,704.68,17.98,5.75,2.2,3.74
2401701-001,24,017,01-001,1905.26,1084.51,33.64,18.26,5.09,12.27
2401701-002,24,017,01-002,946.38,1196.97,29.48,8.84,0,12.78
2401701-003,24,017,01-003,1645.16,1298.09,48.27,15.39,4.08,22.4
2401701-004,24,017,01-004,674.99,773.59,31.82,4.69,3.87,11.66
2401702-001,24,017,02-001,490.54,678.99,20.94,4.99,3.99,1
2401703-001,24,017,03-001,768.5,842.89,14.02,7.01,5.01,10
2401704-001,24,017,04-001,544.79,1243.78,27.57,8.26,2.02,12.29
2401704-002,24,017,04-002,462.88,925.76,14.65,6.84,0,6.84
2401705-001,24,017,05-001,812.06,1320.58,24.01,10.66,1.78,13.34
2401706-001,24,017,06-001,943,841,21,10,5,20
2401706-002,24,017,06-002,2231.03,957.13,22.49,17.32,4.1,11.15
2401706-003,24,017,06-003,1977.2,316.36,10.31,4.17,5.12,9.39
2401706-004,24,017,06-004,2415.96,365.39,19.49,16.56,3.9,15.57
2401706-005,24,017,06-005,2679.18,280.16,13.57,14.54,3.88,13.57
2401706-006,24,017,06-006,1637.48,573.51,21.75,17.8,2.97,5.93
2401706-007,24,017,06-007,1894,364,17,12,5,10
2401706-008,24,017,06-008,1118,215,10,9,2,3
2401706-009,24,017,06-009,1450.5,199.84,13.39,12.43,2.87,4.78
2401706-010,24,017,06-010,2676.89,315.96,14.63,7.8,5.85,17.55
2401706-011,24,017,06-011,1528,305,8,8,1,8
2401706-012,24,017,06-012,821,204,8,2,3,6
2401706-013,24,017,06-013,2367.79,530.95,19,16,7,14
2401706-014,24,017,06-014,2883,637,31,17,4,14
2401706-015,24,017,06-015,1423.8,186.21,8.01,7.01,2,6.01
2401706-016,24,017,06-016,1035.36,229.55,12.49,7.68,2.88,4.8
2401706-017,24,017,06-017,974,237,4,4,1,5
2401706-018,24,017,06-018,2853.41,248.56,6.62,9.58,4.13,19.22
2401706-019,24,017,06-019,1543,462,26,5,4,9
2401706-020,24,017,06-020,890.65,248.47,11.51,5.43,2.1,4.4
2401706-021,24,017,06-021,1119.11,224.47,12.05,8.02,1.02,5.04
2401706-022,24,017,06-022,1461,164,14,12,3,8
2401707-001,24,017,07-001,413.35,466.24,11.15,2.09,2.04,14.03
2401707-002,24,017,07-002,1390.82,338.28,18.85,17.86,3.97,4.96
2401707-003,24,017,07-003,1804,568,18,7,1,8
2401707-004,24,017,07-004,1408.56,261,7.7,6.3,2.8,4.2
2401708-001,24,017,08-001,1443,1522,32,10,1,25
2401708-002,24,017,08-002,1091,575,17,7,5,6
2401708-003,24,017,08-003,962,351,11,5,1,5
2401708-004,24,017,08-004,3228.93,987.86,22.43,20.46,4.12,25.43
2401708-005,24,017,08-005,181,218,3,2,0,1
2401709-001,24,017,09-001,1229,785,15,5,4,11
2401709-002,24,017,09-002,856.43,999.66,18.64,7.85,2.94,5.89
2401710-001,24,017,10-001,1255.47,741.24,18.75,4.94,4.94,3.95
24017ZZZZZZ,24,017,ZZZZZZ,720.01,282.88,6.55,4.12,1.47,3.46
2401901-001,24,019,01-001,190.08,646.67,3.92,4.9,0.98,0
2401901-002,24,019,01-002,0,0,0,0,0,0
2401902-001,24,019,02-001,211.14,745.27,13.14,2.04,0,1
2401902-002,24,019,02-002,83,64,3,2,1,0
2401902-003,24,019,02-003,16.03,81.11,0.94,0,0,0
2401902-004,24,019,02-004,47.83,118.62,1.91,0.96,0,0
2401903-001,24,019,03-001,31.51,68.74,0.57,0.57,0,0
2401903-002,24,019,03-002,121,126,7,1,1,4
2401904-001,24,019,04-001,45.18,112.18,2.43,0.18,1,1.08
2401905-001,24,019,05-001,20.7,117.09,1,2,0,0
2401906-001,24,019,06-001,38.67,202.07,1.01,1,1,1
2401907-001,24,019,07-001,238.14,282.85,8.6,6.02,0,1.72
2401907-002,24,019,07-002,1483.46,241.12,6.01,18,16,1.01
2401907-003,24,019,07-003,193.93,339.5,4.7,1.66,0.63,2.25
2401907-004,24,019,07-004,244,167.01,1,5,1,1
2401907-005,24,019,07-005,102,29,1,0,1,0
2401907-006,24,019,07-006,967.42,1045.63,33.35,9.43,1.6,7.44
2401907-007,24,019,07-007,71.14,20.43,0.76,0.76,0.76,0.38
2401907-008,24,019,07-008,14,30,0,0,0,0
2401907-009,24,019,07-009,435,311,8,11,1,5
2401907-010,24,019,07-010,135.95,53.98,0,2,2,1
2401907-011,24,019,07-011,13,32,0,0,0,0
2401908-001,24,019,08-001,187.52,356.09,5.98,1.99,0,1
2401909-001,24,019,09-001,123.44,313.55,11.26,1.07,1,2.12
2401910-001,24,019,10-001,32.89,101.54,0,0,0,0
2401911-001,24,019,11-001,8.65,34.53,0,0,0,0
2401912-001,24,019,12-001,68,140,2,2,0,1
2401912-002,24,019,12-002,142.18,92.73,0.88,1.77,1.77,0.88
2401913-001,24,019,13-001,43.03,151.58,0,0,0.41,0
2401913-002,24,019,13-002,35.76,24.62,0,0,0.59,0
2401914-001,24,019,14-001,223.36,635.63,10.82,1.97,0.98,2.95
2401914-002,24,019,14-002,27.64,37.37,0.18,0.03,0.02,0.05
2401914-003,24,019,14-003,154,420,3,1,0,1
2401914-004,24,019,14-004,0,0,0,0,0,0
2401915-001,24,019,15-001,341.52,804.57,23.05,8.06,2.75,0.98
2401915-002,24,019,15-002,25.22,50.74,1,0.01,0,0
2401915-003,24,019,15-003,519.59,269.95,6.04,4.12,4.12,5.04
2401916-001,24,019,16-001,83.07,204.92,4.41,1.77,0,0.88
2401917-001,24,019,17-001,37,77,2,3,1,0
2401917-002,24,019,17-002,6.83,11.81,1.02,0.02,0,0
2401918-001,24,019,18-001,10.09,19.34,0,0,0,0
2402101-001,24,021,01-001,1414.21,1183.23,40.91,10.97,2,17.96
2402101-002,24,021,01-002,2311.95,977.56,45.98,10,4,23.99
2402101-003,24,021,01-003,755.48,649.46,35.9,6,3.98,10.99
2402102-001,24,021,02-001,1684.62,584.97,42.78,24.42,7.12,14.57
2402102-002,24,021,02-002,482.41,176.37,17.04,5.93,0.74,4.45
2402102-003,24,021,02-003,1821.03,705.45,47.19,11.79,2.42,17.3
2402102-004,24,021,02-004,2287.57,925.72,47.34,26.47,11.5,18.6
2402102-005,24,021,02-005,2309.26,807.21,43,21.5,6.84,26.39
2402102-006,24,021,02-006,1367.26,757.57,31.09,12.06,3,14.02
2402102-007,24,021,02-007,1961.78,861.71,44.45,20.48,4.88,16.47
2402102-008,24,021,02-008,2194.72,978.95,50.46,15.12,7,12.17
2402102-010,24,021,02-010,2308.52,1105.25,38.53,14.55,8.21,27.82
2402102-011,24,021,02-011,1398.98,525.34,27.02,13.01,6,6.01
2402102-013,24,021,02-013,1894.17,631.78,42.81,21.67,6.21,14.25
2402102-014,24,021,02-014,1187,533,25,9,6,11
2402102-015,24,021,02-015,2501.84,1391.51,34.31,8.86,3.4,15.95
2402102-016,24,021,02-016,1071.3,399.03,22.95,14.21,0.95,4.12
2402102-017,24,021,02-017,1088.58,289.49,15.98,14.56,5.24,11.37
2402102-018,24,021,02-018,940.21,455.41,18.61,6.86,1.96,15.67
2402103-001,24,021,03-001,833,917,26,9,5,13
2402103-002,24,021,03-002,1357,1568,52,10,1,28
2402103-003,24,021,03-003,927,915,28,11,4,22
2402104-001,24,021,04-001,206.13,526.85,10.22,3.27,3.05,2.27
2402105-001,24,021,05-001,852.67,1830.48,38.04,17.01,2,25.02
2402106-001,24,021,06-001,337.96,930.63,15.67,6.86,0.98,5.88
2402107-001,24,021,07-001,1075.94,838.59,43.32,9.11,2.05,11.16
2402107-002,24,021,07-002,2615,1312,47,14,4,36
2402107-003,24,021,07-003,1181,991,28,5,1,20
2402107-004,24,021,07-004,1395.74,781.18,23.52,2.94,3.92,22.54
2402107-005,24,021,07-005,31,45,2,0,0,0
2402107-006,24,021,07-006,3.07,3.36,0.14,0.04,0,0.09
2402107-007,24,021,07-007,300.3,244.9,4.86,5.83,0,6.8
2402108-001,24,021,08-001,479.14,933.93,14.61,3.9,1.95,5.84
2402109-001,24,021,09-001,1113.55,1142.83,38.26,8.89,3.59,24.09
2402109-002,24,021,09-002,2007.63,1968.43,54.92,12.15,7.42,39.95
2402109-003,24,021,09-003,277.65,281.88,11.57,3.08,0.09,7.46
2402109-004,24,021,09-004,1270.78,1649.62,69.6,13.92,0.99,18.89
2402109-005,24,021,09-005,648.92,592.73,14.43,3.11,2,11.28
2402109-006,24,021,09-006,1629.06,1220.2,46.94,12.52,2.16,17.91
2402109-007,24,021,09-007,2207.58,1956.92,73.14,9.05,2.02,39.09
2402109-008,24,021,09-008,561,418,17,7,2,12
2402109-009,24,021,09-009,762,540,26,4,2,11
2402110-001,24,021,10-001,284,940,22,5,8,6
2402111-001,24,021,11-001,544.7,1161.56,25.28,5.63,0.97,5.69
2402112-001,24,021,12-001,1251.54,1251.2,49.1,19.27,5.11,9.39
2402112-002,24,021,12-002,1,2,0,0,0,0
2402113-001,24,021,13-001,1918.42,1640.08,57.86,22.95,6.98,36.91
2402113-002,24,021,13-002,34,72,0,0,0,0
2402113-003,24,021,13-003,129.49,106.55,7.65,2.04,0.51,1.02
2402114-001,24,021,14-001,1286.4,1518.5,41.31,6.88,4.92,19.67
2402114-002,24,021,14-002,129,260,6,2,0,2
2402115-001,24,021,15-001,700,1503,41,11,4,12
2402115-002,24,021,15-002,811.33,1788.52,46.96,13.99,5,24.98
2402116-001,24,021,16-001,1066.97,1580.7,52.47,11.18,3.07,13.21
2402117-001,24,021,17-001,354.93,871.92,14.91,1.99,0.99,8.95
2402118-001,24,021,18-001,1117.19,1308.61,63.52,13.9,4.94,21.9
2402118-002,24,021,18-002,695.09,1344.19,30.4,7.84,0,19.61
2402118-003,24,021,18-003,567.45,671.36,19.68,4.15,0.06,8.23
2402119-001,24,021,19-001,299.27,756.71,27.83,6.96,1.01,7.98
2402120-001,24,021,20-001,615.03,1241.38,39.94,13.22,2.04,13.21
2402120-002,24,021,20-002,0.18,0.37,0.01,0,0,0
2402121-001,24,021,21-001,580.34,748.45,15.55,4.86,3.89,10.69
2402121-002,24,021,21-002,998.28,453.05,23.54,5.88,0,8.83
2402121-003,24,021,21-003,707.23,415.45,15.46,4.83,0.97,16.42
2402121-004,24,021,21-004,1661.67,887.29,53.44,6.25,5.09,21.67
2402121-005,24,021,21-005,0,0,0,0,0,0
2402121-006,24,021,21-006,0,0,0,0,0,0
2402121-007,24,021,21-007,305,297,11,2,3,5
2402121-008,24,021,21-008,8,9,1,0,0,1
2402122-001,24,021,22-001,405.29,553.96,11.13,4.07,2.01,8.02
2402122-002,24,021,22-002,2,0,0,0,0,0
2402123-001,24,021,23-001,2220.95,1422.12,50.67,15.95,11.26,30.03
2402123-002,24,021,23-002,23.24,7.44,0,0,0,0
2402123-003,24,021,23-003,0,0,0,0,0,0
2402123-004,24,021,23-004,0,0,0,0,0,0
2402124-001,24,021,24-001,741,750,26,7,2,11
2402124-002,24,021,24-002,419.84,352.69,12,2,1,3
2402124-003,24,021,24-003,289,201,10,2,1,0
2402124-004,24,021,24-004,0.16,0.31,0,0,0,0
2402124-005,24,021,24-005,470.78,273.28,4.02,2.01,3,4.01
2402124-006,24,021,24-006,10,14,2,1,0,0
2402125-001,24,021,25-001,1376.06,1221.29,50.6,18.85,3.97,7.94
2402126-001,24,021,26-001,1418.15,1352.1,40.62,15.1,7.56,13.24
2402126-002,24,021,26-002,1189.61,1169.89,52.4,7.16,8.08,32.11
2402301-001,24,023,01-001,299.75,827.65,19.61,4.2,3.03,2.03
2402302-001,24,023,02-001,187,743,11,3,1,3
2402303-001,24,023,03-001,210.09,1062.38,26.88,5.97,2.99,3.98
2402303-002,24,023,03-002,71,320,1,4,0,0
2402304-001,24,023,04-001,42.18,332.65,0.07,1.01,0.02,0.02
2402305-001,24,023,05-001,231.91,834.62,9.12,1.03,1.01,3.02
2402306-001,24,023,06-001,356.69,842.48,16.99,6.99,1,4.99
2402307-001,24,023,07-001,347.73,906.76,20.73,6.27,1.03,3.12
2402308-001,24,023,08-001,56,352,1,3,1,0
2402308-002,24,023,08-002,60,379,4,1,0,1
2402309-001,24,023,09-001,124.07,528.7,5.72,4.75,1.89,0.96
2402310-001,24,023,10-001,264.13,835.87,24.11,2.07,0,0.99
2402311-001,24,023,11-001,21.53,108.39,0.51,0.12,1.05,0.17
2402312-001,24,023,12-001,68.67,356.89,3.87,0.97,0.97,0.97
2402313-001,24,023,13-001,34.58,186.04,2.38,0.77,0,0
2402314-001,24,023,14-001,400.99,1199.63,22.33,8.74,0.97,3.89
2402314-002,24,023,14-002,109,585,9,4,1,2
2402315-001,24,023,15-001,67,264,4,1,1,0
2402316-001,24,023,16-001,331.88,1357.01,29.98,5,2,2
2402501-001,24,025,01-001,1617.6,633.6,24,11.52,3.84,6.72
2402501-002,24,025,01-002,830.84,1095.43,32.85,2.79,1.76,6.44
2402501-003,24,025,01-003,643.91,428.97,9.94,4.53,1.8,0.99
2402501-004,24,025,01-004,1017.87,894.19,34.35,4.91,1.96,15.7
2402501-005,24,025,01-005,962.61,619.89,27.16,5.62,2.81,8.43
2402501-006,24,025,01-006,1338.28,385.18,18.74,9.37,4.69,7.5
2402501-007,24,025,01-007,784.92,1175.97,26.89,11.64,4.48,11.53
2402501-008,24,025,01-008,1491.53,1525.62,47.06,18.05,1.03,21.03
2402501-009,24,025,01-009,861.6,987.23,41.55,10.88,1.98,12.86
2402501-010,24,025,01-010,1694,1253.87,41.43,20.43,2.04,13.89
2402501-011,24,025,01-011,883,1265,48,13,3,15
2402501-012,24,025,01-012,1168,1356,38,7,4,18
2402501-013,24,025,01-013,685.24,490,15.47,5.77,1.92,5.79
2402501-014,24,025,01-014,1449.51,1857.15,58.25,17.07,3.03,35.18
2402501-015,24,025,01-015,924.32,833.73,44.82,8.12,0.07,16.84
2402501-016,24,025,01-016,1407.81,927.93,46.82,11.91,2.21,12.37
2402501-017,24,025,01-017,103.39,244.06,8.72,0.97,0,1.96
2402501-018,24,025,01-018,905.08,847.49,30.86,4.11,1.11,6.87
2402501-019,24,025,01-019,1173.05,519.23,23.09,7.96,4.78,6.37
2402501-020,24,025,01-020,1783.93,890.34,33.64,16.42,3.79,6.94
2402501-021,24,025,01-021,318.11,376.51,9.51,1.14,0.02,10.16
2402501-022,24,025,01-022,116.03,95.43,8.67,1.25,0.08,3.25
2402501-023,24,025,01-023,2.45,3.33,0.06,0.02,0,0.02
2402501-024,24,025,01-024,180.69,166.73,4.11,0.82,0,1.64
2402501-025,24,025,01-025,12,8,0,0,0,0
2402501-026,24,025,01-026,551.73,577.58,24.85,3.98,0,7.95
2402501-027,24,025,01-027,538.92,607.51,15.14,0.89,0.89,7.13
2402501-041,24,025,01-041,646.69,492.92,13.82,4.86,1.62,4.88
2402501-045,24,025,01-045,818.43,1149.77,36.85,9.99,2.15,4.69
2402502-001,24,025,02-001,584.07,288.45,14.84,1.86,2.78,5.56
2402502-002,24,025,02-002,914.07,1738.16,45.88,5.88,0.01,21.52
2402502-003,24,025,02-003,523.1,522.88,17.31,4.56,0,3.64
2402502-004,24,025,02-004,36.87,92.67,7.97,0,0,0
2402502-005,24,025,02-005,68.92,124.65,4.49,4.24,0.08,0.43
2402502-006,24,025,02-006,0,0,0,0,0,0
2402502-007,24,025,02-007,111.7,63.83,1.99,0,0,1.99
2402502-010,24,025,02-010,1201.53,707.66,38.42,7.99,3.14,13.17
2402502-011,24,025,02-011,1100.15,944.49,37.97,5.99,1.95,11.13
2402502-014,24,025,02-014,714.96,425.22,28.46,10.41,1.9,2.87
2402502-015,24,025,02-015,930.81,586.52,25.83,5.96,2.98,5.96
2402502-019,24,025,02-019,401.92,213.33,9.44,0.18,0.03,3.1
2402502-020,24,025,02-020,4,36,0,0,0,0
2402502-021,24,025,02-021,30,49,1,0,0,0
2402502-022,24,025,02-022,37.43,40.5,4.85,0.18,1.07,0.32
2402503-002,24,025,03-002,762.79,1407.67,34.35,5.09,1,18.23
2402503-003,24,025,03-003,853.15,2036.63,53.67,11.1,2.78,22.21
2402503-004,24,025,03-004,372.27,1017.47,20.28,5.07,1,4.18
