GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOTH,G16USSRSZE,G16USSDVAN,G16USSGFLO,G16USSOTH,G16H01RHAR,G16H01DWER,G16H01LBEE,G16H01OTH,G16H02RMCD,G16H02DRUP,G16H02LKAS,G16H02OTH,G16H03RPLA,G16H03DSAR,G16H03GEZE,G16H03OTH,G16H04RMCD,G16H04DBRO,G16H04LKRA,G16H04GCLA,G16H04OTH,G16H05RARN,G16H05DHOY,G16H05LSUM,G16H05OTH,G16H06RHOE,G16H06DDEL,G16H06LHOW,G16H06GGLU,G16H06OTH,G16H07RVAU,G16H07DCUM,G16H07GHOE,G16H07OTH,G16H08RCOX,G16H08DRAS,G16H08LWUN,G16H08GWAL,G16H08OTH
2400101-000,24,001,01-000,417.76,62.76,6.97,2,7.91,365.07,83.7,14.93,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354.27,98.55,5,5.97,0.01,0,0,0,0,0,0,0,0,0
2400102-000,24,001,02-000,458.92,78.29,18.03,9.01,2.04,401.68,117.38,19.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405.63,121.45,10.02,8.03,0,0,0,0,0,0,0,0,0,0
2400103-000,24,001,03-000,442.7,80.76,5.98,3.99,1,387.86,105.69,13.96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370.91,119.65,5.98,9.97,1,0,0,0,0,0,0,0,0,0
2400104-002,24,001,04-002,200,126,16,11,2,151,158,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,156,18,17,0,0,0,0,0,0,0,0,0,0
2400104-003,24,001,04-003,366,209,18,13,9,282,273,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,264,20,12,0,0,0,0,0,0,0,0,0,0
2400104-004,24,001,04-004,559,247,20,19,9,445,327,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458,309,19,17,3,0,0,0,0,0,0,0,0,0
2400104-005,24,001,04-005,329.97,162.46,12.24,16.68,2.51,259.61,205.31,35.67,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255.43,217.4,15.86,7.64,3.13,0,0,0,0,0,0,0,0,0
2400104-008,24,001,04-008,419.93,189.4,24.85,13.71,10.28,332.51,266.53,33.42,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.09,268.24,17.14,12.85,2.57,0,0,0,0,0,0,0,0,0
2400105-004,24,001,05-004,408.78,214.89,21.99,20.99,10.99,335.82,260.86,39.98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345.82,265.86,13.99,14.99,1,0,0,0,0,0,0,0,0,0
2400105-006,24,001,05-006,278.22,67.11,12.01,3.01,0.01,211.18,114.14,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.18,100.14,12.01,6.01,1,0,0,0,0,0,0,0,0,0
