GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVRHOG,G18GOVDJEA,G18GOVLQUI,G18GOVGSCH,G18GOVOWRI,G18COMRPHU,G18COMDFRA,G18COMOWRI,G18ATGRWOL,G18ATGDFRO,G18ATGOWRI,G18USSRCAM,G18USSDCAR,G18USSLVOH,G18USSISIM,G18USSOWRI
2400302-024,24,003,02-024,699.5,335,5.5,4.6,1.8,370,640.6,0,483.2,542.1,0,411.4,552.3,11.1,56.1,0
2400303-001,24,003,03-001,1078,249,9,2,0,577,720,3,817,502,0,698,550,9,72,2
2400303-002,24,003,03-002,216.8,36.6,2,0.9,0,116.9,137.4,0.6,160.9,92,0.3,144.8,91.1,3.8,16.1,0.6
2400303-003,24,003,03-003,1185.5,290.7,9.4,4.7,2.8,708.5,740.5,0,941.8,510.9,0,833.6,530.6,19.8,74.3,2.8
2400303-004,24,003,03-004,1301.6,404.5,13.2,5.1,6.1,765.3,916.1,0,984.3,721.2,1,879.5,700.7,25.5,103.9,5.1
2400303-005,24,003,03-005,1486.6,507,17.8,7.7,3,810.9,1172.7,2,1054.2,931.5,0,943,922.5,33.1,103,2
2400303-006,24,003,03-006,2600.4,1552.8,31.7,25.4,2.2,1445.7,2634.9,3,1743.8,2417.2,1,1568.4,2386.5,52.3,180.9,2.1
2400303-007,24,003,03-007,1025.2,250.5,8.3,1.9,1.9,521.4,727.5,1.9,696.1,576.8,0,618.4,546.3,19.4,98.9,0
2400303-008,24,003,03-008,937,574.1,10.5,5.4,2,488.6,1016.7,2.1,621.4,902.2,2,541.9,888.8,18.5,75,3
2400303-009,24,003,03-009,509.3,89.9,4.9,0,1.6,286.6,292.3,0,384.6,204,0,360.3,197.6,5.7,29.1,0
2400303-010,24,003,03-010,1353.4,173.6,2,8.9,0,750.7,744.8,0,1045.7,446.9,0,952.9,455.8,6.9,85.8,0
2400303-011,24,003,03-011,1596.9,218.7,9.8,2.1,1.2,843.5,952.2,0.4,1207.5,589.2,0,1113,596.9,9.2,94.4,0.9
2400303-012,24,003,03-012,1218.8,128.1,8.7,1.7,1.7,689,635,1.6,951.7,365.2,0,892.2,371.3,6.3,68.1,0.1
2400303-013,24,003,03-013,1409.5,250.8,5.8,5.4,5,819.1,807.8,2.2,1094.1,547.5,0,1006.8,543.4,13,87.5,3
2400303-014,24,003,03-014,691.5,126.9,5,2.5,0,359.6,449,1.7,513,289,2.5,457.5,281.5,10,63,1.7
2400303-015,24,003,03-015,1066,152.4,7.4,3.1,0.1,617.4,576.3,2,843.5,350.4,1,752.3,381.5,8.5,64.4,0.1
2400303-016,24,003,03-016,1027,213,10,3,0,551,673,0,744,474,0,663,481,9,93,0
2400303-017,24,003,03-017,1103.7,106.8,1.8,4.5,4.5,639.6,522,6.3,838.7,329.3,0.9,754.5,339.3,11.8,82.3,0
2400303-018,24,003,03-018,1222.2,179.9,3,2.9,1.9,715.3,663.3,2,973.5,403.3,0,898.1,412.2,15.4,57.2,0
2400303-019,24,003,03-019,1991.9,237.3,12.1,2.8,0.2,1103.6,1104.5,1.6,1501.2,687.8,0.8,1361.2,701.2,33.3,122.4,3.5
2400303-020,24,003,03-020,982,97.8,8.2,4.6,0.9,553.2,513,0,749.8,313.6,0,672,328.2,11.9,64.9,0
2400303-021,24,003,03-021,1062,348,6,3,1,559,843,2,732,672,1,666,641,16,79,5
2400303-022,24,003,03-022,881.3,205.5,4.9,0,0,437.3,630.7,4.9,639,440.9,0,567.2,456.6,4,64,0
2400303-023,24,003,03-023,1224.4,209.3,5.6,0.9,0.5,645.1,753,2.7,861.6,549.4,0.1,773.2,552,19.2,83.1,1
2400303-024,24,003,03-024,1388.2,376.6,14,8.2,1.1,769.3,977.7,0.5,1028.6,729.5,1.5,899.3,744.9,25.9,101.8,3.3
2400303-025,24,003,03-025,520,476,9,5,1,224,776,5,319,686,3,297,674,7,41,1
2400304-001,24,003,04-001,589.3,920.1,14.3,6.8,0,249.4,1233.4,1.9,306.8,1209.3,1.9,276.6,1183.4,13.9,51.2,1.9
2400304-002,24,003,04-002,869,662,13,10,2,471,1028,0,541,1000,3,443,1007,29,74,3
2400304-003,24,003,04-003,772.9,292.7,11.8,1.8,1.8,444.9,619.8,3.6,550.9,518.3,1.8,488.4,521.9,15.4,59.8,1.8
2400304-004,24,003,04-004,1102.9,261.6,5.7,6.6,0,608.9,740.6,0,790.5,566.5,1.9,722.7,553.3,19.8,71.5,2.8
2400304-005,24,003,04-005,415.7,273.9,4.5,0.2,0,196.3,483.1,0,236.7,454.1,0,206.9,454.1,9.5,28.1,0
2400304-006,24,003,04-006,458.7,1391.6,8.9,5,0,149.8,1653.8,2,141.9,1718.3,0,124.8,1697.5,12.9,28,2
2400304-007,24,003,04-007,623.1,951.4,12.1,11,0,347.4,1173.7,2.4,354,1222.7,0,315,1204.1,27.1,36.9,3
2400304-008,24,003,04-008,944.5,298.5,5.3,9.1,0,514,702.1,4.1,649.1,596.1,3,582.2,606.2,11.4,58.7,0
2400304-009,24,003,04-009,783,1409.9,9.3,10.1,3,297.2,1873.5,2,325.1,1913,2,272,1911.4,12.5,47.2,0
2400304-010,24,003,04-010,60.8,24.3,0.6,0,0,30.7,50.9,0,40.1,44.2,0,33.5,45.1,0.8,5.5,0
2400304-011,24,003,04-011,588,402,9,7,1,277,701,2,345,658,3,299,645,18,49,3
2400304-012,24,003,04-012,613.2,349.1,13.6,3.1,1.1,332,619.4,3.2,417.3,549.1,1.1,366.6,544.5,17.8,42.7,0.1
2400304-013,24,003,04-013,736.7,179.2,4.3,6.1,0,419,474.4,0,527.2,379.1,0,475.2,383.5,14.7,35.5,0.9
2400304-014,24,003,04-014,1087.5,282.5,5.4,7.5,1,539.5,806.5,0,730.2,638.7,0.3,667.5,649.2,20.2,53.4,0.1
2400304-015,24,003,04-015,1519.8,457.7,18.1,10.2,1,789.7,1159,2,1028.8,941.1,1.1,910.8,934.4,28.7,106.7,1
2400304-016,24,003,04-016,728,517,18,12,1,383,843,5,425,826,1,356,834,12,65,1
2400304-017,24,003,04-017,401.2,619.7,8.4,0.2,0,193.4,807.5,0.1,231.1,793.9,0.1,199.2,781.1,10.8,31.9,0.1
2400304-018,24,003,04-018,716,413,10,0,3,321,777,5,419,705,4,343,718,25,60,6
2400304-019,24,003,04-019,340,806,7,5,0,117,1010,2,121,1051,3,103,1024,13,24,1
2400304-020,24,003,04-020,781.7,489,16.5,13.6,0,434.4,833.2,0.1,483.9,806.4,0,411,806.3,13.6,71.5,0
2400304-021,24,003,04-021,1078,585,15,7,5,555,1067,2,697,951,1,603,954,32,68,2
2400304-022,24,003,04-022,538,501,7,2,0,283,730,5,323,712,2,291,694,16,41,0
2400304-023,24,003,04-023,1122,657,16,3,5,600,1131,2,697,1065,3,599,1124,24,65,0
2400304-024,24,003,04-024,429.3,821.5,15.1,2.9,0,183.5,1044.6,0,185.5,1068.3,0,156.1,1043.8,20.7,37,0
2400304-025,24,003,04-025,105,81,3,2,0,59,128,2,67,124,0,58,125,1,11,0
2400304-026,24,003,04-026,173.7,230.9,0,6.9,0,79.9,314.8,0,87.8,322.7,0,67.1,320.7,1,21.7,0
2400304-099,24,003,04-099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400305-001,24,003,05-001,1353.3,361.1,5.8,6.6,1.9,704.9,988.6,2,920.4,798.9,1.1,807.8,844.1,15.6,75.3,1.9
2400305-002,24,003,05-002,1250.8,509.8,6.2,3.4,2,603.6,1116.1,3,771.5,969.1,3.9,695.9,949.7,21.3,105.1,2
2400305-003,24,003,05-003,740.4,218.9,3.5,3.5,0,379.3,569.4,1.4,490.5,459.6,0,432.8,474.4,7.7,47.9,0
2400305-004,24,003,05-004,1085.3,373.3,4.9,6.9,2,516.5,919.4,2,687.3,748.6,1,636,719.9,20.7,68.1,2
2400305-005,24,003,05-005,857.5,332.2,9,3.2,0,425.2,752.4,2,551.5,648.7,0,497,654,11.2,50.3,0
2400305-006,24,003,05-006,815,265,2,0,2,361,713,2,507,571,0,452,583,14,43,2
2400305-007,24,003,05-007,888,211,3,2,2,428,663,3,561,534,0,507,538,14,52,0
2400305-008,24,003,05-008,998,320,3,9,2,458,860,0,647,653,0,563,684,14,68,2
2400305-009,24,003,05-009,673.5,191.3,6.6,2.2,0,304.9,551.6,1.8,424.8,437.8,0,366.6,437.4,17.6,56.2,0
2400305-010,24,003,05-010,322.3,73.2,1.3,1.3,0,161.8,222.9,0,221.6,161.1,0,192.7,174.6,6,16.8,0
2400305-011,24,003,05-011,998.4,304.4,12.1,9.2,0.1,494.4,803.6,0,678.3,620.6,0,606.9,599.8,17.5,81.2,1
2400305-012,24,003,05-012,747,200.9,3.1,3.1,2,361.4,583.4,0,471.2,473.6,0,417.4,474.6,7.2,60.8,1
2400305-013,24,003,05-013,1248.4,258.1,6.6,3.7,0.2,597.6,887.9,2,794.5,703.1,0,744,704.1,17.6,65.4,0.2
2400305-014,24,003,05-014,761.3,223.5,2.9,8.6,2,375.3,598.3,0,479.6,492.9,0.9,436.4,505.3,10.7,34.6,0.9
2400305-015,24,003,05-015,576,130,2,0,0,264,430,0,346,355,0,313,366,7,32,0
2400305-016,24,003,05-016,594.1,151.1,2.8,6.6,2.8,289,459,0,368.3,375.9,0,328.7,381.6,13.2,33.1,0
2400305-017,24,003,05-017,1291.5,465.5,6,10,0,659,1071.1,0,831.1,921,1,739.2,938.9,26,77,1
2400305-018,24,003,05-018,958.7,387.7,4.7,10.9,0,459.1,864.6,2.7,596.3,752,0,519,749.4,21,66.1,0.9
2400305-019,24,003,05-019,954.9,248.5,3.7,3.1,0,471.7,709.9,0.2,643.3,547.2,0.9,587.8,566.5,13.1,29.9,1
2400305-020,24,003,05-020,910.2,279.5,10.1,15.1,3.1,445.7,738.4,2,580.4,624.5,2,518.1,643.8,16.6,47.9,0.1
2400305-021,24,003,05-021,1426,548,9,7,2,705,1221,3,937,1013,2,826,1014,33,106,0
2400305-022,24,003,05-022,1128.6,409.8,8.3,9.2,2.8,541.1,982.4,0,729.9,810.3,0,654,815.9,22.2,75.8,1.9
2400305-023,24,003,05-023,1329.5,483.4,6.4,9.8,0,624.6,1175.1,4.1,848,975.3,2,749.4,971.6,24.2,81.4,3.6
2400305-024,24,003,05-024,962,172,6,7,0,472,661,0,628,508,0,554,531,9,58,2
2400305-025,24,003,05-025,658.5,200.4,1.7,4.3,0,345.4,496.4,0,452.1,396.6,1.7,410.3,381.3,13.7,55.4,0
2400305-026,24,003,05-026,1104.4,445,7.5,9,0,500.7,1028.1,1.5,673.9,876.5,0,575.2,878.4,24.4,79.3,4.4
2400305-027,24,003,05-027,1071.6,294.8,2.3,8.1,0,505.3,856.7,0.3,701.7,658.7,0,601.2,682.2,18.9,74.8,3.1
2400305-028,24,003,05-028,476.6,162.9,5,0,0,206.9,425.6,2,299.4,340.1,0,253.2,354.2,9,30.2,0
2400305-029,24,003,05-029,444,81,3,0,2,227,298,0,310,219,0,278,220,1,30,3
2400305-030,24,003,05-030,639.7,160.1,6.1,5,0.4,356.4,442.7,0,480.4,313,3,418.7,338.4,10.3,42.9,0
2400305-031,24,003,05-031,226.6,42.8,1.8,1.8,0,118.3,149.2,1.8,155.6,112.8,0,138.3,115.6,2.7,15.5,0
2400305-032,24,003,05-032,371.6,181.4,5.2,0.3,0,160.7,389.2,0.2,210.9,349.1,0,197.5,346.2,5.5,15.3,0
2400305-033,24,003,05-033,915.6,159.7,1.8,1.8,0,492.8,550.8,1.8,643.4,410.2,0,574.4,440.1,3.6,47.2,0
2400305-034,24,003,05-034,579,181.3,2.9,6.8,0,282.7,478.6,2.9,371.4,396.8,0,331.4,385,12.7,45.8,0
2400305-035,24,003,05-035,1.8,0.5,0,0,0,0.6,1.7,0,0.9,1.4,0,0.8,1.4,0,0.1,0
2400306-001,24,003,06-001,989.1,435.8,8.9,3,3,438.4,960.6,2,537.8,888.1,0,460.2,914.9,11.9,67.6,0
2400306-002,24,003,06-002,990.5,348.7,5.8,14.6,2,401.3,933.1,0,526.9,835.7,0,451,840.5,12.7,77.9,0
2400306-003,24,003,06-003,286.1,493.1,2.3,3.1,0,85.4,675,2.1,115.2,673.9,0,87.3,667,9.2,25.8,0
2400306-004,24,003,06-004,151.9,262.3,1.9,2.8,0,62.3,340.6,1.9,72.6,336.8,0,59.4,337.7,3.8,16,0
2400306-005,24,003,06-005,477,185.3,1.6,1.6,1.6,223.3,434.3,3.1,258.2,398.6,0,231.9,417.2,5.4,21.7,0
2400306-006,24,003,06-006,129.4,243.9,0,3.5,0,52.6,305.7,0,66.8,303.6,0,51.9,310.7,0.7,11.4,0
2400306-007,24,003,06-007,340,297.8,0.2,7.2,0.1,128.3,496,0.1,171.4,477.7,0,146.5,477.1,3.3,23.4,0.1
2400306-008,24,003,06-008,706.4,368.2,3,20,0,227.9,848.6,5,333.3,783.3,0,281.1,784.3,14.1,46.2,0
2400306-009,24,003,06-009,898.5,351.9,6.7,7.8,3.3,415,826,2.7,543.8,711.8,2,491,736.1,9.9,44.5,3
2400306-010,24,003,06-010,570,243.2,9,0.8,0.1,292.2,503.6,2.1,367.8,441.4,0,329.2,447.5,14.3,29.9,0
2400306-011,24,003,06-011,406.8,298.3,5.9,2.4,0,186.6,515.6,0.1,226.3,487,0,183.1,508.1,5,21.7,0.2
2400306-012,24,003,06-012,724.9,506.7,5.8,9.5,0,307.5,908.2,1.9,396.3,848.7,0,325.7,845.7,20.6,52.5,2.8
2400306-013,24,003,06-013,341.9,344.9,2.2,2.1,0,141.4,531.8,2.1,182,503.5,0,148.7,502.7,0.5,35.2,0
2400306-014,24,003,06-014,433.3,806.1,7,11.6,0,190.7,1016.4,0.1,225.4,1026.5,0,195.2,1024.8,11,25.1,0
2400306-015,24,003,06-015,366,334,5,7,0,165,536,0,197,514,0,178,500,11,27,2
2400306-016,24,003,06-016,256.2,389.4,3.1,7.7,0,116,513.8,2,126.3,529.8,2,109,528.4,11.2,15.6,0
2400306-017,24,003,06-017,635.6,437.5,5.6,5.7,2,290.3,764.3,2,363.2,718.2,0,300,733.4,9.2,47.8,2.7
2400306-018,24,003,06-018,732.1,359.9,2.9,8.4,4.7,290.7,811.5,1.9,397.7,701.9,0,340,705.2,18.7,53.5,1.9
2400306-019,24,003,06-019,1118.3,344.5,5.7,3.9,2.1,585.9,844.3,0.3,748.7,712.5,0.1,673.5,727,9.6,72.6,0
2400306-020,24,003,06-020,574.9,133.4,1.8,1.8,0,272.1,429.8,1.8,346,373.1,0.9,327.1,365.9,2.7,31.5,0
2400306-021,24,003,06-021,452.3,137.2,4.8,4,0,217.8,361.4,1.6,303.1,284.8,0.8,273.6,280.8,9.6,32.7,0
2400306-022,24,003,06-022,888,517,13,10,1,478,902,2,567,851,0,498,840,18,69,1
2400306-023,24,003,06-023,743.6,340,5.7,6.7,0,315.5,754.6,1.9,417.2,671.2,0,370.1,682.8,13.3,41.1,1
2400306-024,24,003,06-024,656.4,380.9,6.9,4.9,1,281.4,742,3,352.3,688.9,1,289.3,701.7,9.8,48.2,0
2400306-025,24,003,06-025,927.1,237,2.1,8.4,0,410.7,750.5,2,574.8,598.3,0,508.9,633.9,9.5,32.8,0
2400306-026,24,003,06-026,1099.5,313.4,3.6,7.1,1,528.1,861.8,2.6,710.7,698.6,0.1,619.7,721.7,18.9,69.6,0
2400306-027,24,003,06-027,735.8,123.2,0.3,0.3,0,364.4,485.2,3.2,518.4,326.7,0.1,469.6,331.6,8.7,47.8,1
2400306-028,24,003,06-028,804.8,250.8,9.3,3.4,0,448.7,588.8,3,572.2,491.7,0.1,514,508.8,18.1,37.8,0.2
2400306-029,24,003,06-029,657.1,212.2,3.1,8.3,0,324.3,523.9,0,412.8,456,0,375,450.1,11.4,40.5,0
2400306-030,24,003,06-030,816.9,346.5,3.2,11.8,0.1,383.5,779.7,0.1,496.8,691.1,0,444.1,682.4,13,49.8,1.1
2400306-031,24,003,06-031,755.5,175.8,2.8,3,0.1,375.7,552.2,1.9,509.9,423.1,0.9,472.8,431.9,6.8,36.3,0
2400306-032,24,003,06-032,816.9,201.5,3.8,7.5,2.9,372.6,651.7,0.3,512.7,521,0.1,442.6,547.4,9.4,50.3,0
