GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVRHOG,G18GOVDJEA,G18GOVLQUI,G18GOVGSCH,G18GOVOWRI,G18COMRPHU,G18COMDFRA,G18COMOWRI,G18ATGRWOL,G18ATGDFRO,G18ATGOWRI,G18USSRCAM,G18USSDCAR,G18USSLVOH,G18USSISIM,G18USSOWRI
2400101-000,24,001,01-000,344,33.81,4.97,1,0.01,231.84,120.24,0,306.25,64.65,0.01,287.34,72.66,0.02,12.91,0.01
2400102-000,24,001,02-000,358.58,33.16,4.02,0,0,244.07,138.55,0,324.41,72.3,0,280.32,96.33,6,18.06,0
2400103-000,24,001,03-000,353.96,23.93,1.99,1,0,242.29,121.64,0,317.07,54.84,0,289.15,66.8,2.99,18.94,0
2400104-002,24,001,04-002,182,62,4,7,0,111,128,1,146,101,2,121,106,7,12,1
2400104-003,24,001,04-003,322,99,7,4,1,168,247,0,240,190,0,209,198,5,21,0
2400104-004,24,001,04-004,563,136,4,8,0,299,371,1,433,249,0,355,321,5,21,2
2400104-005,24,001,04-005,293.04,62.32,2.17,8.17,0,162.94,183.87,1,226.08,133.12,2,207.2,143.91,3.17,6.39,2
2400104-008,24,001,04-008,381.36,86.56,3.43,3.43,0,179.11,277.67,0,281.95,182.54,0,244.24,218.53,3.43,7.71,0
2400105-004,24,001,05-004,399.79,144.92,1,8,3,201.89,326.83,0,309.83,231.88,0,253.86,264.86,9,17.99,0
2400105-006,24,001,05-006,208.21,46.08,0,0,0,132.11,120.17,0,180.17,77.12,0,162.14,88.14,1,5.01,0
2400106-001,24,001,06-001,429.01,169,7,10,0,183,407,0,313,289,0,233,344,11,28,0
2400106-003,24,001,06-003,206,61,6,0,0,105,157,0,156,115,0,126,130,5,9,0
2400106-005,24,001,06-005,386.51,132.83,3.99,3,1,201.74,305.61,0,291.63,215.72,0,231.7,254.67,5.99,20.97,1
2400106-006,24,001,06-006,615,129,7,6,0,345,386,0,529,223,0,465,268,5,17,1
2400106-099,24,001,06-099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400107-001,24,001,07-001,654.95,126.89,6.53,0.93,0,381.59,387.19,0.93,548.59,232.31,0,480.48,295.75,5.6,13.06,0
2400107-002,24,001,07-002,799,123,7,0,1,458,431,1,666,249,2,570,322,2,31,1
2400108-000,24,001,08-000,989.62,136.57,5.94,2.98,0,638.9,441.63,0.02,841.97,269.27,0.03,760.46,336.91,5.94,24.8,0.03
2400109-000,24,001,09-000,415.24,24.86,0.99,0.99,0,268.92,154.35,0.98,376.56,54.62,1.97,340.04,87.21,0.99,7.93,1.97
2400110-000,24,001,10-000,658.12,55.96,3.92,0.05,0,368.31,288.85,0,563.68,113.18,0,496.1,171.99,3.82,19.39,0
2400111-000,24,001,11-000,390.72,166.53,1.04,3.02,0,185.36,360.85,0,286.22,271.03,0,241.86,292.25,6.04,17.14,0
2400112-000,24,001,12-000,873.44,286.15,6.81,13.54,2.85,452.98,661.77,0.95,693.81,449.56,0.95,588.68,532.06,8.71,42.82,0.95
2400113-000,24,001,13-000,717.25,93.07,4.26,4.12,0,438.56,338.66,0,611.41,192.93,0,541.37,233.17,7.2,37.78,0
2400114-000,24,001,14-000,108.86,69.91,3.99,0,0,45.94,124.84,0,72.91,97.88,0,54.93,106.87,3,5.99,3
2400116-000,24,001,16-000,680.59,93.12,5.4,3.4,0,434.94,305.47,0,584.97,185.34,0,529.56,219.55,4.4,15.9,0
2400118-000,24,001,18-000,754.17,75.91,3.21,1.66,0.15,453.51,331.39,0.05,669.64,132.9,0.05,560.46,217.16,1.4,30.77,0.05
2400120-000,24,001,20-000,696.43,65.96,5.02,3.02,0,455.94,284.18,0.01,608.31,154.98,0,549.99,187.29,7.04,21.1,0
2400121-000,24,001,21-000,405,50,2,1,0,251,187,1,356,104,0,326,122,10,6,0
2400122-001,24,001,22-001,466.8,138.57,8.76,10.71,0.97,259.31,335.66,0,367.57,246.29,0,312.8,267.27,6.81,25.31,2.92
2400122-002,24,001,22-002,48.2,12.43,0.24,0.29,0.03,28.69,27.34,0,39.43,19.71,0,36.2,23.73,0.19,0.69,0.08
2400123-000,24,001,23-000,725.14,197.09,12.01,6,0,401.06,512.16,0,593.09,320.12,2,505.07,386.13,11,32.01,0
2400124-000,24,001,24-000,586.61,72.85,3.83,5.75,0,350.82,281.8,0,495.55,161.99,0,458.17,181.16,3.83,23.96,0
2400126-000,24,001,26-000,648.74,358.86,12,6,0,351.86,619.75,0,503.8,496.8,0,432.83,516.79,11,44.98,0
2400129-001,24,001,29-001,896.57,159.04,3.98,2.98,0,485.06,525.81,1.99,711.69,327.02,0,659.01,377.71,6.96,16.9,0
2400129-002,24,001,29-002,841.6,175.31,2.01,0.01,1,438.81,540.04,2,664.28,337.65,0,555.09,416.8,9.01,46.05,0
2400129-003,24,001,29-003,606.94,115.98,3.47,3.06,0,310.86,390.17,0.07,484.51,242.32,0,414.72,299.77,4.4,17.92,0
2400131-000,24,001,31-000,509.2,81,2.04,4.02,4,339.65,241.22,1,451.12,132.97,0,415.53,153.46,3.04,21.18,1
2400134-000,24,001,34-000,691,86,5,6,1,391,368,2,537,237,3,483,274,4,27,2
2400301-001,24,003,01-001,993.36,235.99,7.03,9.06,0,500.11,713.21,4.01,722.1,500.23,2,651.71,506.25,11.07,71.36,3
2400301-002,24,003,01-002,1016.93,311.13,12.79,9.5,2.06,530.55,778.65,2.05,724.22,599.34,1.93,649.27,590.58,12.03,92.22,1.93
2400301-003,24,003,01-003,805,204,9,5,0,433,556,4,577,424,0,506,430,7,69,2
2400301-004,24,003,01-004,582,443,3,2,0,276,749,0,365,665,0,316,662,7,55,0
2400301-005,24,003,01-005,584.75,414.8,7.05,7.05,2.01,284.75,701.76,2.02,347.08,665.55,2.01,294.72,686.58,5.09,44.33,0
2400301-006,24,003,01-006,619.42,723.25,12.74,2.31,1.87,303.34,1021.91,0.12,376.87,987.84,0.05,317.85,982.08,9.27,49.28,0.1
2400301-007,24,003,01-007,802.85,183.2,5.64,11.22,0,389.18,592.04,1.87,571.2,411.01,0,498.94,415.68,13.18,66.61,0.01
2400301-008,24,003,01-008,1068,225,6,12,0,595,673,2,799,486,0,714,478,14,88,0
