GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDCAR,G18USSRARL,G18USSGTHE,G18USSLFRO,G18HALDROC,G18HALRWAL,G18ATGDJEN,G18ATGRPEP,G18TREDDAV,G18TRERSIM,G18TREGCHA,G18AUDDMCG,G18AUDRSPA
10003001-22,10,003,001-22,743.4,458.9,17.9,11.2,744.5,464.7,749.4,457.4,522,673.9,20.7,632,569.9
10003001-23,10,003,001-23,129,41,10,5,143,39,135,41,125,47,8,129,52
10003001-24,10,003,001-24,583,278,15,17,604,268,586,289,509,345,28,542,329
10003001-25,10,003,001-25,583.8,119,23.3,14.7,612.9,121.9,589.6,148.6,500.4,188.5,39.5,536.5,189.4
10003001-26,10,003,001-26,559,269,16,9,570,259,569,273,498,313,24,536,302
10003001-27,10,003,001-27,1028,367,22,19,1049,357,1004,398,917,478,28,966,446
10003002-01,10,003,002-01,938,36,22,5,980,28,836,160,909,51,18,918,51
10003002-02,10,003,002-02,200.2,5.2,3.3,1.3,207.4,5.2,180.5,28.2,196.9,7.9,0.7,198.8,7.9
10003002-03,10,003,002-03,708.2,145.8,18.4,9.8,726.7,138.1,701.5,170,610.2,234.2,24.3,632.6,225.5
10003002-04,10,003,002-04,736.2,380.9,5.4,6.2,759,333.5,739.2,370.5,479,628,11.5,585.7,518.8
10003002-05,10,003,002-05,384.2,116.7,8.8,3.9,390.1,117.6,382.3,128.4,370.5,129.4,8.8,384.2,124.5
10003002-06,10,003,002-06,687,392,20,12,726,356,692,395,539,543,18,621,474
10003002-07,10,003,002-07,747,377,16,13,787,328,751,373,614,501,16,681,445
10003002-08,10,003,002-08,747.8,379.2,9.3,8.3,744.2,373,727.3,401.9,662.8,459.2,14.4,721.2,406.9
10003002-09,10,003,002-09,555,252,12,12,566,247,539,277,486,322,15,527,290
10003002-10,10,003,002-10,548.4,272.8,8.6,9.5,571.3,247,557,268,436.8,371,17.2,490.2,326.2
10003002-11,10,003,002-11,796,366,10,15,826,348,787,383,690,452,29,757,414
10003002-12,10,003,002-12,556,266,16,12,602,230,568,269,461,343,31,515,316
10003002-13,10,003,002-13,387,180,12,11,397,185,400,180,344,229,12,378,207
10003002-15,10,003,002-15,809.4,437.6,9,15.9,831.3,414.6,789.4,460.5,717.7,512.3,25.9,768.5,478.4
10003002-16,10,003,002-16,595.2,70.2,8.6,12,605.5,75.3,523,146.7,554.7,94.5,12.9,576.9,85.9
10003002-17,10,003,002-17,1208,115,13,13,1225,113,1140,195,1165,152,18,1180,138
10003002-18,10,003,002-18,501.2,178.7,5.8,8.7,513.8,170.9,478.9,201.1,432.2,233.1,19.4,458.4,219.5
10003002-19,10,003,002-19,387,194,10.7,7.8,400.6,187.2,390.9,197.9,344.3,223.1,19.4,367.6,219.2
10003002-21,10,003,002-21,497,303,14,5,506,291,523,287,422,361,23,454,349
10003002-22,10,003,002-22,518,319,4,11,524,305,520,316,387,449,10,444,395
10003002-23,10,003,002-23,694.3,301.2,23.2,14.9,713.9,295.6,673.9,343,538.2,462.9,24.2,607,407.1
10003002-24,10,003,002-24,595.3,239.1,12.4,16.2,617.2,220,596.3,246.7,543.9,276.2,25.7,575.3,271.5
10003002-25,10,003,002-25,580.6,320.3,11.1,12,600.7,301.3,563.7,337.4,486.4,408.5,18.1,508.5,392.5
10003002-26,10,003,002-26,493,111,8,7,511,110,499,117,464,136,15,483,131
10003002-27,10,003,002-27,510,228,11,10,531,207,523,218,438,286,17,477,261
10003003-01,10,003,003-01,542,20,8,4,557,17,478,83,537,18,14,531,21
10003003-02,10,003,003-02,151,19,4,4,156,22,152,28,126,45,9,118,58
10003003-03,10,003,003-03,319,25,3,4,325,18,280,60,302,32,6,308,30
10003003-04,10,003,003-04,843,262,18,10,879,234,862,263,592,520,16,644,480
10003003-05,10,003,003-05,521,95,5,9,536,87,502,121,503,112,11,515,107
10003003-06,10,003,003-06,185,84,2,2,191,74,184,90,135,133,6,163,108
10003003-07,10,003,003-07,668,313,9,11,689,294,662,322,541,430,18,597,387
10003003-08,10,003,003-08,550.7,228.8,6.9,9.9,565.5,213.9,531.9,251.6,490.2,288.2,10.9,515,268.4
10003003-09,10,003,003-09,700.5,478.2,13,10.8,705,461.4,696.4,489.3,569.5,609.9,14.5,639.8,542.7
10003003-10,10,003,003-10,558,305,11,5,567,277,555,305,455,403,9,493,368
10003003-11,10,003,003-11,310,593,11,9,329,566,306,597,258,639,17,288,614
10003003-12,10,003,003-12,519,235,10,7,535,220,525,234,428,314,16,475,279
10003003-13,10,003,003-13,180.9,23.8,3.6,7.3,193.1,22.1,187.5,28.3,182.5,25,6.7,185,27.7
10003003-15,10,003,003-15,901,282,11,5,925,256,850,330,832,334,23,869,315
10003003-16,10,003,003-16,772.8,33.8,9.3,6.9,790.3,32.6,673.9,136.2,758.4,43.5,7.1,757.9,48.2
10003003-17,10,003,003-17,809,172,18,10,840,161,801,197,767,206,20,793,198
10003003-18,10,003,003-18,367,90,11,3,377,89,355,106,342,111,11,360,101
10003003-19,10,003,003-19,519.9,335.8,19.1,8.1,540.1,318.6,543.1,322.6,415.5,429.1,22.1,472.5,398.1
10003003-21,10,003,003-21,616.1,451.1,12.9,15.9,655.8,408.4,640.9,430.3,521.7,536.6,16.9,580.3,491.9
10003003-22,10,003,003-22,560,401,11,9,593,364,564,384,394,572,9,489,481
10003003-23,10,003,003-23,572,247,33,8,601,235,579,265,454,368,25,484,371
10003003-24,10,003,003-24,418.4,227.2,6.4,10.3,434.1,216.5,430.1,223.7,385.2,254.9,14.9,404.6,249.9
10003003-25,10,003,003-25,609,201,33,18,652,187,624,222,526,279,40,585,260
10003003-26,10,003,003-26,475.7,169.5,7.2,12.2,487.1,167.3,464.2,187.1,434,207.9,9.5,448.6,195.6
10003003-27,10,003,003-27,388.8,116.4,5.9,2.9,396.2,112,378.6,129.6,361.8,143.5,5.1,373.5,134.7
10003004-01,10,003,004-01,768,31,12,8,785,27,703,100,710,57,17,740,56
10003004-02,10,003,004-02,45.6,12.9,2.3,0.8,47.9,12.9,46.4,15.2,38,22.8,0.8,35.8,25.9
10003004-03,10,003,004-03,495,30,6,2,509,24,449,65,476,30,13,480,33
10003004-04,10,003,004-04,372,62,7,3,383,53,368,65,335,83,9,348,81
10003004-05,10,003,004-05,647,73,12,10,667,73,587,109,628,95,9,641,91
10003004-06,10,003,004-06,587,219,16,12,616,202,590,236,505,307,21,525,304
10003004-07,10,003,004-07,987,323,25,14,1021,306,982,344,914,386,31,907,419
10003004-08,10,003,004-08,644.6,124,11.8,10.8,662.3,117.1,625.9,154.5,618,147.6,17.7,629.8,141.7
10003004-09,10,003,004-09,402.1,333.4,3.9,9.8,413,320.4,393.5,353.7,331.3,406.1,4.1,359,384.4
10003004-10,10,003,004-10,770,274,13,15,802,258,782,286,706,335,24,752,311
10003004-11,10,003,004-11,289.8,302.8,6,1,298.8,281.8,301.8,284.8,245.9,339.8,14,270.8,319.8
10003004-12,10,003,004-12,496,342,6,9,508,312,514,320,290,553,7,397,445
10003004-13,10,003,004-13,586.9,277.8,8.1,5.2,595.4,265.7,586.3,274.8,519.7,331.1,19.2,545.8,322.2
10003004-15,10,003,004-15,463.8,184.9,9,8,468.8,189.9,449.8,207.9,400.8,249.9,8,425.8,228.9
10003004-16,10,003,004-16,293.5,74,1,5.4,293.8,71.3,287.9,76.2,278,78.1,9.9,284.3,76.2
10003004-17,10,003,004-17,548.1,240.3,9.8,6.8,559.9,220.8,531.5,247.2,450.4,324.4,18.6,500.2,286.3
10003004-18,10,003,004-18,890.5,235.1,7.7,8.2,902,229.8,850.7,276.8,821,290.8,13,845.8,274.8
10003004-19,10,003,004-19,526,315,8,6,526,311,528,302,457,363,18,485,336
10003004-21,10,003,004-21,639,237,17,12,664,222,633,264,522,352,24,571,323
10003004-22,10,003,004-22,507.6,341.1,6.1,8.8,522.5,332.3,514.6,344.6,356,490.1,12.3,420,433.1
10003004-23,10,003,004-23,916,330,47,20,965,332,938,352,765,490,32,773,518
10003004-24,10,003,004-24,356.7,106.9,6.6,7.8,365.8,100,354.7,113.3,347.1,107.8,9.3,345.7,118.5
10003004-25,10,003,004-25,364.2,228.6,13.6,7.2,376.2,218.2,361.8,235.8,316.9,267.1,16.9,328.9,266.3
10003004-26,10,003,004-26,676,228,9,11,683,225,648,266,609,274,22,649,258
10003004-27,10,003,004-27,863.2,349.6,14.1,8.1,877.8,333,850.4,359.4,757.2,438.5,23.9,785.5,414.3
10003005-01,10,003,005-01,871.8,115.7,23.6,14.2,909.3,104.6,824.4,180.9,748.3,220,30.1,733.1,270.2
10003005-02,10,003,005-02,417.5,43.1,8.8,4.9,427.3,39.2,392,79.4,402.8,55.9,10.8,410.6,58.8
10003005-03,10,003,005-03,49,3,2,1,50,4,49,5,48,4,2,48,6
10003005-04,10,003,005-04,83,10,3,0,88,10,85,12,82,11,2,83,12
10003005-05,10,003,005-05,657,76,12,8,670,74,623,119,628,100,9,644,88
10003005-06,10,003,005-06,733,163,8.8,5.9,736.9,161,709.5,186.4,656.8,216.7,16.6,666.6,226.4
10003005-07,10,003,005-07,471,90,19,8,500,80,490,93,417,146,24,454,123
10003005-08,10,003,005-08,1027.2,331.9,13.3,17.2,1049.2,316.6,941.4,433,909,440.6,21.9,957.6,404.4
10003005-09,10,003,005-09,530.6,300.7,5.1,9.3,543.2,281.4,531.3,305.2,453.4,377.2,12.4,493.4,343.2
10003005-10,10,003,005-10,685,362,16,12,725,310,687,373,508,530,21,594,460
10003005-12,10,003,005-12,804,460,6,11,820,416,811,445,513,736,13,666,576
10003005-13,10,003,005-13,510.5,208.2,22,16,543.5,194.2,511.5,220.2,466.5,241.2,30,504.5,225.2
10003005-15,10,003,005-15,1133.2,344.1,18,18.8,1177.3,318,1087.3,409.8,1044,424.3,23.9,1095.1,403.2
10003005-16,10,003,005-16,824.1,44.1,6,6,831.1,38.1,712.7,142.5,786,50.1,15,805,41.1
10003005-17,10,003,005-17,461,206,9,11,466,211,465,213,415,251,12,433,239
10003005-18,10,003,005-18,494,216,18,11,507,225,505,231,466,251,16,485,244
10003005-19,10,003,005-19,440,280,11,8,448,275,458,262,390,325,10,402,317
10003005-21,10,003,005-21,749,484,9,13,779,426,772,455,600,625,14,663,570
10003005-22,10,003,005-22,848,631,15,14,864,614,843,641,623,851,23,732,750
10003005-23,10,003,005-23,563,133,22,7,585,136,560,154,511,179,31,525,196
10003005-24,10,003,005-24,582.5,277.4,19.8,19.8,617.1,272.5,602.2,281.4,524.2,341.6,27.6,570.6,308
10003005-25,10,003,005-25,794.6,397.5,19.3,13,830.5,378.1,790.6,411.2,685.8,491.5,27.7,734.3,465.9
10003005-26,10,003,005-26,805,188,11,16,827,181,803,203,724,250,27,773,223
10003005-27,10,003,005-27,712,341,8,13,734,313,711,345,638,405,17,675,377
10003006-01,10,003,006-01,295,12,7,1,298,9,268,41,280,19,2,276,24
10003006-02,10,003,006-02,397,30,8,10,410,34,365,76,355,64,15,359,77
10003006-03,10,003,006-03,306,12,8,2,308,10,278,44,300,16,2,299,16
10003006-04,10,003,006-04,603,160,10,17,626,156,605,173,496,264,20,486,294
10003006-05,10,003,006-05,713,104,7,5,727,96,674,141,674,131,13,690,122
10003006-06,10,003,006-06,345,66,6,4,364,53,340.8,69.2,318.9,90.1,6.1,327.9,82.1
10003006-07,10,003,006-07,482,180,8,7,502,157,496,170,431,228,8,452,213
10003006-08,10,003,006-08,698.8,449.1,8.7,16.8,724.9,420.4,671.6,492,590,548.4,27.1,638.4,513.6
10003006-09,10,003,006-09,621.4,545.3,9.2,17.4,643,522.1,624.4,554.5,496.4,681.3,12.2,568.6,612.2
10003006-10,10,003,006-10,645,424,9,10,679,385,672,405,496,565,20,562,507
10003006-12,10,003,006-12,287.8,206.6,8.1,9.1,288,202.3,292,215.4,182.4,322,7,231,263.4
10003006-13,10,003,006-13,610.9,355.9,16,15,648.9,318.9,646.9,325.9,549.9,399.9,28,583.9,388.9
10003006-15,10,003,006-15,682.1,168,14,9,713.1,150,669.1,196,654.1,193,19,683.1,175
10003006-16,10,003,006-16,510.7,32.9,4.2,7.2,514.9,35.9,455.6,93,467.2,70,9.3,475.6,67.8
10003006-17,10,003,006-17,48.4,61.9,1.1,1.1,52.5,57.9,53.2,56.1,48,59.2,3.1,52.2,58.1
10003006-18,10,003,006-18,725,159,7,5,731,154,706,174,683,180,15,705,171
10003006-19,10,003,006-19,111,34,3,2,119,27,107,36,103,35,6,102,43
10003006-21,10,003,006-21,714,317,21,16,760,289,720,317,596,421,30,660,384
10003006-22,10,003,006-22,283,194,5,2,284,185,287,193,220,256,5,243,233
10003006-23,10,003,006-23,681.9,421.7,18.9,12,731.8,376.9,713.8,406.8,551.3,556.3,19.9,611.1,519.4
10003006-24,10,003,006-24,603.9,298.3,12.4,8.7,626.6,275.6,620.6,288.7,519.9,370.1,24.1,551.4,351.3
10003006-25,10,003,006-25,544.3,237.2,14.6,10.7,568.6,215.8,558.9,237.2,490.8,284.8,18.5,514.2,272.1
10003006-26,10,003,006-26,678,266,10,8,703,247,653,294,607,323,17,668,289
10003006-27,10,003,006-27,523,123,8,10,540,117,516,143,484,152,18,507,145
10003007-01,10,003,007-01,292,26,5,3,301,22,265,52,261,40,5,274,39
10003007-02,10,003,007-02,330.7,26.4,5.1,5,337.9,26.3,319.3,40.1,312.7,44.4,6.2,317.9,39.5
10003007-03,10,003,007-03,583,53,14,11,605,48,564,84,563,65,16,573,62
10003007-04,10,003,007-04,714,152,15,13,742,147,710,179,583,282,22,570,315
10003007-05,10,003,007-05,498.2,90.1,9,7,508.2,85.1,484.2,115.1,469.2,118.1,11,481.2,111.1
10003007-06,10,003,007-06,548,270,14,9,576,248,547,278,414,397,14,477,348
10003007-07,10,003,007-07,597,240,13,7,612,231,592,249,523,304,13,528,309
10003007-08,10,003,007-08,541,502,11,13,550,484,534,513,420,616,19,467,576
10003007-09,10,003,007-09,118,104,1.1,2.1,119.1,101.3,118,102.4,92.1,128.2,3.2,103.4,115.8
10003007-10,10,003,007-10,857,401,13,9,888,374,860,400,662,585,15,766,490
10003007-12,10,003,007-12,526,285,11,14,555,271,529,294,415,401,14,470,350
10003007-13,10,003,007-13,228.9,93.1,4.5,7,235.3,91.9,231.5,97.8,200.5,123,6.6,211.8,118.9
10003007-15,10,003,007-15,588.2,287.6,13,5.6,604.1,275.5,568.7,316.5,544.5,334.1,10.2,567.8,317.4
10003007-16,10,003,007-16,565.5,81.9,3,14,582.5,81.9,541.5,109.9,538.5,108.9,6,561.5,90.9
10003007-17,10,003,007-17,421.4,152.9,7,5.1,431.4,146.8,418.2,153.9,395,168,11.2,408.1,165.9
10003007-18,10,003,007-18,344.1,173.5,7.8,5.9,345.1,172.5,359.8,161.8,295.1,215.7,9.8,329.4,187.2
10003007-19,10,003,007-19,368,194,13,6,375,189,388,185,327,232,11,350,214
10003007-21,10,003,007-21,51,81,1,6,62,73,57,76,41,93,4,47,91
10003007-22,10,003,007-22,1003,451,17,12,1039,417,1018,442,841,601,23,930,528
10003007-23,10,003,007-23,569.1,270.3,15.1,4,572.2,268.1,563.2,278.2,441.7,386.7,19.1,494.9,353.6
10003007-24,10,003,007-24,687,175,8,9,682,181,673,197,625,219,20,668,198
10003007-25,10,003,007-25,404.8,229.7,6.7,6.1,427.6,211.5,405.4,229,349.5,271.4,12.8,377.8,249.9
10003007-26,10,003,007-26,820,258,17,12,854,244,825,270,766,307,23,800,287
10003007-27,10,003,007-27,189,169,2,1,190,158,183,174,145,206,8,161,195
10003008-01,10,003,008-01,107,29,1,4,109,30,104,34,99,38,2,106,33
10003008-02,10,003,008-02,326,12,10,7,344,10,296,53,315,17,11,323,18
10003008-03,10,003,008-03,539,133,14,13,574,117,543,141,493,182,9,520,174
10003008-04,10,003,008-04,899.8,541.9,18,24,968.7,473.9,945.7,513.9,722.8,721.8,22,816.8,637.8
10003008-05,10,003,008-05,998,306,17,9,1013,297,953,350,910,385,19,951,350
10003008-06,10,003,008-06,910,401,29,20,974,362,916,425,759,550,41,794,556
10003008-07,10,003,008-07,688,371,8,12,701,350,684,374,557,483,27,628,429
10003008-08,10,003,008-08,753,434,10,9,769,417,757,438,674,506,12,713,477
10003008-09,10,003,008-09,504,287,11,9,521,263,496,293,422,357,11,468,321
10003008-10,10,003,008-10,535,113,5,11,544,111,528,125,508,135,12,516,135
10003008-12,10,003,008-12,664.6,434.4,18.3,9.9,710.8,398.5,662.1,448.6,481.6,616.6,17,582.3,523.1
10003008-13,10,003,008-13,639.6,201,16.4,7.7,645.4,208.7,630.9,213.5,579,255.8,18.3,592.5,250.1
10003008-15,10,003,008-15,257,200,7,9,268,200,268,198,239,219,10,254,211
10003008-16,10,003,008-16,827.5,142.1,11,9,852.5,133.1,779.5,200.1,790.5,167.1,16,816.5,155.1
10003008-17,10,003,008-17,348,74,4,8,350,72,329,98,332,91,4,338,82
10003008-18,10,003,008-18,564,143,4,7,570,133,540,167,518,168,17,532,170
10003008-19,10,003,008-19,484,273,11,17,515,252,521,244,425,324,17,456,315
10003008-21,10,003,008-21,771.5,326.6,15.2,15.2,788.9,316.5,776.8,337.6,669.8,425.4,24.4,724.4,389
10003008-22,10,003,008-22,425,289,7,10,435,276,427,287,334,368,15,363,351
10003008-23,10,003,008-23,665.7,313.8,18.8,15.1,690.1,301.4,664.1,330,534.8,435.1,20.8,591,398.9
10003008-24,10,003,008-24,487,286,17,21,526,266,497,293,459,322,18,475,324
10003008-25,10,003,008-25,312.7,133.8,8.4,5.3,328.4,123.2,320.1,131.8,277.2,172.2,10.5,292.8,161.8
10003008-26,10,003,008-26,183,77,3,3,184,79,168,94,160,91,3,176,84
10003008-27,10,003,008-27,780,443,12,12,783,438,766,464,676,535,19,711,503
10003009-01,10,003,009-01,677,58,5,10,702,50,607,138,623,104,14,647,89
10003009-02,10,003,009-02,307,123,13,1,315,119,313,120,277,147,12,292,141
10003009-03,10,003,009-03,598,47,11,9,606,54,551,103,568,65,19,569,79
10003009-04,10,003,009-04,398,50,14,4,425,37,396,68,352,99,13,346,114
10003009-05,10,003,009-05,565,64,9,11,578,63,527,110,545,85,11,560,80
10003009-06,10,003,009-06,927,373,17,14,964,342,927,386,740,539,30,810,492
10003009-07,10,003,009-07,551,268,10,14,577,249,569,264,482,328,19,479,349
10003009-08,10,003,009-08,95,85,1,0,98,77,101,79,75,102,3,88,94
10003009-09,10,003,009-09,358.6,449.8,18.4,10.1,384.7,421.9,375.1,448.5,305.8,496,27.1,346.5,472.6
