GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16USSDDUC,G16USSRKIR,G16USSLMCM,G16USSGSUM,G16USSOWRI,G16COMDMEN,G16COMRMUN,G16COMLBAL,G16COMGCUR
17001001001,17,001,001001,76,359,10,1,2,175,260,5,7,0,117,299,10,9
17001002001,17,001,002001,72,350,17,5,1,138,283,16,6,0,118,299,17,5
17001003001,17,001,003001,69.1,331.6,12,3,1,118.2,267.5,12,9,0,94.2,294.5,9,12
17001003002,17,001,003002,46.9,375.4,9,2,0,117.8,295.5,7,6,0,96.8,308.5,10,7
17001004001,17,001,004001,16,112,2,0,2,30,97,1,0,0,32,92,1,1
17001005001,17,001,005001,68.8,329.3,17.8,3,1,142.6,258.6,14,1.3,0,92,302,12.9,5.6
17001006001,17,001,006001,53,232.3,4.7,0.9,0,106.8,167.3,6.5,4.7,0,89.2,179.3,3.7,9.3
17001007001,17,001,007001,48.7,339.8,10.7,1.3,0,118.6,264.1,11,2,0,89.4,286.6,11.4,5.7
17001007002,17,001,007002,66.1,290,8.2,0.9,0,135.9,205.7,12.7,7.2,0,113.2,228.4,15.4,2.7
17001008001,17,001,008001,42.1,213.6,6.8,1.9,0,85.6,160.6,7.7,3.8,0,57.9,178.8,9.6,6.7
17001009001,17,001,009001,89.2,464.2,18,8,0,179.5,376.9,12.1,8,0,131.3,411,12.1,15
17001010001,17,001,010001,19,83,3,0,0,45,58,2,0,0,33,65,1,3
17001011001,17,001,011001,13.2,94.9,1.1,0,2,33.8,71.1,5,1,0,18.8,81,3,3.1
17001012001,17,001,012001,18,150,2,1,1,53,111,0,2,0,40,118,3,4
17001013001,17,001,013001,35,283.7,10,2,0,104.9,217.8,6,2,0,73.9,236.8,6,10
17001014001,17,001,014001,103.6,614.2,9.2,2.1,1,228.6,458,21.4,11.2,0,184,482.3,18.4,22.2
17001015001,17,001,015001,23.7,187.7,4,1,0,63.2,141.3,4,1,1,49.4,155.1,4.9,0
17001016001,17,001,016001,75.5,519.6,25.2,4,1,201.3,395.8,10.2,7.2,0,150.4,438.6,18.3,14.1
17001017001,17,001,017001,58.4,442.7,8.8,2.9,2,165.4,326.9,14.6,5.8,0,110,371.7,13.6,6.8
17001018001,17,001,018001,110.2,418.9,17.3,4,0,217,305.1,24.2,4,0,170.2,352.8,15.2,10.1
17001018002,17,001,018002,41,228.3,8.8,0,0,97.8,168.6,7.8,1,0,73.4,192.1,6.8,2.9
17001019001,17,001,019001,89.6,452.7,13.8,3,2,198.8,348.4,9.8,11.8,0,146.6,398.6,17.7,5.9
17001019002,17,001,019002,118.3,450.8,26,8,2,220.4,361.6,17,7,0,204.3,370.7,14,11
17001019003,17,001,019003,80.2,284.6,12.6,1.8,0,155.8,216.2,3.5,4.7,0,112.7,254.6,8.2,3.9
17001020001,17,001,020001,86.1,377.8,20.9,0.1,0.1,161.1,302.4,10.6,6.6,0,120.2,337.2,10.6,10.3
17001020002,17,001,020002,158.2,560.2,31,2,8,238.4,490.9,15,4.6,0,192.5,525.3,13,9
17001020003,17,001,020003,106.8,377.9,11.6,1.1,0.1,194.9,280.4,11.5,9.5,0,160,314.4,9.7,6.6
17001020004,17,001,020004,116.8,430.4,15.1,1.1,0,172,375.3,9.8,6.5,0,148.4,392.6,12,5.1
17001020005,17,001,020005,101.7,319.9,14.7,1.5,1.1,152.5,274.2,8.9,2.8,0,119.6,299.5,8.9,4.8
17001020006,17,001,020006,123,384,18,3,0,195,309,10,11,0,160,342,11,10
17001021001,17,001,021001,52.5,254.8,10.4,1,0,101.5,207.5,4.4,4.3,0,76.3,234.6,2.3,5.2
17001022001,17,001,022001,86.2,359.1,10.1,4,0,150.3,290,8,5,0,105.3,334,7,10
17001022002,17,001,022002,54.1,224.9,10.3,2.9,2.2,98.2,180.1,8.1,3.7,1.4,77.5,199.2,6.6,3.7
17001022003,17,001,022003,110.2,497.6,26.6,4.7,3.5,177,444,15.9,4,0,136.7,474.4,16,10.7
17001023001,17,001,023001,112.3,247.6,13.9,3.3,2.5,170.5,195.9,9.8,4.9,0,139.3,227.1,5.7,4.1
17001023002,17,001,023002,135.3,269.3,14.4,8.1,0,221.1,178.8,6.2,13,0,160.6,208.1,15.2,17.1
17001023003,17,001,023003,136.5,208.9,14.4,9.1,0,198.6,140.8,17.3,8.1,0,153.9,181.3,15.3,14.3
17001023004,17,001,023004,160,321,25,2,1,243,240,18,5,0,195,275,18,12
17001023005,17,001,023005,139,159,12,2,0,182,108,12,8,0,173,121,9,5
