GEOID,G18USSDWHI,G18USSRFLA,G18USSOWRI,G18GOVDRAI,G18GOVRFUN,G18GOVITRI,G18GOVIMUN,G18GOVOGIL,G18GOVOARM,G18GOVOWRI,G18LTGDMCK,G18LTGRPEN,G18LTGIRIC,G18LTGIMCC,G18LTGOHEL,G18LTGOWRI,G18ATGDNER,G18ATGOGOR,G18ATGOWRI,G18TREDMAG,G18TRERRIL,G18TREOWRI,G18SOSDGOR,G18SOSRCOR,G18SOSOWRI
440010303002003,24.2,11.4,0.1,22.8,10.2,1,0.4,1,0.2,0.1,22.8,8.4,0.7,0.7,1.7,0.4,28.3,3.8,0.2,25.2,9.9,0,25.4,9.5,0
440010305002028,2.2,1.2,0,2,1,0.1,0.1,0.1,0.1,0,2,0.8,0.1,0.1,0.1,0,2.4,0.7,0,2.2,1.1,0,2.3,1,0
440010306011024,25.1,20.9,0.1,21.8,19,2.2,0.8,1.5,0.5,0.1,25.5,15.1,1.3,0.6,1.5,0.3,31.9,9,0.5,27.1,17.6,0.1,28.4,16.4,0
440010306024019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010306021006,10.5,5.6,0.1,9.4,4.9,0.7,0.3,0.4,0.3,0.1,9.8,3.8,0.6,0.6,0.5,0.2,11.6,3.3,0.1,10.6,5,0.1,10.9,4.8,0
440010306024012,3,1.6,0,2.6,1.4,0.2,0,0.1,0,0,2.7,1.1,0.1,0.1,0.2,0.1,3.4,0.8,0,3.1,1.3,0,3.2,1.2,0
440010306011020,0.9,0.5,0,0.8,0.4,0.1,0,0,0,0,0.8,0.3,0,0,0,0,1,0.3,0,0.9,0.4,0,0.9,0.4,0
440010306011018,2.7,2.2,0,2.3,2,0.2,0.1,0.2,0.1,0,2.7,1.6,0.1,0.1,0.2,0,3.4,0.9,0,2.9,1.9,0,3,1.7,0
440010306021009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010304002024,5.3,2.6,0,5.2,2.1,0.2,0.1,0.2,0.1,0,5,2,0.1,0.1,0.4,0.2,6.1,1,0.1,5.4,2.3,0,5.6,2.2,0
440010304002014,14.9,7.4,0,14.6,5.9,0.7,0.2,0.5,0.2,0.1,14.1,5.5,0.2,0.3,1.1,0.4,17.1,2.7,0.3,15.3,6.6,0,15.7,6.1,0
440010303001021,6.7,3.3,0,6.6,2.7,0.3,0.1,0.2,0.1,0.1,6.4,2.5,0.1,0.1,0.5,0.2,7.7,1.2,0.1,6.9,3,0,7.1,2.7,0
440010302001033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010301003000,98.4,44.3,0.2,91.1,39.3,5.7,1.6,2.7,1.6,0.2,92.7,31.7,2.4,2.3,8.1,1.4,111.1,19.1,0.9,100.4,39.6,0.2,102.9,36.9,0.2
440010302003023,14.9,7,0.1,14,6.3,0.6,0.2,0.6,0.1,0.1,14,5.2,0.4,0.4,1.1,0.2,17.4,2.3,0.1,15.5,6.1,0,15.6,5.8,0
440010304001009,1.5,0.7,0,1.6,0.6,0.1,0,0,0,0,1.5,0.5,0,0,0.1,0,1.8,0.2,0,1.6,0.6,0,1.6,0.6,0
440010301003018,5.7,2.7,0,5.9,2,0.2,0,0.1,0,0,5.4,1.9,0.1,0.1,0.5,0.1,6.7,0.8,0.1,5.9,2.3,0,6,2.2,0
440010303003011,19.1,9,0.1,18,8,0.8,0.3,0.8,0.2,0.1,18,6.7,0.5,0.5,1.4,0.3,22.3,3,0.2,19.8,7.8,0,20,7.5,0
440010302001035,15.2,8.1,0.1,14.2,7.1,0.9,0.3,0.5,0.2,0.1,14.2,6,0.6,0.3,1.5,0.2,18,3,0.2,15.7,7.2,0,16.3,6.6,0
440010304002006,12.8,6.2,0.1,13.4,4.6,0.4,0.1,0.3,0.1,0.1,12.4,4.2,0.2,0.3,1.1,0.2,15.2,1.8,0.2,13.5,5.3,0,13.6,5,0
440010306023000,16.1,8.5,0,14.1,7.7,1.3,0.3,0.7,0.2,0.1,14.9,6,0.7,0.7,1,0.3,18.3,4.2,0.2,16.8,7.1,0,17.4,6.7,0
440010306021001,20.6,10.9,0.1,18.5,9.6,1.3,0.6,0.8,0.6,0.2,19.3,7.5,1.2,1.2,1,0.4,22.6,6.5,0.2,20.7,9.9,0.1,21.4,9.3,0
440010306013021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010306012019,5.9,4.9,0,5.1,4.5,0.5,0.2,0.3,0.1,0,6,3.5,0.3,0.2,0.4,0.1,7.5,2.1,0.1,6.4,4.1,0,6.7,3.9,0
440010306022008,6.9,3.6,0,6,3.3,0.6,0.1,0.3,0.1,0,6.4,2.6,0.3,0.3,0.4,0.1,7.8,1.8,0.1,7.2,3.1,0,7.4,2.9,0
440010306013009,2.4,2,0,2.1,1.8,0.2,0.1,0.1,0.1,0,2.4,1.4,0.1,0.1,0.1,0,3,0.8,0,2.6,1.7,0,2.7,1.5,0
440010306013018,2.1,1.7,0,1.8,1.6,0.2,0.1,0.1,0,0,2.1,1.2,0.1,0.1,0.1,0,2.6,0.7,0,2.2,1.4,0,2.3,1.3,0
440010306021004,11.2,5.9,0.1,10,5.2,0.7,0.3,0.4,0.3,0.1,10.5,4.1,0.6,0.6,0.6,0.2,12.3,3.5,0.1,11.2,5.4,0.1,11.6,5.1,0
440010306021023,16.2,8.6,0.1,14.5,7.6,1,0.5,0.6,0.5,0.2,15.2,5.9,0.9,0.9,0.8,0.3,17.8,5.1,0.2,16.3,7.8,0.1,16.8,7.3,0
440010306012026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010305002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010305001015,7.9,4.2,0,7.1,3.7,0.5,0.2,0.3,0.2,0.1,7.4,2.9,0.4,0.4,0.4,0.2,8.7,2.5,0.1,7.9,3.8,0,8.2,3.6,0
440010306023005,15.8,8.3,0,13.8,7.5,1.3,0.3,0.7,0.2,0.1,14.6,5.9,0.7,0.6,0.9,0.3,17.9,4.1,0.2,16.5,7,0,17,6.6,0
440010306021011,6.4,3.4,0,5.7,3,0.4,0.2,0.3,0.2,0.1,5.9,2.3,0.4,0.4,0.3,0.1,7,2,0.1,6.4,3,0,6.6,2.9,0
440010305002016,14.8,7.8,0,12.9,7.1,1.2,0.2,0.7,0.2,0.1,13.7,5.5,0.6,0.6,0.9,0.3,16.8,3.9,0.2,15.5,6.6,0,15.9,6.2,0
440010305001011,6.4,3.4,0,5.7,3,0.4,0.2,0.3,0.2,0.1,5.9,2.3,0.4,0.4,0.3,0.1,7,2,0.1,6.4,3,0,6.6,2.9,0
440010306021021,9.6,5.1,0,8.6,4.5,0.6,0.3,0.4,0.3,0.1,9,3.5,0.5,0.5,0.5,0.2,10.6,3,0.1,9.7,4.6,0,10,4.4,0
440010304002030,15.4,7.6,0,15.1,6.1,0.7,0.2,0.5,0.2,0.1,14.5,5.7,0.2,0.3,1.2,0.5,17.7,2.8,0.3,15.8,6.8,0.1,16.2,6.3,0
440010304002018,13,6.4,0,12.7,5.1,0.6,0.2,0.4,0.2,0.1,12.3,4.8,0.2,0.2,1,0.4,14.9,2.3,0.2,13.3,5.7,0,13.6,5.3,0
440010303001023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010304002021,66.7,33,0.2,65.6,26.5,3,0.9,2.1,1,0.5,63.1,24.7,0.9,1.2,5.1,2,76.8,12,1.2,68.5,29.4,0.2,70.3,27.3,0.1
440010303001019,16.3,8.1,0,16,6.5,0.7,0.2,0.5,0.2,0.1,15.4,6,0.2,0.3,1.2,0.5,18.8,2.9,0.3,16.8,7.2,0.1,17.2,6.7,0
440010304001005,51.9,25.7,0.1,51,20.6,2.3,0.7,1.6,0.8,0.4,49.1,19.2,0.7,0.9,3.9,1.6,59.6,9.3,0.9,53.2,22.8,0.2,54.6,21.2,0.1
440010304002019,37.5,18.5,0.1,36.8,14.8,1.7,0.5,1.2,0.6,0.3,35.4,13.8,0.5,0.7,2.8,1.1,43.1,6.7,0.7,38.5,16.5,0.1,39.4,15.3,0.1
440010304003014,9.2,4.4,0,9.7,3.3,0.3,0.1,0.2,0.1,0,8.9,3.1,0.1,0.2,0.8,0.1,11,1.3,0.2,9.7,3.8,0,9.8,3.6,0
440010302001009,4.5,2.4,0,4.2,2.1,0.3,0.1,0.2,0.1,0,4.2,1.8,0.2,0.1,0.4,0.1,5.3,0.9,0.1,4.6,2.1,0,4.8,1.9,0
440010304002029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010302002015,21.9,9.9,0.1,20.2,8.7,1.3,0.3,0.6,0.3,0.1,20.6,7.1,0.5,0.5,1.8,0.3,24.7,4.2,0.2,22.3,8.8,0.1,22.9,8.2,0
440010302003027,9.5,4.3,0,8.8,3.8,0.6,0.2,0.3,0.2,0,9,3.1,0.2,0.2,0.8,0.1,10.7,1.8,0.1,9.7,3.8,0,9.9,3.6,0
440010304003001,9.8,4.7,0,10.2,3.5,0.3,0.1,0.2,0.1,0,9.4,3.2,0.1,0.3,0.9,0.1,11.6,1.4,0.2,10.2,4,0,10.4,3.8,0
440010303002033,25.6,12.1,0.1,24.1,10.8,1.1,0.4,1,0.2,0.1,24.1,8.9,0.7,0.7,1.8,0.4,29.9,4,0.2,26.6,10.4,0,26.8,10,0
440010303003014,4.7,2.2,0,4.4,2,0.2,0.1,0.2,0,0,4.4,1.6,0.1,0.1,0.3,0.1,5.4,0.7,0,4.8,1.9,0,4.9,1.8,0
440010303002007,19.1,9,0.1,18,8,0.8,0.3,0.8,0.2,0.1,18,6.7,0.5,0.5,1.4,0.3,22.3,3,0.2,19.8,7.8,0,20,7.5,0
440010303002012,10.2,4.8,0,9.7,4.3,0.4,0.2,0.4,0.1,0,9.6,3.6,0.3,0.3,0.7,0.2,12,1.6,0.1,10.6,4.2,0,10.7,4,0
440010304001018,32.9,15.8,0.2,34.4,11.9,1.1,0.3,0.8,0.2,0.2,31.6,10.9,0.5,0.9,2.9,0.5,39,4.7,0.6,34.5,13.6,0,34.9,12.9,0
440010302003008,5.8,2.9,0,5.7,2.3,0.3,0.1,0.2,0.1,0,5.5,2.1,0.1,0.1,0.4,0.2,6.6,1,0.1,5.9,2.5,0,6.1,2.4,0
440010304001020,5.1,2.5,0,5.4,1.9,0.2,0,0.1,0,0,4.9,1.7,0.1,0.1,0.5,0.1,6.1,0.7,0.1,5.4,2.1,0,5.5,2,0
440010304002016,11,5.5,0,10.9,4.4,0.5,0.2,0.3,0.2,0.1,10.4,4.1,0.1,0.2,0.8,0.3,12.7,2,0.2,11.3,4.9,0,11.6,4.5,0
440010303003009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010302001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010301004007,7.1,3.2,0,6.6,2.9,0.4,0.1,0.2,0.1,0,6.7,2.3,0.2,0.2,0.6,0.1,8.1,1.4,0.1,7.3,2.9,0,7.5,2.7,0
440010307004003,18.7,10.9,0.1,16.6,9.7,1.5,0.4,0.8,0.4,0.1,17.8,7.8,1,0.6,0.7,0.3,21.8,5,0.2,20.1,8.8,0,19.8,8.8,0
440010301003012,6.2,2.8,0,5.7,2.5,0.4,0.1,0.2,0.1,0,5.8,2,0.2,0.1,0.5,0.1,7,1.2,0.1,6.3,2.5,0,6.5,2.3,0
440010301001003,10.3,5.5,0.1,9.6,4.8,0.6,0.2,0.4,0.2,0,9.6,4,0.4,0.2,1,0.1,12.2,2,0.2,10.6,4.9,0,11,4.5,0
440010301001036,40.3,21.4,0.2,37.6,18.8,2.4,0.9,1.4,0.6,0.2,37.6,15.8,1.7,0.8,3.9,0.6,47.8,7.9,0.6,41.5,19.2,0,43.1,17.5,0
440010302001011,9,4.8,0,8.4,4.2,0.5,0.2,0.3,0.1,0,8.3,3.5,0.4,0.2,0.9,0.1,10.6,1.8,0.1,9.2,4.3,0,9.6,3.9,0
440010302001008,10.7,5.7,0.1,10,5,0.7,0.2,0.4,0.2,0,10,4.2,0.5,0.2,1,0.2,12.7,2.1,0.2,11.1,5.1,0,11.5,4.7,0
440010302001019,6.7,3.6,0,6.3,3.1,0.4,0.2,0.2,0.1,0,6.3,2.6,0.3,0.1,0.6,0.1,8,1.3,0.1,6.9,3.2,0,7.2,2.9,0
440010301001017,5.4,2.9,0,5,2.5,0.3,0.1,0.2,0.1,0,5,2.1,0.2,0.1,0.5,0.1,6.4,1.1,0.1,5.5,2.6,0,5.7,2.3,0
440010301003007,3.8,1.7,0,3.5,1.5,0.2,0.1,0.1,0.1,0,3.6,1.2,0.1,0.1,0.3,0.1,4.3,0.7,0,3.9,1.5,0,4,1.4,0
440010301003004,8.1,3.6,0,7.5,3.2,0.5,0.1,0.2,0.1,0,7.6,2.6,0.2,0.2,0.7,0.1,9.1,1.6,0.1,8.2,3.2,0,8.4,3,0
440010301002007,8.1,3.6,0,7.5,3.2,0.5,0.1,0.2,0.1,0,7.6,2.6,0.2,0.2,0.7,0.1,9.1,1.6,0.1,8.2,3.2,0,8.4,3,0
440010304003021,8.2,4,0,8.6,3,0.3,0.1,0.2,0,0,7.9,2.7,0.1,0.2,0.7,0.1,9.8,1.2,0.2,8.6,3.4,0,8.7,3.2,0
440010304003015,3.1,1.5,0,3.2,1.1,0.1,0,0.1,0,0,3,1,0,0.1,0.3,0,3.7,0.4,0.1,3.2,1.3,0,3.3,1.2,0
440010304003016,4.6,2.2,0,4.8,1.7,0.2,0,0.1,0,0,4.4,1.5,0.1,0.1,0.4,0.1,5.5,0.7,0.1,4.8,1.9,0,4.9,1.8,0
440010302002016,8.6,3.9,0,7.9,3.4,0.5,0.1,0.2,0.1,0,8.1,2.8,0.2,0.2,0.7,0.1,9.7,1.7,0.1,8.7,3.4,0,8.9,3.2,0
440010302003024,11.4,5.1,0,10.6,4.6,0.7,0.2,0.3,0.2,0,10.7,3.7,0.3,0.3,0.9,0.2,12.9,2.2,0.1,11.6,4.6,0,11.9,4.3,0
440010304003006,9.8,4.7,0,10.2,3.5,0.3,0.1,0.2,0.1,0,9.4,3.2,0.1,0.3,0.9,0.1,11.6,1.4,0.2,10.2,4,0,10.4,3.8,0
440010303001004,30.7,15.2,0.1,30.2,12.2,1.4,0.4,0.9,0.5,0.2,29.1,11.4,0.4,0.5,2.3,0.9,35.3,5.5,0.5,31.6,13.5,0.1,32.3,12.6,0.1
440010303002031,14.4,6.8,0.1,13.6,6.1,0.6,0.2,0.6,0.1,0.1,13.6,5,0.4,0.4,1,0.2,16.9,2.2,0.1,15,5.9,0,15.1,5.7,0
440010302003014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010302002019,9.5,4.3,0,8.8,3.8,0.6,0.2,0.3,0.2,0,9,3.1,0.2,0.2,0.8,0.1,10.7,1.8,0.1,9.7,3.8,0,9.9,3.6,0
440010304003019,15.4,7.4,0.1,16.1,5.6,0.5,0.1,0.4,0.1,0.1,14.8,5.1,0.2,0.4,1.4,0.2,18.3,2.2,0.3,16.2,6.4,0,16.4,6,0
440010304003011,5.7,2.7,0,5.9,2,0.2,0,0.1,0,0,5.4,1.9,0.1,0.1,0.5,0.1,6.7,0.8,0.1,5.9,2.3,0,6,2.2,0
440010304001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010304001023,2.1,1,0,2.2,0.7,0.1,0,0.1,0,0,2,0.7,0,0.1,0.2,0,2.4,0.3,0,2.2,0.8,0,2.2,0.8,0
440010302003029,1,0.4,0,0.9,0.4,0.1,0,0,0,0,0.9,0.3,0,0,0.1,0,1.1,0.2,0,1,0.4,0,1,0.4,0
440010301002022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010302001031,13,6.9,0.1,12.1,6.1,0.8,0.3,0.5,0.2,0.1,12.1,5.1,0.5,0.3,1.3,0.2,15.4,2.6,0.2,13.4,6.2,0,13.9,5.6,0
440010303001027,1,0.5,0,0.9,0.4,0,0,0,0,0,0.9,0.4,0,0,0.1,0,1.1,0.2,0,1,0.4,0,1,0.4,0
440010301003031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010301004031,13.3,6,0,12.3,5.3,0.8,0.2,0.4,0.2,0,12.5,4.3,0.3,0.3,1.1,0.2,15,2.6,0.1,13.6,5.4,0,13.9,5,0
440010301004023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010301004028,9,4.1,0,8.4,3.6,0.5,0.1,0.3,0.1,0,8.5,2.9,0.2,0.2,0.7,0.1,10.2,1.8,0.1,9.2,3.6,0,9.4,3.4,0
440010301001009,4.9,2.6,0,4.6,2.3,0.3,0.1,0.2,0.1,0,4.6,1.9,0.2,0.1,0.5,0.1,5.8,1,0.1,5.1,2.3,0,5.3,2.1,0
440010301004000,7.6,4,0,7.1,3.5,0.5,0.2,0.3,0.1,0,7.1,3,0.3,0.1,0.7,0.1,9,1.5,0.1,7.8,3.6,0,8.1,3.3,0
440010301001033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010301004030,14.3,6.4,0,13.2,5.7,0.8,0.2,0.4,0.2,0,13.4,4.6,0.4,0.3,1.2,0.2,16.1,2.8,0.1,14.5,5.7,0,14.9,5.3,0
440010301001023,13,6.9,0.1,12.1,6.1,0.8,0.3,0.5,0.2,0.1,12.1,5.1,0.5,0.3,1.3,0.2,15.4,2.6,0.2,13.4,6.2,0,13.9,5.6,0
440010301001022,9,4.8,0,8.4,4.2,0.5,0.2,0.3,0.1,0,8.3,3.5,0.4,0.2,0.9,0.1,10.6,1.8,0.1,9.2,4.3,0,9.6,3.9,0
440010301001020,9,4.8,0,8.4,4.2,0.5,0.2,0.3,0.1,0,8.3,3.5,0.4,0.2,0.9,0.1,10.6,1.8,0.1,9.2,4.3,0,9.6,3.9,0
440010301001016,11.2,6,0.1,10.5,5.2,0.7,0.3,0.4,0.2,0,10.4,4.4,0.5,0.2,1.1,0.2,13.3,2.2,0.2,11.5,5.3,0,12,4.9,0
440010301001026,8.5,4.5,0,7.9,4,0.5,0.2,0.3,0.1,0,7.9,3.3,0.4,0.2,0.8,0.1,10.1,1.7,0.1,8.8,4,0,9.1,3.7,0
440010301003025,7.1,3.2,0,6.6,2.9,0.4,0.1,0.2,0.1,0,6.7,2.3,0.2,0.2,0.6,0.1,8.1,1.4,0.1,7.3,2.9,0,7.5,2.7,0
440010301002020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010301002017,7.1,3.2,0,6.6,2.9,0.4,0.1,0.2,0.1,0,6.7,2.3,0.2,0.2,0.6,0.1,8.1,1.4,0.1,7.3,2.9,0,7.5,2.7,0
440010301002016,14.7,6.6,0,13.6,5.9,0.9,0.2,0.4,0.2,0,13.9,4.8,0.4,0.3,1.2,0.2,16.6,2.9,0.1,15,5.9,0,15.4,5.5,0
440010301003024,6.7,3,0,6.2,2.7,0.4,0.1,0.2,0.1,0,6.3,2.1,0.2,0.2,0.6,0.1,7.5,1.3,0.1,6.8,2.7,0,7,2.5,0
440010303001006,9.1,4.5,0,9,3.6,0.4,0.1,0.3,0.1,0.1,8.6,3.4,0.1,0.2,0.7,0.3,10.5,1.6,0.2,9.4,4,0,9.6,3.7,0
440010303001020,20.6,10.2,0.1,20.3,8.2,0.9,0.3,0.6,0.3,0.2,19.5,7.6,0.3,0.4,1.6,0.6,23.7,3.7,0.4,21.2,9.1,0.1,21.7,8.4,0
440010303001013,8.2,4,0,8,3.2,0.4,0.1,0.3,0.1,0.1,7.7,3,0.1,0.1,0.6,0.2,9.4,1.5,0.1,8.4,3.6,0,8.6,3.3,0
440010303001015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010302001037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010304002010,10.6,5.2,0,10.4,4.2,0.5,0.1,0.3,0.2,0.1,10,3.9,0.1,0.2,0.8,0.3,12.1,1.9,0.2,10.8,4.7,0,11.1,4.3,0
440010304002028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010303002027,7,3.3,0,6.6,2.9,0.3,0.1,0.3,0.1,0,6.6,2.4,0.2,0.2,0.5,0.1,8.2,1.1,0.1,7.3,2.8,0,7.3,2.7,0
440010303003021,9.3,4.4,0,8.8,3.9,0.4,0.1,0.4,0.1,0,8.8,3.2,0.3,0.3,0.7,0.1,10.9,1.5,0.1,9.7,3.8,0,9.8,3.7,0
440010304001010,29.3,14.1,0.1,30.6,10.6,1,0.2,0.7,0.2,0.1,28.2,9.7,0.4,0.8,2.6,0.4,34.7,4.2,0.6,30.7,12.1,0,31.1,11.5,0
440010302003012,50.7,24,0.2,47.8,21.3,2.1,0.8,2,0.5,0.2,47.8,17.7,1.4,1.4,3.7,0.8,59.3,7.9,0.5,52.7,20.7,0,53.2,19.9,0.1
440010302003001,56.3,26.6,0.2,53.1,23.7,2.4,0.8,2.3,0.5,0.2,53.1,19.6,1.6,1.6,4.1,0.8,65.9,8.8,0.5,58.5,22.9,0,59.1,22.1,0.1
440010301003022,7.7,3.7,0,8.1,2.8,0.3,0.1,0.2,0,0,7.4,2.5,0.1,0.2,0.7,0.1,9.1,1.1,0.1,8.1,3.2,0,8.2,3,0
440010303002019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010301004019,2.9,1.3,0,2.6,1.1,0.2,0,0.1,0,0,2.7,0.9,0.1,0.1,0.2,0,3.2,0.6,0,2.9,1.1,0,3,1.1,0
440010303003008,53.5,25.3,0.2,50.5,22.5,2.2,0.8,2.2,0.5,0.2,50.4,18.7,1.5,1.5,3.9,0.8,62.6,8.3,0.5,55.6,21.8,0,56.1,21,0.1
440010304003010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010303002014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440010302001007,75.2,40,0.4,70.3,35.1,4.6,1.7,2.6,1.1,0.3,70.1,29.4,3.2,1.5,7.3,1.1,89.2,14.8,1.1,77.4,35.8,0.1,80.4,32.7,0.1
440010302001012,0.4,0.2,0,0.4,0.2,0,0,0,0,0,0.4,0.2,0,0,0,0,0.5,0.1,0,0.5,0.2,0,0.5,0.2,0
440010302002006,86.5,39,0.2,80.1,34.6,5,1.4,2.4,1.4,0.2,81.5,27.9,2.1,2,7.2,1.2,97.7,16.8,0.8,88.2,34.8,0.2,90.4,32.4,0.1
440010301004015,10,4.5,0,9.2,4,0.6,0.2,0.3,0.2,0,9.4,3.2,0.2,0.2,0.8,0.1,11.3,1.9,0.1,10.2,4,0,10.4,3.7,0
440010303002020,12.6,5.9,0.1,11.9,5.3,0.5,0.2,0.5,0.1,0.1,11.8,4.4,0.3,0.3,0.9,0.2,14.7,2,0.1,13.1,5.1,0,13.2,4.9,0
440010301001025,6.7,3.6,0,6.3,3.1,0.4,0.2,0.2,0.1,0,6.3,2.6,0.3,0.1,0.6,0.1,8,1.3,0.1,6.9,3.2,0,7.2,2.9,0
440010303003000,84.3,39.8,0.4,79.4,35.4,3.5,1.3,3.4,0.8,0.4,79.4,29.4,2.3,2.3,6.1,1.3,98.5,13.1,0.8,87.6,34.3,0,88.3,33.1,0.1
440010304002002,11.8,5.7,0.1,12.4,4.3,0.4,0.1,0.3,0.1,0.1,11.4,3.9,0.2,0.3,1,0.2,14,1.7,0.2,12.4,4.9,0,12.5,4.6,0
440010304003020,22.6,10.9,0.1,23.7,8.2,0.7,0.2,0.6,0.1,0.1,21.8,7.5,0.3,0.6,2,0.3,26.8,3.2,0.4,23.7,9.3,0,24,8.8,0
