GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRHAW,G18USSDMCC,G18USSLCAM,G18USSGCRA,G18USSIODE,G18AUDRMCD,G18AUDDGAL,G18AUDLOTO,G18AUDGFIT,G18AUDCLUE
29001000002,29,001,000002,577,194,8,3,19,528,203,9,4,30
29001000003,29,001,000003,351,443,13,9,14,322,434,22,15,29
29001000004,29,001,000004,427,316,4,5,8,396,309,12,8,24
29001000005,29,001,000005,588,416,6,3,11,528,423,14,14,23
29001000006,29,001,000006,705.85,228.91,8.38,4.23,17.46,663.51,226.94,16.76,8.2,29.57
29001000007,29,001,000007,1031.4,461.76,12.61,7.76,15.53,953.79,462.72,25.23,6.8,52.39
29001000008,29,001,000008,699.04,532.8,14.99,6,11,664.02,506.82,23,6,38
29001000009,29,001,000009,198,393,7,2,9,180,381,20,9,8
29001000010,29,001,000010,297,265,4,3,14,277,257,21,3,14
29001000011,29,001,000011,64.71,243.54,10.02,9.01,3.01,60.67,244.51,11.02,6.01,1.04
29003000002,29,003,000002,3.23,1.76,0.06,0.03,0.1,2.71,1.96,0.08,0.04,0.3
29003000003,29,003,000003,295.96,161.62,5.37,2.48,8.89,248.63,179.6,7.03,3.31,27.69
29003000004,29,003,000004,125.88,54.51,0.99,1.98,6.94,109.03,66.41,0.99,0.99,13.88
29003000005,29,003,000005,176.22,54.95,1.95,0.99,6.87,147.86,69.65,0.98,0.98,13.74
29003000006,29,003,000006,752.05,412.54,13.71,6.33,22.69,631.75,458.06,18.03,8.45,70.5
29003000007,29,003,000007,393.12,213.07,7.09,3.26,11.88,330.31,237.14,9.21,4.33,36.67
29003000008,29,003,000008,460.29,257.02,11.71,4.26,14.37,388.46,281.5,10.11,6.39,52.68
29003000009,29,003,000009,262.13,150.78,8.4,2.19,7.3,231.83,153.33,9.49,2.19,25.19
29003000010,29,003,000010,184.36,73.68,3.87,1.93,3.91,151.42,89.21,3.86,4.82,15.52
29003000011,29,003,000011,328.32,140.91,13.11,2.03,11.09,291.94,145.94,14.12,3.03,33.32
29003000012,29,003,000012,247.14,87.13,3.02,0.11,10.42,212.04,109.14,2.08,0.24,19.5
29003000013,29,003,000013,452.55,260.31,14.5,3.78,12.61,400.23,264.72,16.39,3.78,43.49
29003000014,29,003,000014,398.66,221.69,10.08,3.65,12.5,336.51,243.05,8.7,5.47,45.47
29003000015,29,003,000015,84.96,25.75,1.44,0.43,0.94,69.45,30.7,0.53,0.87,6.98
29003000016,29,003,000016,128.21,37.68,3.03,0,2.6,109.58,43.75,3.03,1.3,10.83
29003000017,29,003,000017,81.44,33.06,3.49,0.47,1.44,71.51,37.35,2.43,0.92,7.8
29003000018,29,003,000018,89.44,26.46,1.59,0.53,0.53,72.5,31.22,0.53,1.06,7.41
29003000019,29,003,000019,216.99,84.73,9.45,1.2,3.54,190.69,96.15,6.45,2.41,20.36
29003000020,29,003,000020,75.21,29.58,3.33,0.42,1.25,66.25,33.54,2.29,0.83,7.08
29003000021,29,003,000021,145.35,42.72,3.44,0,2.95,124.24,49.6,3.44,1.47,12.28
29005000002,29,005,000002,352,126,2,3,2,305,150,7,4,8
29005000004,29,005,000004,603.01,214,11,9,3,559.01,220,17,6,20
29005000005,29,005,000005,491.99,151,16,1,9,459.99,163,19,1,13
29005000006,29,005,000006,53,17,2,1,0,47,21,1,1,1
29005000007,29,005,000007,119,34,5,1,1,112,35,3,3,1
29007000502,29,007,000502,219.22,71.89,2.66,1.78,4.44,150,128.69,5.33,0.89,13.31
29007000506,29,007,000506,438.78,137.11,7.34,1.22,7.56,323,213.31,5.67,1.11,35.69
29007000508,29,007,000508,719.37,266.76,13.89,8.45,16.53,530.22,400.39,20.63,5.45,60.23
29007000510,29,007,000510,196.4,72.41,6.94,0,8.93,145.81,113.08,2.98,0.99,20.83
29007000512,29,007,000512,117,64,3,2,10,92,86,2,3,11
29007000513,29,007,000513,744,352,15,4,19,592,455,16,4,54
29007000545,29,007,000545,406.31,143.21,7.73,4.84,14.2,290.68,223.26,11.59,1.09,41.18
29007000616,29,007,000616,191.77,135.53,5.9,2.99,6.87,142.37,162.29,8.85,3.07,20.08
29007000623,29,007,000623,413.22,259.61,19.76,3.59,17.07,306.32,337.76,17.97,7.19,33.24
29007000632,29,007,000632,227.39,168.2,7.25,3.62,8.15,169.41,198.7,10.87,3.93,23.86
29007000633,29,007,000633,389.58,283.13,12.9,5.88,14.14,290.38,337.48,18.4,6.62,39.83
29007000641,29,007,000641,332,214,11,4,12,271,237,12,2,40
29007000642,29,007,000642,471.06,287.47,11.88,4.06,15.79,362.52,360.79,18.98,3.21,39.96
29007000657,29,007,000657,258.6,84.59,2.06,2,3.07,203.19,120.92,4.02,0.01,17.17
29007000658,29,007,000658,198,55,3,0,0,136,97,4,0,10
29007000667,29,007,000667,328.29,132.08,4.69,3.56,8.25,235.1,203.32,5.7,0.45,30.63
29009000002,29,009,000002,186,52.84,1.79,0.36,6.78,148.52,81.4,5,2.5,4.28
29009000003,29,009,000003,189.16,56.81,1.17,1.17,9.37,160.47,80.23,2.93,1.17,5.27
29009000004,29,009,000004,218.69,60.11,3.79,2.17,3.25,174.44,91.97,10.26,1.09,1.62
29009000005,29,009,000005,621.45,202.62,14.21,6.18,21.2,505.98,289.08,24.78,9.05,15.34
29009000006,29,009,000006,985.47,269.64,15.78,6.1,22.93,782.51,423.22,29.35,12.22,19.07
29009000007,29,009,000007,265.81,68.99,1.86,1.83,4.6,207.89,110.85,11.01,2.77,3.22
29009000008,29,009,000008,556.49,108.92,10.89,4.95,10.89,460.44,188.14,12.87,10.89,8.91
29009000009,29,009,000009,426.8,183.73,7.38,3.41,8.72,333.04,263.9,10.23,3.27,5.73
29009000010,29,009,000010,270.25,72.46,4.9,0,4.9,216.39,115.54,5.87,3.92,2.94
29009000011,29,009,000011,329.73,78.19,5.33,0.82,10.16,268,133.49,7.31,3.29,5.04
29009000012,29,009,000012,133.84,40.19,0.83,0.83,6.63,113.53,56.77,2.07,0.83,3.73
29009000013,29,009,000013,254.48,52.37,3.69,2.01,3.69,200.43,93.67,7.72,4.03,1.68
29009000014,29,009,000014,148.08,37.74,2.01,0.72,2.87,116.51,61.7,3.87,1.72,2.58
29009000015,29,009,000015,1178.07,523.53,37.81,19.63,27.47,976.18,692.07,54.23,18.71,10.28
29009000016,29,009,000016,317.95,82.55,2.25,2.17,5.5,248.71,132.61,13.12,3.32,3.85
29009000017,29,009,000017,197.51,45.17,3.06,0.38,6.12,160.38,78.47,4.21,1.91,3.06
29009000018,29,009,000018,503.52,103.63,7.31,3.99,7.31,396.57,185.33,15.28,7.97,3.32
29009000019,29,009,000019,359.37,169.29,0.99,0.99,3.96,301.95,207.9,6.93,2.97,6.93
29009000020,29,009,000020,352,125,6,2,28,330,145,16,6,6
29009000021,29,009,000021,732.83,290.98,7.63,7.6,13.32,558.01,439.2,21.84,4.76,12.34
29009000022,29,009,000022,335,95.16,3.21,0.64,12.22,267.48,146.6,9,4.5,7.72
29009000023,29,009,000023,456.51,102.08,7.11,3.05,14.11,389.56,158.86,13.13,5.11,8.09
29011000004,29,011,000004,462,59,1,2,5,436,75,5,5,2
29011000008,29,011,000008,156,82,3,1,3,147,85,2,2,3
29011000010,29,011,000010,484,96,2,5,11,454,116,9,2,5
29011000011,29,011,000011,529,75,4,1,13,512,82,10,3,3
29011000015,29,011,000015,339,78,2,3,14,323,95,8,1,2
29011000016,29,011,000016,796.83,111.52,7.91,5.92,17.7,763.41,138.98,14.8,4.91,1.02
2901116-018,29,011,16-018,917.75,184.38,19.88,6,25.5,872.62,216.5,22.12,10.75,7.38
2901116-021,29,011,16-021,379.42,97.11,8.22,5.08,7.8,366.96,99.52,12.08,1.34,5.6
29013002701,29,013,002701,183,58,4,1,5,162,70,7,3,3
29013002703,29,013,002703,640.69,304.47,14.88,0,25.79,525.64,372.91,37.69,2.98,20.83
29013002705,29,013,002705,527,223.95,10.05,12,18.08,427.64,297.17,19.12,7.01,20.07
29013002722,29,013,002722,263.58,97.84,10.98,2,12.98,210.66,134.78,13.98,2,3
29013002767,29,013,002767,207,91,2,0,12,168,118,14,1,4
29013002801,29,013,002801,136.86,65.41,1.51,1.51,6.81,102.46,94.52,4.54,1.51,4.16
29013002814,29,013,002814,554.62,266.94,13.88,9.43,29.07,457.98,343.15,17.46,9.81,20.94
29013002825,29,013,002825,160.29,54.07,0,1.93,4.84,117.83,84.95,7.72,0,4.84
29013002847,29,013,002847,182,37,4,1,3,148,62,4,0,6
29013002849,29,013,002849,472.15,245.61,6.75,2.73,14.65,406.52,284.54,11.69,6.56,9.63
29013002850,29,013,002850,326.02,174.51,7.93,6.32,13.55,280.64,205.43,17.35,7.12,4.3
29013002868,29,013,002868,199.16,64.8,0.97,1.04,11.77,165.7,87.2,6.08,1.93,13.7
29013002892,29,013,002892,316.28,126.05,11.05,0.05,17.73,261.21,170.27,10.66,4.31,10.51
29013002904,29,013,002904,216.61,82.61,0.92,0,4.59,193.67,89.95,5.51,2.75,0.92
29013002930,29,013,002930,82.17,12.56,0.04,1.02,3.06,68.06,23.43,0.21,0.04,2.09
29015000001,29,015,000001,466.37,163.49,9.96,2,13.96,427.48,195.4,14.95,2.99,9.97
29015000002,29,015,000002,1162,282,37,12,27,997,438,26,12,28
29015000004,29,015,000004,276.7,131.5,4,3.69,10.78,238.49,162.63,9.54,1.54,5.84
29015000005,29,015,000005,539,218,10,5,13,479,273,20,3,11
29015000007,29,015,000007,680.83,397.95,8.37,4.31,31.86,544.66,515.53,25.84,7.14,8.48
29015000008,29,015,000008,603.39,286.33,8.74,8.04,23.47,520.28,354.03,20.8,3.36,12.75
29015000009,29,015,000009,759,192,15,8,10,652,273,13,8,18
290150012-6,29,015,0012-6,1197.19,646.48,33.92,14.96,35.92,1004.64,807.11,64.85,12.97,20.95
29017000003,29,017,000003,307.47,51.99,1.16,2.11,1.21,287.43,60.35,1.28,3.16,6.15
29017000005,29,017,000005,245.09,61.77,2.99,1.99,1,230.15,59.78,6.97,1.99,1
29017000006,29,017,000006,653.45,145.83,5.57,4.18,7.43,613.98,159.76,9.75,6.04,6.5
29017000007,29,017,000007,730.34,162.9,6.22,4.67,8.29,686.21,178.48,10.88,6.75,7.28
29017000009,29,017,000009,626.38,144.53,4.33,5.26,7.38,589.99,160.09,9.32,6.39,2.4
29017000010,29,017,000010,308,77,2,0,1,280,88,4,3,4
29017000011,29,017,000011,362.62,96.47,8.67,1.74,2.62,353.01,93.91,8.68,2.61,2.6
29017000012,29,017,000012,235.79,64.09,2.04,2.03,2.04,228.52,57.15,9.08,2.04,0.04
29017000015,29,017,000015,376.85,81.42,3.02,0.02,1.03,364.71,81.48,3.03,0.03,1.03
29019000007,29,019,000007,772.72,476.77,14,3,19.99,557.8,616.74,17,5,65.96
29019000008,29,019,000008,654.85,332.89,19,3,15.99,479.9,470.85,19.99,3,38.99
29019000009,29,019,000009,503.08,233.56,10.63,3.32,14.57,363.53,338.77,13.87,6.57,31.73
29019000010,29,019,000010,228.19,110.77,7.38,2.21,8.49,172.06,149.55,7.01,2.22,16.98
29019000011,29,019,000011,263.54,122.27,5.53,1.73,7.6,190.31,177.53,7.25,3.45,16.58
29019000012,29,019,000012,386.19,187.4,12.46,3.74,14.35,291.1,253.14,11.86,3.76,28.71
29019000015,29,019,000015,489.53,389.72,19.52,2.89,18.8,348.53,477.94,30.37,4.34,37.6
29019000016,29,019,000016,654,342,14,9,8,459,483,23,2,35
29019000017,29,019,000017,533.1,429.24,13.1,2.1,20.93,366.46,534.68,21.23,3.11,46.98
29019000018,29,019,000018,332.43,223.9,7.39,0.57,4.55,229.58,294.36,13.64,1.7,13.64
29019000019,29,019,000019,248.66,167.47,5.53,0.43,3.4,171.72,220.18,10.2,1.28,10.2
2901900001A,29,019,00001A,53,377.99,6,7,5,43,359.99,13,14,5
2901900001B,29,019,00001B,40,204,3,0,4,29,195,6,4,8
2901900001C,29,019,00001C,112.03,720.38,6.97,8.13,9.29,89.39,723.86,10.45,12.19,9.29
2901900001D,29,019,00001D,66,562,9,9,11,55,548,18,6,11
2901900001E,29,019,00001E,111.2,422.97,4.09,7.5,5.46,107.11,399.09,15.69,5.46,2.05
2901900001F,29,019,00001F,67.9,272.43,3.66,5.69,8.13,56.11,271.21,9.35,4.47,6.1
2901900001G,29,019,00001G,80.47,517.44,5,5.84,6.67,64.21,519.94,7.51,8.76,6.67
2901900001I,29,019,00001I,72.31,161.31,1.17,0.88,1.76,72.6,147.84,3.81,2.34,0.88
29019000020,29,019,000020,347,359.99,9.48,2.61,6.93,243.76,423.68,13.79,5.18,19
29019000021,29,019,000021,281.91,467.53,29.14,4.87,8.92,223.07,500.73,34.08,4.91,20.54
29019000022,29,019,000022,188.92,253.74,6.97,5.06,9.4,143.23,284.37,10.89,5.53,14.96
29019000023,29,019,000023,218.47,272.88,6.7,4.19,6.7,164.9,294.65,17.58,5.86,18.42
29019000024,29,019,000024,516.54,486.69,17.65,6.23,11.76,361.87,586.86,23.01,5.47,47.05
29019000025,29,019,000025,300.94,313.07,13.29,3.47,8.66,218.34,380.65,13.86,4.04,15.02
29019000026,29,019,000026,513,522,17.12,4.07,8.22,351.78,643.83,32.7,1.21,15.98
29019000027,29,019,000027,657.82,633.3,10.94,4.27,8.71,457.99,779.04,26.11,4.26,25.49
29019000028,29,019,000028,107.55,114.39,2.42,0.89,2.71,75.57,136.46,5.03,2.15,6.63
29019000029,29,019,000029,404.15,413.61,8.79,3.22,10.33,282.7,497.78,18.96,7.94,25.47
2901900002A,29,019,00002A,221.04,515.54,8.57,2.45,6.74,151.23,555.34,18.98,4.9,16.53
2901900002B,29,019,00002B,79.06,156.04,4.61,2.3,5.76,60.16,166.64,7.38,1.84,5.76
2901900002C,29,019,00002C,197.48,298.56,10.15,1.56,6.24,145.96,333.68,10.93,2.34,14.44
2901900002D,29,019,00002D,418.19,663.79,16.12,5.69,15.17,302.5,725.43,32.24,6.64,31.29
2901900002F,29,019,00002F,308.52,466.44,15.85,2.44,9.76,228.04,521.32,17.07,3.66,22.56
2901900002G,29,019,00002G,134.21,313.09,5.2,1.51,4.1,91.91,337.19,11.46,3.01,10.01
2901900002H,29,019,00002H,312.54,631.66,20.97,7.17,14.41,231.46,679.27,28.13,10.11,21.78
2901900002I,29,019,00002I,379.27,668.33,19.13,5.26,16.36,277.94,714.64,30.2,8.24,26.56
2901900002J,29,019,00002J,263.94,520.96,15.39,7.7,19.24,200.84,556.36,24.62,6.16,19.24
2901900002K,29,019,00002K,209.05,287.6,3.7,0.81,5.43,146.57,339.53,5.66,1.96,4.77
29019000030,29,019,000030,640.15,426.01,9.84,5.3,10.59,473.68,554.64,17.4,6.05,24.97
29019000031,29,019,000031,723.77,504.71,13.35,4.73,12.78,510.67,641.48,30.52,5.67,41.15
29019000032,29,019,000032,250.88,178.85,4.59,1.62,4.32,175.88,227.14,10.52,2.16,14.03
29019000033,29,019,000033,147.6,141.56,5.1,1.78,3.35,103.57,170.08,6.68,1.56,13.24
29019000034,29,019,000034,214.95,223.91,9.35,2.48,6.13,155.81,272.06,9.87,2.86,10.71
29019000035,29,019,000035,237.63,137.38,4.75,1.68,4.75,176.47,174.52,10.89,0.28,15.36
29019000036,29,019,000036,294.47,316.19,6.27,1.25,2.51,215.11,358.8,13.78,1.25,13.78
29019000037,29,019,000037,147.02,172.57,2.84,0.63,1.89,101.9,201.13,5.84,1.1,8.68
29019000038,29,019,000038,607.17,524.54,16.04,6.01,6.03,418.5,648.96,24.09,6.02,50.13
29019000039,29,019,000039,698.61,298.84,25.99,5,12.99,532.7,431.76,18.99,2,43.98
2901900003A,29,019,00003A,238.27,391,12.24,5.9,6.45,166.7,417.68,23.95,7.36,24.5
2901900003B,29,019,00003B,143.24,440.39,11.17,9.07,12.3,119.3,449.53,14.3,8.06,13.63
2901900003C,29,019,00003C,254.69,584,12.93,11.94,21.89,184.05,608.87,22.88,8.95,37.81
2901900003D,29,019,00003D,195,879.01,10,18,8,148,877.01,24,14,14
2901900003E,29,019,00003E,239.61,363.05,9.09,4.97,10.82,171.86,401.17,17.91,4.84,16.16
2901900003F,29,019,00003F,419.59,631.31,16.11,6.03,19.83,322.47,677.13,36.73,12.83,24.76
29019000040,29,019,000040,204.24,183.75,8.42,1.68,8.07,146.32,219.99,12.95,2.35,15.65
29019000041,29,019,000041,379.27,551.42,9.62,9.83,16.41,276.02,613.02,23.81,8.02,28.97
29019000042,29,019,000042,572.66,335.6,11.38,4.02,11.35,423.9,426.32,26.11,0.92,36.72
2901900004A,29,019,00004A,221.44,492.95,7.62,1.09,5.44,145.27,550.62,10.34,3.26,11.97
2901900004B,29,019,00004B,550.48,581.58,8,4.99,6.99,393.61,690.48,19.98,2,26.99
2901900004C,29,019,00004C,174.57,684.71,6.4,3.86,5.13,126.49,710.36,13.45,6.4,5.15
2901900004D,29,019,00004D,98.83,388.43,3.63,2.18,2.91,71.58,402.97,7.63,3.63,2.91
2901900004E,29,019,00004E,297.59,876.86,6.97,7.96,7.96,225.93,916.67,16.92,7.96,11.94
2901900004F,29,019,00004F,50.34,231.5,1.16,1.16,0.46,34.8,241.48,2.78,0.93,1.16
2901900004G,29,019,00004G,384.74,594.56,2.09,3.02,8.06,257.28,688.48,12.19,2.04,16.28
2901900004H,29,019,00004H,375.97,717.75,8.54,2.85,3.8,268.68,788.01,12.34,2.85,16.14
2901900004I,29,019,00004I,68.74,316.13,1.58,1.58,0.63,47.51,329.75,3.8,1.27,1.58
2901900004J,29,019,00004J,185.56,413.05,6.38,0.91,4.56,121.73,461.38,8.66,2.74,10.03
2901900004K,29,019,00004K,460.44,543.65,9.52,2.07,6.05,319.99,632.33,18.9,3.52,27.24
2901900004L,29,019,00004L,421,561,11,1,7,292,646,27,4,20
2901900005A,29,019,00005A,97.92,450.36,2.26,2.26,0.9,67.69,469.77,5.42,1.81,2.26
2901900005B,29,019,00005B,343.91,372.9,6,6,8,246.94,432.89,11,4,24.99
2901900005C,29,019,00005C,273.73,587.49,7.67,3.3,6.07,195.26,635.26,7.17,5.5,14.79
2901900005D,29,019,00005D,514.82,572.46,7.76,2.32,6.18,331.23,699.01,23.96,3.85,22.35
2901900005E,29,019,00005E,664.38,652.94,7.43,3.08,6.16,472.19,779.68,12.94,2.08,36.9
2901900005F,29,019,00005F,501,693,18,7,15,371,786,20,8,27
2901900005G,29,019,00005G,114.93,126.93,1.87,0.51,1.29,76.02,152.75,5.35,0.78,5.08
2901900005H,29,019,00005H,228.45,488.89,6.4,2.74,5.03,162.66,529.1,5.94,4.57,12.34
2901900005I,29,019,00005I,281.65,458.9,10.2,3.4,5.34,207.36,500.67,20.4,2.91,13.11
2901900005J,29,019,00005J,302.85,490.51,10.96,3.64,5.73,222.73,535.84,21.89,3.09,14.02
2901900005K,29,019,00005K,514.49,369.09,0.01,1.69,4.23,364.71,472.34,17.77,1.69,20.31
2901900005L,29,019,00005L,20.04,38.25,0.46,0.15,0.2,14.32,42,0.66,0.15,0.86
2901900005M,29,019,00005M,37.71,41.95,0.57,0.17,0.45,24.26,51.22,1.75,0.28,1.64
2901900006A,29,019,00006A,176.24,556.78,9.65,3.51,9.64,153.29,532.51,27.11,5.26,4.4
2901900006B,29,019,00006B,52.02,197.73,1.92,3.5,2.55,50.09,186.58,7.34,2.55,0.96
2901900006C,29,019,00006C,215.5,449.45,12.5,4.76,9.52,148.23,494.69,15.48,5.95,10.72
2901900006D,29,019,00006D,439.8,693.56,16.02,6.1,7.03,332.14,764.91,17.03,10.73,16.44
2901900006E,29,019,00006E,92.56,297.1,4.52,5.42,5.87,74.05,296.65,13.55,3.16,5.42
2901900006F,29,019,00006F,174.69,389.69,2.83,2.12,4.24,175.4,357.16,9.19,5.66,2.12
2901900006G,29,019,00006G,211.31,618.13,6.91,3.95,8.89,185.64,616.15,10.86,6.91,11.85
2901900006H,29,019,00006H,145.68,303.84,8.45,3.22,6.44,100.21,334.42,10.46,4.02,7.24
2901900006I,29,019,00006I,112.44,360.9,5.48,6.58,7.13,89.95,360.35,16.45,3.84,6.58
2901916-01J,29,019,16-01J,87.09,349.4,4.69,7.3,10.43,71.97,347.83,11.99,5.74,7.82
2901916-01K,29,019,16-01K,325.57,446.75,5.43,1.21,8.44,227.9,528.14,8.44,3.01,7.23
2901916-01L,29,019,16-01L,12.01,48.17,0.65,1.01,1.44,9.92,47.96,1.65,0.79,1.08
2901916-01M,29,019,16-01M,191,511,2,2,8,168,497,12,14,3
2901916-02L,29,019,16-02L,87.08,112.95,2.72,0.82,2.19,61.49,128.08,4.67,1.38,5.37
2901916-03G,29,019,16-03G,57.41,92.34,2.93,1.37,1.57,40.16,98.91,5.7,1.72,5.85
2901916-03H,29,019,16-03H,253.36,393.26,9.77,5.15,11.82,179.2,437.22,18.27,4.55,15.73
2901916-03I,29,019,16-03I,118.55,138.68,4.15,1.92,5.11,88.51,157.53,7.35,1.28,7.03
2901916-03J,29,019,16-03J,228.34,267.17,8,3.69,9.85,170.48,303.49,14.16,2.46,13.54
2901916-03L,29,019,16-03L,188.79,310.63,9.73,4.67,5.06,131.96,331.65,19.07,5.84,19.46
2901916-03M,29,019,16-03M,314.55,269.17,5.65,2.67,2.56,221.56,339.31,8.42,1.84,12.84
2901916-03N,29,019,16-03N,11.85,17.43,0.29,0.32,0.51,8.59,19.38,0.73,0.26,0.93
2901916-043,29,019,16-043,196.65,130.87,3.02,1.63,3.25,145.51,170.38,5.35,1.86,7.67
2901916-044,29,019,16-044,166.21,179.38,3.52,0.71,1.45,121.07,203.88,7.72,0.74,7.89
2901916-045,29,019,16-045,214.81,285.53,7.83,5.85,10.71,162.98,320.61,12.26,6.35,17.12
2901916-04M,29,019,16-04M,325.23,380.9,6.28,1.4,4.16,225.68,443.76,12.93,2.42,19.11
2901916-05N,29,019,16-05N,200.9,215.61,4.27,0.86,1.72,146.7,244.81,9.39,0.86,9.39
2901916-05P,29,019,16-05P,0,0,0,0,0,0,0,0,0,0
2901916-06J,29,019,16-06J,433.63,360.28,7.47,3.44,2.88,305.15,457.79,10.91,2.3,17.21
2901916-06K,29,019,16-06K,130.61,207.69,4.8,1.83,2.06,98.81,228.73,5.03,3.2,4.8
2901916-06L,29,019,16-06L,25.36,80.23,1.39,0.5,1.39,22.08,76.7,3.91,0.76,0.63
2901916-06M,29,019,16-06M,2.68,4.19,0.1,0.04,0.04,2.02,4.63,0.1,0.07,0.1
29021000001,29,021,000001,668.23,610.25,19.65,9.83,34.39,556.2,628.92,38.33,13.76,79.6
29021000002,29,021,000002,492.29,429.75,22.19,16.09,36.32,466.24,413.92,20.36,15.13,66.75
29021000004,29,021,000004,354,371,16,6,20,302,379,29,5,43
29021000006,29,021,000006,306.09,547.83,22,6.01,26.02,257.18,535.82,41.97,10.01,47.98
29021000008,29,021,000008,606,580,24,12,35,508,605,28,10,88
29021000010,29,021,000010,700.64,836.18,27.91,5.98,34.88,600.98,825.22,49.83,11.96,82.72
29021000011,29,021,000011,324.91,438.17,22,7.99,30.98,316.82,423.18,25.03,13.99,36.02
29021000012,29,021,000012,452.7,466.66,25.93,3.99,34.9,388.89,464.67,27.92,10.97,79.77
29021000014,29,021,000014,582.2,581.72,20.11,9.01,30.1,503.79,593.84,31.11,11.02,65.32
29021000016,29,021,000016,957.27,820.05,52.11,21.02,57.12,847.73,811.27,40.11,22.03,148.35
29021000018,29,021,000018,900,636,38,14,36,751,671,45,12,116
29021000020,29,021,000020,820.5,651.46,15.01,10.01,22.02,657.41,720.48,20.03,6.01,80.06
29021000021,29,021,000021,860.3,794.77,23.09,5.02,24.12,663.98,874.72,33.17,11.04,85.27
29021000022,29,021,000022,2251.01,1578,40,8,43,1754,1818,52,19,206
29021000023,29,021,000023,750.41,587.37,36.49,3.99,33.57,609.5,627.27,35.54,6.94,106.96
29021000024,29,021,000024,822.61,762.59,29.52,8.86,31.49,690.76,795.06,38.38,5.9,104.3
29021000027,29,021,000027,335.09,193.72,9.88,2.99,15.55,265.43,231.08,8.78,4.94,33.37
29021000028,29,021,000028,299.66,121.85,8.07,1.03,8.07,260.92,144.31,3.06,2,28.37
29021000029,29,021,000029,583.12,277.18,15.94,5.98,10.07,482.54,329.92,14.95,3.03,43.9
29021000030,29,021,000030,400.59,229.2,7.67,7.61,14.19,328.37,263.49,13.19,4.71,35.3
29021000031,29,021,000031,164.6,100.48,3.39,2.06,5.18,129.62,119.69,6.29,0.09,16.67
29021000032,29,021,000032,394.97,190.55,9.49,6.36,7.27,338.57,221.13,4.1,1.45,35.26
29021000033,29,021,000033,242.73,119.89,4.91,1.97,4.91,195.56,149.37,3.93,0,24.57
29021000034,29,021,000034,1182.71,679.28,20.59,3,16.76,938.67,814.52,27.53,3.9,97.12
29021000035,29,021,000035,453.65,280.14,4.87,1.12,4.81,373.06,323,2.11,4.02,40.67
29023000002,29,023,000002,345.59,66.26,3.13,1.05,3.88,322.58,73.05,5.88,1.17,4.78
29023000003,29,023,000003,353,47,6,0,3,333,52,9,3,0
29023000004,29,023,000004,74.91,3.53,0,0,0,71.39,2.64,0,0,0.88
29023000005,29,023,000005,172.34,35.12,0.23,1.26,2.31,160.07,39.99,0.87,0.29,3.44
29023000006,29,023,000006,342.31,78.28,1.99,1.25,4.62,320.4,92.58,2.12,3.24,4.1
29023000007,29,023,000007,403,69,5,3,2,388,71,9,2,6
29023000008,29,023,000008,648,96,6,3,9,610,106,13,3,8
29023000009,29,023,000009,564.43,134.71,1.15,4.7,8.52,550.27,136.56,7.74,2.02,4.76
29023000010,29,023,000010,644.49,131.2,3.34,5.33,3.43,597.1,143.65,14.06,2.23,13.16
29023000011,29,023,000011,867,195,10,1,5,826,208,14,2,8
29023000012,29,023,000012,197,59,0,1,2,189,50,2,3,3
29023000013,29,023,000013,196,41,1,0,2,188,39,3,3,3
29023000014,29,023,000014,784.62,238.84,8.03,10.07,10.93,753.93,241.41,13.73,5.78,13.46
29023000015,29,023,000015,106.09,14.47,1,1,2,100.61,19.36,1,1,1.12
29023000016,29,023,000016,431.08,211.05,13.97,4.16,9.2,426.26,208.64,15.23,9.08,5.05
29023000017,29,023,000017,702.99,253.56,3.13,6.12,13.68,666.71,258.33,20.74,5.74,11.61
29023000018,29,023,000018,277.88,198.09,5.88,6.85,10.76,280.72,184.41,14.66,6.86,3.94
29023000019,29,023,000019,954.79,330.8,10.52,3.74,22.54,907.18,344.79,20.7,7.35,11.87
29023000020,29,023,000020,412.68,275.78,6.94,7.94,11.9,405.73,261.89,14.88,8.93,6.94
29023000021,29,023,000021,238.43,56.92,7.71,2.89,2.9,227.8,61.75,5.79,5.78,1.93
29023000022,29,023,000022,86.25,23.26,0.97,0.97,0.97,81.4,23.26,0.97,1.94,0.97
29023000023,29,023,000023,388.04,109.97,5.03,2.09,3.05,376.09,99.31,7.25,3.02,9.22
29023000024,29,023,000024,979,163,7,6,8,931,168,17,6,17
29023000025,29,023,000025,161,25,3,2,3,159,27,3,1,1
29023000026,29,023,000026,431.25,109.75,3.89,1.94,2.91,413.77,114.61,6.8,0.97,2.91
29025000277,29,025,000277,330,95,8,3,9,269,135,17,1,11
29025000280,29,025,000280,562.29,249.27,14.29,8.95,25.19,457.14,347.87,11.29,6.92,21.53
29025000281,29,025,000281,107,50,3,2,11,101,59,3,4,1
29025000284,29,025,000284,123.71,56.73,1.71,2.05,5.81,102.86,73.13,1.71,3.08,5.47
29025000353,29,025,000353,319,134,8,2,12,242,196,25,1,4
29025000356,29,025,000356,89.22,16.47,1.81,0.89,3.59,71.16,34.4,2.71,0,2.74
29025000357,29,025,000357,370,144,16,3,11,320,195,8,7,7
29025000358,29,025,000358,138,50,4,1,1,104,74,4,2,4
29025000389,29,025,000389,145.49,50.3,3.29,0.14,4.6,112.99,70.97,5.37,0.04,7.35
