GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PREAFUE,G20USSRGRA,G20USSDHAR,G20USSCBLE,G20USSOWRI
45001000001,45,001,000001,867,419,8,1,1,852,422,22,1
45001000002,45,001,000002,400.84,733.33,3.15,1.15,1.05,379.53,752.38,10.51,0.1
45001000003,45,001,000003,482.94,442.95,11,2,0,465.95,450.95,24,1
45001000004,45,001,000004,446,208,3,0,0,429,215,13,0
45001000005,45,001,000005,787.42,186.03,7.21,0.01,0.04,767.7,192.53,17.46,2
45001000006,45,001,000006,314.95,87.11,0.11,1.02,0.01,308.76,90.2,5.27,0
45001000007,45,001,000007,529.86,664.53,6.04,3.01,2,507.74,683.57,8.14,0
45001000008,45,001,000008,623,145,7,4,0,616,160,7,0
45001000009,45,001,000009,344,71,7,0,0,333,77,10,2
45001000010,45,001,000010,773.56,363.64,15.14,2.06,0,766.3,378.86,14.28,0.04
45001000011,45,001,000011,313.31,150.71,0.99,1.98,0,319.26,148.72,0.99,0.99
45001000012,45,001,000012,712.16,177.66,6.95,2.98,0,699.27,188.59,13.86,1.96
45001000013,45,001,000013,718.13,122.1,5.95,0.01,0.98,695.55,137.81,13.86,0.01
45001000014,45,001,000014,454.14,142.47,3.96,0.99,0,442.26,146.43,12.86,0
45001000015,45,001,000015,470.77,188.31,2.77,2.77,0.92,465.23,189.23,9.23,1.85
45003000000,45,003,000000,20.39,14.88,0.35,0.1,0.01,19.45,15.57,0.61,0.04
45003000001,45,003,000001,617.6,371.61,11.04,5.02,1,630.62,366.56,7.1,0
45003000002,45,003,000002,184.66,587.92,5.99,4.99,2,185.66,597.91,4.99,1
45003000003,45,003,000003,133,845,4,7,2,118,864,12,0
45003000004,45,003,000004,75.46,362.97,2.12,1.02,0,72.27,369.09,4.13,0
45003000005,45,003,000005,327.62,541.11,11.81,2.95,0,341.39,540.12,5.9,0
45003000006,45,003,000006,594.55,405.21,13.94,5.02,0.03,617.19,397.17,11.15,0
45003000007,45,003,000007,299,239,2,4,1,283,252,13,0
45003000008,45,003,000008,501.07,584.62,7.86,4.88,1.95,495.15,587.61,15.66,4.86
45003000009,45,003,000009,540,491,15,9,1,522,511,20,1
45003000010,45,003,000010,278.94,475.88,6.98,2.02,1,272.97,480.84,9.02,1.03
45003000011,45,003,000011,358.5,672.44,10.04,10.02,1,347.43,681.48,17.07,0
45003000012,45,003,000012,250.14,221.97,3.17,3.11,3.04,235.01,243.04,3.35,2.11
45003000013,45,003,000013,843.03,440,19.22,5.99,1.97,831.02,467.92,14.19,1.01
45003000014,45,003,000014,796.12,327.17,8.92,4.96,0,780.25,336.09,16.85,0.99
45003000015,45,003,000015,520,165,8,4,0,502,179,15,1
45003000016,45,003,000016,460,263,7,3,0,450,274,10,0
45003000017,45,003,000017,881.23,266.67,5.28,1.15,0.03,863.8,274.06,20.3,0.03
45003000018,45,003,000018,600,190,8,0,0,577,203,19,0
45003000019,45,003,000019,470.73,131.21,8.12,2.02,1,454.63,140.29,14.13,1.01
45003000020,45,003,000020,910.88,543.56,20.06,4,0,922.7,531.64,23.14,1.01
45003000021,45,003,000021,453.57,317.2,10.87,0.99,2.96,447.64,330.05,15.81,0
45003000022,45,003,000022,886,533,16,3,2,876,542,20,1
45003000023,45,003,000023,531.29,512.6,14.98,3.75,0.94,516.39,525.64,24.34,2.8
45003000024,45,003,000024,431,138,8,0,0,422,144,9,2
45003000025,45,003,000025,583,425,11,9,2,572,442,10,0
45003000026,45,003,000026,367,349,17,1,0,359,351,19,3
45003000027,45,003,000027,995.36,235.38,17.15,2.03,0.01,997.37,229.46,22.1,3
45003000028,45,003,000028,618,257,14,3,0,633,250,10,1
45003000029,45,003,000029,669,464,33,9,0,688,468,16,1
45003000030,45,003,000030,594.74,184.98,16.3,3.14,0.02,585.46,190.24,20.42,1.05
45003000031,45,003,000031,438,182,6,1,0,419,191,19,0
45003000032,45,003,000032,239,260,3,0,0,233,265,4,0
45003000033,45,003,000033,359,165,5,2,0,353,170,10,0
45003000034,45,003,000034,952.26,418.02,12.7,5.86,0.98,940.54,428.76,17.58,1.95
45003000035,45,003,000035,664.09,470.27,10.82,1.97,0.98,649.33,487.98,13.77,0.98
45003000036,45,003,000036,258,242,5,2,0,256,243,5,1
45003000037,45,003,000037,793.69,535.53,11.13,3.02,1.94,774.04,551.3,18.2,2.03
45003000038,45,003,000038,857.1,606.66,22.95,3.99,1,837.15,631.6,21.95,1
45003000039,45,003,000039,859,581,12,5,2,828,594,29,3
45003000040,45,003,000040,667.33,416.58,12.99,4,1,641.36,436.56,22.98,3
45003000041,45,003,000041,883.99,355.81,14.01,0.03,0,844.23,373.7,32.91,2.99
45003000042,45,003,000042,303,272,1,0,0,289,274,8,1
45003000043,45,003,000043,487,279,12,2,0,482,283,12,0
45003000044,45,003,000044,560.63,383.72,20.98,3,3,540.64,393.72,31.98,1
45003000045,45,003,000045,670.04,452.48,13.27,2.34,0.78,669.88,460.32,11.03,0.78
45003000046,45,003,000046,123.25,724.8,4.19,5.04,0.02,119.01,728.11,5.24,0.02
45003000047,45,003,000047,458.37,347.69,9.97,4.93,0.96,466.67,339.8,13.73,0
45003000048,45,003,000048,573,372,10,2,2,572,379,12,0
45003000049,45,003,000049,683,206,12,1,0,663,221,14,2
45003000050,45,003,000050,1104.19,828.64,17.91,1.99,0,1085.29,845.55,23.87,0
45003000051,45,003,000051,1342.91,746.98,25.78,1.67,1.22,1330.91,762.2,27.11,2.22
45003000052,45,003,000052,470.68,419.14,18.48,2.92,0,463.87,431.78,14.59,0.97
45003000053,45,003,000053,755.89,343.59,4.98,4.98,1,781.78,332.63,6.97,1
45003000054,45,003,000054,347.1,406.18,15,1,0,328.1,425.18,11,2
45003000055,45,003,000055,455.24,207.81,4.4,0.88,0.88,459.64,202.52,7.92,0
45003000056,45,003,000056,622.02,366.42,8.99,2,0,591.07,380.4,28.95,2
45003000057,45,003,000057,576.93,293.92,12.07,3.03,0,559.34,310.79,14.97,0
45003000058,45,003,000058,835.73,309.42,10.98,4.99,2,831.71,321.4,11,1
45003000059,45,003,000059,994.05,319.27,14.69,2.94,0.98,974.46,337.88,19.59,0
