GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOMCM,G16PRECCAS,G16PREOOTH,G16USSRKEN,G16USSRBOU,G16USSRFLE,G16USSRMAN,G16USSRDUK,G16USSRCRA,G16USSRCAO,G16USSRMAR,G16USSRPAT,G16USSDCAM,G16USSDFAY,G16USSDEDW,G16USSDLAN,G16USSDPEL,G16USSDWIL,G16USSDMEN,G16USSLCLE,G16USSLGIL,G16USSOLAN,G16USSOTAY,G16USSNBIL,G16USSNHEB,G16USSNMAR,G16USSNWEL,R16USSRKEN,R16USSDCAM
220010001-1,22,001,0001-1,916.2,98.6,13.9,7,3,1,0,206.1,483,31.9,101.6,43.8,9,7,1,3,48.8,29.9,4,4,0,1,0,10.9,0,0,0,13.9,8,0,0,388.4,66.7
220010001-2,22,001,0001-2,689.2,240.1,13.3,9.3,2.7,1,1.7,140.1,439.1,41,59.8,14.8,14.1,5.7,0.1,2,73.9,69.8,10.2,14.3,0,6.6,2,4,1.1,0,0.1,8.8,3.1,4,1,315.3,78.5
220010001-3,22,001,0001-3,684.6,126.8,10.7,3.3,1.4,1,7.8,159.1,399.2,29,54.4,16.4,11.1,5.7,0.2,0,57.7,41.4,7.9,4.3,5,1.7,0,4,0.9,2,0,3.8,5.8,0.2,0,330.1,68
220010001-4,22,001,0001-4,681.6,134.9,11.1,1.1,1.1,5,4,152.5,456,24.8,45.6,25.3,7,9,1,0,37.4,29.4,5,4,5,4,2,4,0,0,1,3.1,4,2.1,0,331.7,55.6
220010001-5,22,001,0001-5,339.7,220.8,9.8,3.9,1,1,1,91.6,219.9,13.7,32.5,7.9,1,2.9,3.9,0,75.7,40.9,14.9,11.9,5,2,1,2,0,0,3.9,7,0,0,0,142.7,113.1
220010001-6,22,001,0001-6,87.9,657.5,2,3,4.9,4,5,26.7,188.4,7.9,7.9,10.9,4.9,1,0,2,207.3,109,27.7,27.7,9.9,6.9,8,2,2,2,0,22.7,4,1,2,48.3,190.3
220010001-8,22,001,0001-8,385.4,114.5,4.2,2.5,0,0,2.5,77.8,201.5,24.2,37.6,15.1,5.8,1.7,0.8,0,47.6,36.8,10.9,2.5,5,1.7,0,0,0,0,0,7.5,4.2,0.8,0,183.9,43.5
220010001-9,22,001,0001-9,500.5,44.8,5.5,4.6,2.8,0,0,151.9,260.3,32.9,28.4,13.8,1.9,1,0,0,20.2,20.3,2.2,1.3,1.9,0.1,0,0.9,1.9,0,0,3.9,1,2.8,0,246.1,28.2
220010002-1,22,001,0002-1,816,94,10,4,0,4,1,160,435,41,90,36,13,6,1,1,35,26,6,1,3,0,1,5,2,1,0,1,4,0,0,384,64
220010002-2,22,001,0002-2,621.6,35.2,5.8,1,3.8,0,2.9,172.7,310.8,23.4,68.8,33.9,1.9,1,2.9,0,10.3,17.6,1,0,2,0,1,1,1,1,0,4.8,7.7,0,0,350.2,36.2
220010002-3,22,001,0002-3,726.2,83.6,8.4,1.7,0.2,1.6,1.1,193.4,397.6,29.3,83.3,28.5,6.7,4.7,0.1,0,34.3,21,2.6,1.9,4.3,0,0,2.9,0,0,0,3.5,4,0,1,337.7,44.4
220010002-5,22,001,0002-5,411,32,1,4,7,1,0,85,267,12,41,8,4,0,0,0,12,13,1,1,2,0,0,0,0,0,0,0,0,0,0,209,25
220010003-1,22,001,0003-1,372.5,104,8.2,2.1,0,2.8,1.7,96,216.7,17.2,36.7,15.9,4.3,0.9,0.7,0.2,37.5,28.7,5.4,6.1,1.5,0.2,0.9,1.8,0.6,0,0,3.4,5.2,0.2,0.2,162.8,52.2
220010003-2,22,001,0003-2,711,34,3,3,3,1,1,194,322,33,89,39,4,2,0,0,23,16,2,4,1,0,1,3,1,0,0,1,4,0,1,326,34
220010003-3,22,001,0003-3,904.8,236.9,13.4,6.2,1,3,2.8,203.3,550.6,26.4,97.8,38.1,10.9,2.2,1.1,0.8,86.3,45.5,11.6,16.3,1.8,1.8,4.1,2.2,1.9,0.1,0,6.5,13.1,0.8,0.8,403,97
220010003-4,22,001,0003-4,358.6,519.1,10.8,4.7,1,2.8,5.7,102.2,266.1,20.6,33.5,18.9,5.9,0.6,0.6,0,147.9,162.2,39.8,17.8,4.7,4,4,4.2,0.6,1,1,13.3,3.9,4,0,159,248.9
220010003-5,22,001,0003-5,531.5,120.3,7,0,1,1,1,136.2,238.8,18,80,31,7,3,3,0,58.9,35,11.3,6.1,0,1,0,2,0,1,0,1.1,0,0,0,216.2,67.6
220010003-7,22,001,0003-7,727.8,120.9,12.4,0.3,0,4.8,1.8,179.3,386.5,25.1,100.9,30.6,9.2,5.7,2.7,0,57.8,26,9.4,3.7,0.7,0,0,2.8,0.9,0.9,0,2.5,1.2,0,0,334.9,67.7
220010004-1,22,001,0004-1,505.6,52.6,3.1,4,0,0,0,89.7,265.7,24.5,49.7,23.4,7.2,2,5,0,32.4,24.2,0,11.1,0,0,1,0,0,0,0,0,1.1,0,0,240.6,39.6
220010004-2,22,001,0004-2,610,100,4,3,1,0,0,106,278,32,104,29,16,2,1,0,64,27,6,4,0,0,0,0,4,1,0,2,8,1,0,284,66
220010004-4,22,001,0004-4,884.4,66.3,4,2.9,1,0,4.9,192.5,465.8,25.1,127.3,26.2,17.8,4,3.9,0,20.2,35.4,5.9,8.8,1,1,0,1,2.9,1,0,0,7.9,0,0,442.1,49.7
220010004-5,22,001,0004-5,539.8,39.2,5.1,0.8,2.6,0,0.8,108.3,295.9,29,45.2,28.1,12.8,3.4,0,0,26.4,11.9,3.4,3.4,0,0.8,0,0,0.8,0,0,0.8,4.3,0,0.8,226,35.8
220010004-6,22,001,0004-6,555,37.3,4.3,2,0.1,1,1,119.4,290.5,18.7,86.7,19.7,6.8,5.2,0,0,20.6,16.7,1.2,0.2,0,0,0,0,0,0,0,2,3.2,0,1,293.4,39.1
220010005-1,22,001,0005-1,238.6,36,3.9,1,2.9,2,1,49.7,109.1,11.7,30.2,10.7,5.8,1,2,0,15.6,18.5,3.9,2.9,0,0,0,0,0,1,0,2.9,0,0,0,116.9,28.2
220010005-2,22,001,0005-2,279,49,4,1,0,1,2,40,183,11,24,16,4,4,0,0,20,12,4,1,0,1,0,1,1,0,0,1,0,0,0,125,23
220010005-3,22,001,0005-3,495.7,29.2,2.9,3.9,6.8,0,1.9,128.1,242.2,16.6,52.4,27.2,10.7,1,0,0,18.5,15.5,3.9,0,0,0,1,1,0,0,0,2.9,1,0,0,209.9,33
220010005-4,22,001,0005-4,357,39,1,5,0,2,0,79,215,3,29,16,5,2,0,0,12,17,1,0,0,0,0,2,0,0,2,0,1,1,0,174,34
220010005-5,22,001,0005-5,203.5,21.9,0.1,0.1,0,0,0.2,52.7,108.9,5.7,12.1,13.7,1.6,0.1,0.1,0,5.6,13,2.2,0.3,0,1,0,0,0.1,0,0,0,0.3,0,0,83.6,17.4
220010006-1,22,001,0006-1,135.4,329.8,5.2,0.7,0.6,0,1.3,28.1,149.9,4.6,15.4,4.5,2.6,0.8,0,0.7,103.8,68.4,13.3,15.7,2.7,8.6,0.8,3.9,1.9,0.8,0,4.5,2.6,0,0,59.4,105
220010006-2,22,001,0006-2,271,51,5,2,1,1,1,39,182,23,16,6,4,2,0,0,16,21,4,1,0,0,0,0,1,0,0,1,7,0,0,152,26
220010006-3,22,001,0006-3,220.7,236.2,9.7,4.1,0.1,0,1.2,51.8,164.3,16.6,15.1,3.6,10.4,1.1,0,0.1,75.5,54.8,10.7,13.1,4.4,3.2,0.1,1.5,0.3,0.1,1,7.5,4.4,0,0,122.2,124.4
220010006-4,22,001,0006-4,348,212,6,4,3,1,4,67,268,21,24,11,7,1,0,0,80,25,14,3,4,2,1,2,3,1,0,3,3,1,1,173,67
220010006-5,22,001,0006-5,237.5,147.7,3.2,0.3,0.3,0,1.6,51.7,170.1,19.1,23.9,4.1,5.1,0.3,0,0.3,44.8,28,5.2,6.2,1.1,3.5,3.3,1.6,0.8,0.3,0,2.7,2.1,0,0,150.2,58.7
220010006-6,22,001,0006-6,7.7,643.6,1,2,0,0,1,15.5,109.8,1,0,1,1,3.8,0,1,245.4,153.3,41.9,27.1,3.9,6.8,4.8,3,0,2.9,0,21.4,1,1,0,6.8,291.5
220010006-7,22,001,0006-7,536.3,101.3,21.1,3.1,1.1,2,5,124.4,358.6,25.3,28.7,18.4,1.5,4,0,0,36.6,32.2,1.1,7.1,0.5,0,1,1.1,1,0,1,2,5.1,0,0,228.8,41.1
220010006-8,22,001,0006-8,318.4,74.7,2.5,0,0.1,0,0,49.2,220.4,10.7,27.8,4.1,4.2,0,1.6,0,20.9,16.7,10.2,2.4,0.8,0,0.8,1.6,0,0.1,0,4.8,5.6,0.8,0,121.1,38.4
220010007-2,22,001,0007-2,485.5,65.8,3,0.1,1,1,1,105.7,249.8,15.3,77.5,14.2,5,0,0,0,19.8,31.4,2.2,4.1,1,1,0,0,0,0,1,2,3,0,0,206.8,43.8
220010007-3,22,001,0007-3,901.7,46,9,0,4,1,0,235.9,375.9,88,120,33,7,7,5,0,28,14,2,3,1,2,0,2,3,0,1,3,4,0,0,383.9,25
220010007-4,22,001,0007-4,700.8,38,5.1,1.1,9,2.1,1,160.1,314.9,61.4,109.8,33.4,8.3,2,0,0,25.4,9.3,1.4,4.1,0,0,0,1.1,0,0.1,0,1.1,1.1,0,1,333.4,31.8
22001006-10,22,001,006-10,221.5,25.7,3.1,0.1,0.2,0,0,50,142.6,5.4,8.2,11.6,2.2,2,0,0,7.4,10.4,0.1,0,0,0,0,0,0,1,0,1.1,0,0,1,96.9,25.8
22001006-12,22,001,006-12,389.6,62.8,4.9,1,0,0,5.9,65.8,270.9,11.8,22.6,10.8,2,2,0,0,19.6,26.5,5.9,3.9,1,1,0,1,0,0,0,2.9,1,1,0,188.4,32.4
22001006-13,22,001,006-13,232.3,16.6,4.4,1,0,1,0.1,41.3,135.6,17,30.2,5.4,1.4,0.1,2,0.1,10.8,5,0.1,1.2,0,0,4,0,0.1,0,0,2.1,1.1,0,0,102.5,15
