GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCli,G16PRERTru,G16PREGSte,G16PRELJoh,G16PREOth
26061061014,26,061,061014,223.7,292.12,8.77,37.72,0
26061061015,26,061,061015,103.29,205.46,3.07,12.63,0
26061061016,26,061,061016,333.56,262.25,8.66,25.74,3.16
26061061017,26,061,061017,633.59,360.6,32.1,86.44,4.25
26061061018,26,061,061018,85,170,0,8,5
26061061019,26,061,061019,76.78,146.57,4.99,15.95,0
26061061020,26,061,061020,142,266,5,28,0
26061061021,26,061,061021,66.22,135.43,4.01,8.05,1
26061061022,26,061,061022,19.69,33.52,0.64,3.65,0.23
26061061023,26,061,061023,403.28,583.47,17.51,66.41,4.75
26061061024,26,061,061024,157.65,227.51,4.28,27.58,8.08
26061061025,26,061,061025,52.07,91.94,2.04,4.26,0
26061061026,26,061,061026,322.18,504.22,8,52.01,6
26061061027,26,061,061027,234.62,434.35,13.06,41.25,4.04
26061061028,26,061,061028,41.68,37.25,0,1.77,0
26061061029,26,061,061029,201.12,339.08,3.89,28.18,0
26061061030,26,061,061030,128.34,270.74,2.5,7.98,4.77
26061ZZZZZZ,26,061,ZZZZZZ,38.09,74.76,0.66,2.19,1.24
26063063001,26,063,063001,448.28,716.69,8.55,46.03,7.56
26063063002,26,063,063002,244,542,3,33,2
26063063003,26,063,063003,47,154,0,6,0
26063063004,26,063,063004,71,230,1,12,0
26063063005,26,063,063005,127.35,224.62,3.54,10.61,0
26063063006,26,063,063006,399.1,730.82,4.49,23.69,4.03
26063063007,26,063,063007,38,188,3,2,1
26063063008,26,063,063008,226.4,573.65,3.47,19.41,2.46
26063063009,26,063,063009,89,224,0,11,1
26063063010,26,063,063010,139.17,344.26,9.1,11.61,3.1
26063063011,26,063,063011,15.95,50.89,0.76,0,0.76
26063063012,26,063,063012,95,258,3,17,0
26063063013,26,063,063013,196.83,318.05,7.56,24.96,1.51
26063063014,26,063,063014,130.35,267.56,1.96,12.74,1.96
26063063015,26,063,063015,42.05,143.14,1.79,6.26,0
26063063016,26,063,063016,177,300,3,10,0
26063063017,26,063,063017,91,234,3,7,4
26063063018,26,063,063018,50.95,156.69,0.96,10.57,0.96
26063063019,26,063,063019,117,220,4,14,2
26063063020,26,063,063020,165,416,10,25,6
26063063021,26,063,063021,51,164,1,5,0
26063063022,26,063,063022,0.63,1.77,0.13,0.13,0
26063063023,26,063,063023,306.81,526.09,2.09,24.84,5.04
26063063024,26,063,063024,118.04,309.59,1.96,9.5,2.36
26063063025,26,063,063025,185.63,580.85,4.65,17.43,1.33
26063063026,26,063,063026,309.95,903.06,7.65,42.09,7.65
26063063027,26,063,063027,83,216,2,9,0
26063063028,26,063,063028,132,411,5,10,2
26063063029,26,063,063029,51,193,3,6,0
26063063030,26,063,063030,171.31,430.66,0.98,20.56,0.98
26063063031,26,063,063031,247,629,3,28,7
26063ZZZZZZ,26,063,ZZZZZZ,1.55,3.62,0.07,0.11,0.04
26065065001,26,065,065001,288.08,314.13,7.02,32.05,7.01
26065065002,26,065,065002,218,301,13,27,6
26065065003,26,065,065003,280.98,322.73,6.57,25.46,8.32
26065065004,26,065,065004,545,748,14,94,11
26065065005,26,065,065005,384,549,11,58,6
26065065006,26,065,065006,317,601,6,47,10
26065065007,26,065,065007,882.02,714.78,13.94,52.76,15.93
26065065008,26,065,065008,938,628,33,92,21
26065065009,26,065,065009,1055,790,17,96,13
26065065010,26,065,065010,854,686,26,87,15
26065065011,26,065,065011,724,571,10,50,11
26065065012,26,065,065012,692,491,23,67,7
26065065013,26,065,065013,623,481,17,72,17
26065065014,26,065,065014,825,676,16,94,11
26065065015,26,065,065015,747,753,25,64,17
26065065016,26,065,065016,703.86,282.95,11.7,43.29,4.07
26065065017,26,065,065017,782,205,14,46,4
26065065018,26,065,065018,1144,237,18,49,7
26065065019,26,065,065019,1062.11,258.05,19.93,34.87,5.98
26065065020,26,065,065020,1064,310.13,18.95,51.85,8.97
26065065021,26,065,065021,537,121,16,21,5
26065065022,26,065,065022,818.69,379.72,21.98,29.36,6.17
26065065023,26,065,065023,513,185,7,26,2
26065065024,26,065,065024,945,320,13,37,6
26065065025,26,065,065025,622.41,222.28,12.14,40.27,4.26
26065065026,26,065,065026,1190.49,332.77,22.65,43.77,11.85
26065065027,26,065,065027,644.66,229.67,12.81,41.4,4.93
26065065028,26,065,065028,697.79,244.39,19.98,54.39,5.08
26065065029,26,065,065029,387,180,14,28,2
26065065030,26,065,065030,844,326,14,53,7
26065065031,26,065,065031,476.33,101.38,15.11,19.24,5.05
26065065032,26,065,065032,388,834,20,54,11
26065065033,26,065,065033,730.39,414.25,24.39,53.74,9.21
26065065034,26,065,065034,768,226,18,34,8
26065065035,26,065,065035,634.03,414.89,12.38,48.15,13.19
26065065036,26,065,065036,764,242,16,47,7
26065065037,26,065,065037,740.45,166.1,43.84,42.07,8.99
26065065038,26,065,065038,630.9,204.28,19.66,27.57,7.86
26065065039,26,065,065039,760,177,34,53,8
26065065040,26,065,065040,732.56,240.56,26.22,48.43,7.07
26065065041,26,065,065041,683,205,16,42,9
26065065042,26,065,065042,339,88,16,24,1
26065065043,26,065,065043,656.91,242.87,23.9,19.12,4.78
26065065044,26,065,065044,735,321,21,36,19
26065065045,26,065,065045,810,373,15,68,15
26065065046,26,065,065046,710,338,16,48,7
26065065047,26,065,065047,761,392,19,40,10
26065065048,26,065,065048,680.93,245.6,19.26,31.31,6.09
26065065049,26,065,065049,863,274,25,63,10
26065065050,26,065,065050,573,348,18,52,9
26065065051,26,065,065051,369.92,117.36,8.46,21.72,4.74
26065065052,26,065,065052,801,377,24,50,8
26065065053,26,065,065053,673,357,23,51,10
26065065054,26,065,065054,886.97,305.2,23.03,54.04,17.01
26065065055,26,065,065055,690,325,16,47,8
26065065056,26,065,065056,753,217,19,33,11
26065065057,26,065,065057,877,248,15,37,9
26065065058,26,065,065058,724,246,11,43,7
26065065059,26,065,065059,795,275,22,32,9
26065065060,26,065,065060,1101,199,12,34,8
26065065061,26,065,065061,1054,306,17,53,11
26065065062,26,065,065062,906,327,16,30,6
26065065063,26,065,065063,671.1,277.7,16.39,44.35,10.61
26065065064,26,065,065064,660.01,250.76,9.95,37.73,6.98
26065065065,26,065,065065,417,190,14,21,9
26065065066,26,065,065066,850.44,138.44,19.78,38.57,5.93
26065065067,26,065,065067,765.55,74.42,8.78,21.52,8.76
26065065068,26,065,065068,745.55,113.35,16.61,32.25,7.82
26065065069,26,065,065069,771,192,21,31,11
26065065070,26,065,065070,786.47,157.41,17.2,30.18,6.09
26065065071,26,065,065071,534.49,160.82,13.24,26.49,8.51
26065065072,26,065,065072,849.18,395.33,13.87,40.45,14.78
26065065073,26,065,065073,620.6,325.92,21.65,45.58,9.55
26065065074,26,065,065074,556,244,22,44,6
26065065075,26,065,065075,641.9,210.3,14.61,30.65,5.39
26065065076,26,065,065076,470.55,128.9,15.16,23.93,4.01
26065065077,26,065,065077,607.86,245.93,10.75,36.13,5.86
26065065078,26,065,065078,523.44,245.82,17.26,35.75,13.26
26065065079,26,065,065079,493.45,269.65,17.39,34.75,9.18
26065065080,26,065,065080,490.97,233.99,10,46,7
26065065081,26,065,065081,576,1108,13,82,16
26065065083,26,065,065083,297.11,421.07,5.79,43.36,2.9
26065065084,26,065,065084,444.89,820.93,10.21,46.64,8.1
26065065085,26,065,065085,338,677,6,55,10
26065065086,26,065,065086,682.5,595.28,13.06,94.49,12.12
26065065087,26,065,065087,698.06,575.4,15.01,73.1,14.02
26065065088,26,065,065088,663.94,649.05,20.84,95.27,9.92
26065065089,26,065,065089,775,480,6,38,8
26065065090,26,065,065090,730,356,23,47,6
26065065091,26,065,065091,648,339,13,54,4
26065065092,26,065,065092,844,516,13,49,13
26065065093,26,065,065093,712,408,17,41,8
26065065094,26,065,065094,583.2,340.03,6.35,26.58,7.22
26065065095,26,065,065095,802.8,429.97,10.65,48.42,6.78
26065065096,26,065,065096,994,396,20,57,8
26065065097,26,065,065097,942.28,354.21,19.85,41.81,7.39
26065065098,26,065,065098,849.78,378.34,23.51,33.34,5.88
26065065099,26,065,065099,647.32,289.47,11.89,31.46,6.25
26065065100,26,065,065100,620.88,182.63,13.95,30.67,4.75
26065065101,26,065,065101,548.72,211.79,5.15,21.19,5.61
26065065102,26,065,065102,751,390,12,47,6
26065065103,26,065,065103,800,353,8,25,10
26065065104,26,065,065104,1238,486,21,55,7
26065065105,26,065,065105,650.31,241.28,16.02,38.64,2.83
26065065106,26,065,065106,664,312.74,6.98,37.63,6.95
26065065107,26,065,065107,686.67,502.71,10.08,32.07,5.06
26065065108,26,065,065108,498,916,17,70,21
26065065109,26,065,065109,346,577,12,42,10
26065065110,26,065,065110,271,520,8,44,6
26065065111,26,065,065111,786.5,1133.26,18.09,86.14,16.93
26065065113,26,065,065113,473.66,638.02,13.39,60.53,6.08
26065065114,26,065,065114,192,373,3,29,11
26065065115,26,065,065115,1010.57,958.6,26.26,103.38,19.99
26065065117,26,065,065117,725.77,709.37,11.35,67.09,9.93
26065065118,26,065,065118,766,766,16,44,11
26067067001,26,067,067001,223.86,463.19,17.29,53.69,9.1
26067067002,26,067,067002,265,402,7,34,9
26067067003,26,067,067003,207,313,15,42,3
26067067004,26,067,067004,319.33,680.24,7.26,43.31,10.71
26067067005,26,067,067005,296.68,619.52,7.06,35.35,4.06
26067067006,26,067,067006,260.32,702.48,8.94,54.65,9.94
26067067007,26,067,067007,252,588,17,40,10
26067067008,26,067,067008,272,913,7,55,9
26067067009,26,067,067009,490,987,17,67,8
26067067010,26,067,067010,187.65,458.81,9.82,27.51,2.95
26067067011,26,067,067011,236.13,387.01,8.62,48.04,9.92
26067067012,26,067,067012,224.51,253.47,16.32,24.38,3.19
26067067013,26,067,067013,187.32,275.81,6.21,20.69,5.1
26067067014,26,067,067014,229.86,301.39,7.33,42.51,9.18
26067067015,26,067,067015,205.35,251.05,11.64,34.91,5.39
26067067016,26,067,067016,541.31,916.12,24.66,73.21,18.49
26067067017,26,067,067017,239,627,6,44,7
26067067018,26,067,067018,177.58,345.35,5.02,25.23,5.02
26067067019,26,067,067019,157.15,455.19,4.03,21.31,4.03
26067067020,26,067,067020,141.27,209.47,1.95,20.46,1.95
26067067021,26,067,067021,173,310,0,23,5
26067067022,26,067,067022,312,494,10,58,5
26067067023,26,067,067023,260,667,3,46,7
26067067024,26,067,067024,158.54,388.09,5.14,25.43,3.07
26067067025,26,067,067025,299,743,5,50,15
26067067026,26,067,067026,338.14,826.81,12.71,55.31,8.9
26067067027,26,067,067027,772.81,954.5,12.72,107.59,18.55
26067067028,26,067,067028,0,0,0,0,0
26067067029,26,067,067029,269.3,527.29,7.98,50.91,2.72
26067067030,26,067,067030,302.89,611.21,9.29,58.5,2.74
26067067031,26,067,067031,232,553,9,36,4
26067067032,26,067,067032,121,411,6,37,9
26069069001,26,069,069001,102,201,2,4,3
26069069002,26,069,069002,355,624.26,10.14,52.89,1.05
26069069003,26,069,069003,288.9,547.4,5.83,35.67,4.73
26069069004,26,069,069004,110.99,183.98,1,13,1
26069069005,26,069,069005,487.49,904.36,27.39,38.5,8.84
26069069006,26,069,069006,269,516,9,25,4
26069069007,26,069,069007,409,734,12,44,5
26069069008,26,069,069008,214.3,386.88,5.75,18.19,2.19
26069069009,26,069,069009,330.84,574.13,14.24,19.44,8.96
26069069010,26,069,069010,261.77,479.32,18.79,30.01,4.8
26069069011,26,069,069011,205,457,7,30,2
26069069012,26,069,069012,396,753,8,41,9
26069069013,26,069,069013,89,181,2,5,3
26069069014,26,069,069014,70,153,2,15,0
26069069015,26,069,069015,261.62,722.3,5.56,32.61,2.35
26069069016,26,069,069016,294.55,525.46,11.16,37.91,4.04
26069069017,26,069,069017,63.01,110.02,2,10,1
26069069018,26,069,069018,130.93,281.84,2,6,1
26069ZZZZZZ,26,069,ZZZZZZ,5.77,10.48,0.19,0.81,0.05
26071071001,26,071,071001,141,352,0,15,0
26071071002,26,071,071002,167.47,208.4,4.06,9.19,3.07
26071071003,26,071,071003,301.52,389.8,4.96,34.72,1.98
26071071004,26,071,071004,325.48,520.2,6.04,28.28,1.02
26071071005,26,071,071005,45.86,106.35,2.75,3.67,0
26071071006,26,071,071006,55,90,1,6,1
26071071007,26,071,071007,187.84,430.53,6.06,14.7,3.08
26071071009,26,071,071009,187,377,4,9,0
26071071011,26,071,071011,134.23,402.56,1.95,24.31,2.92
26071071012,26,071,071012,49,112,0,7,1
26071071014,26,071,071014,134.55,181.9,1,8.02,0.02
26071071015,26,071,071015,23.45,38.1,0,0.98,0.98
26071071016,26,071,071016,251.67,466.25,4.2,14.14,4.93
26073000001,26,073,000001,91.07,114.96,2.15,11.45,0.55
26073073001,26,073,073001,311,515,7,34,6
26073073002,26,073,073002,521,531,25,37,7
26073073003,26,073,073003,255,341,10,30,5
26073073004,26,073,073004,280,475,10,31,9
26073073005,26,073,073005,251,374,12,27,5
26073073006,26,073,073006,111,191,8,8,3
26073073007,26,073,073007,507,608,21,38,5
26073073008,26,073,073008,226,366,7,30,4
26073073009,26,073,073009,196,278,10,24,1
26073073010,26,073,073010,176,424,8,28,10
26073073011,26,073,073011,219,415,5,21,5
26073073012,26,073,073012,378,506,11,43,7
26073073013,26,073,073013,317,630,12,30,10
26073073014,26,073,073014,597.09,445.1,23,64.01,8
26073073015,26,073,073015,765.79,343.84,29.18,54.54,9.04
26073073016,26,073,073016,661.13,425.86,24.82,46.66,7.94
26073073017,26,073,073017,644.54,349.73,22.16,47.21,4.82
26073073018,26,073,073018,358.06,233.39,9.97,27.93,1
26073073019,26,073,073019,890.04,415.03,14,79,6
26073073020,26,073,073020,360,205,14,40,2
26073073021,26,073,073021,363,660,7,50,6
26073073022,26,073,073022,196,320,3,22,4
26073073023,26,073,073023,472,809,14,44,8
26073073024,26,073,073024,487.08,539.61,10.51,44.89,2.87
26073073025,26,073,073025,913.27,685.44,43.36,83.77,10.34
26073073026,26,073,073026,567,479,26,67,6
26073073027,26,073,073027,218.12,420.67,5.19,26.05,2.04
26073073028,26,073,073028,171,360,4,16,6
26075075001,26,075,075001,492.77,552.37,12.92,58.62,7.95
26075075002,26,075,075002,712,1135,17,73,8
26075075003,26,075,075003,686,1027,17,74,13
26075075004,26,075,075004,691,741,22,65,12
26075075005,26,075,075005,516.13,596.83,15.94,41.85,6.97
26075075006,26,075,075006,449,759,10,64,3
26075075007,26,075,075007,385,705,6,49,4
26075075008,26,075,075008,569,1100,19,61,8
26075075009,26,075,075009,351,945,8,65,11
26075075010,26,075,075010,442.17,886.18,16.62,61.85,10.15
26075075011,26,075,075011,416.07,741.95,6.35,54.79,4.82
26075075012,26,075,075012,217.76,330.87,6.04,40.36,4.03
26075075013,26,075,075013,270,593,5,43,1
26075075014,26,075,075014,242,676,5,41,5
26075075015,26,075,075015,404,707,6,44,9
26075075016,26,075,075016,356.88,766.66,13.27,41.7,12.08
26075075017,26,075,075017,508,197,9,32,7
26075075018,26,075,075018,795,76,6,17,2
26075075019,26,075,075019,376,373,17,34,2
26075075020,26,075,075020,322.66,235.75,11.99,18.98,7.99
26075075021,26,075,075021,200,121,1,11,0
26075075022,26,075,075022,448,372,10,35,6
26075075023,26,075,075023,320.23,305.63,10.08,30.38,5.05
26075075024,26,075,075024,377,317,13,43,10
26075075025,26,075,075025,320.87,300.17,7.06,37.15,3.03
26075075026,26,075,075026,381,369,17,40,9
26075075027,26,075,075027,184,58,7,9,2
26075075028,26,075,075028,246,136,11,25,1
26075075029,26,075,075029,241,139,8,11,4
26075075030,26,075,075030,426.82,434.53,5.78,30.83,5.78
26075075031,26,075,075031,457,363,11,30,8
26075075032,26,075,075032,501.86,481.56,11.36,32.68,8.26
26075075033,26,075,075033,595,1104,17,74,7
26075075034,26,075,075034,562.83,960.95,21.02,61.08,12.01
26075075035,26,075,075035,528.62,856.09,18.27,58.25,5.41
26075075036,26,075,075036,437.19,785.88,23.55,61.48,7.54
26075075037,26,075,075037,300,676,6,44,11
26075075038,26,075,075038,208,481,7,18,4
26075075039,26,075,075039,325,659,12,41,13
26075075040,26,075,075040,358,653,18,55,6
26075075041,26,075,075041,428,800,14,45,10
26075075042,26,075,075042,217,459,7,37,7
26075075043,26,075,075043,278,550,10,25,0
26075075044,26,075,075044,378.11,787.15,12.97,67.84,7.98
26075075045,26,075,075045,212,640,3,37,3
26075075046,26,075,075046,367,821,11,51,6
26075075047,26,075,075047,282,676,6,47,7
26075075048,26,075,075048,227,577,8,45,5
26075075049,26,075,075049,139,438,11,21,4
26075075050,26,075,075050,169,339,5,30,1
26075075051,26,075,075051,521,1306,24,91,38
26075075052,26,075,075052,503,1120,7,72,20
26075075053,26,075,075053,203.89,648.85,12.03,53.16,6.02
26075075054,26,075,075054,564,577,12,34,8
26075075055,26,075,075055,616,960,7,53,12
26075075056,26,075,075056,659.14,749.27,8.1,55.52,10.1
26075075057,26,075,075057,525,931,13,54,10
26075075058,26,075,075058,475,918,13,72,11
26075075059,26,075,075059,366,533,8,45,3
26075075060,26,075,075060,557.39,915.51,18.74,68.07,20.72
26075075061,26,075,075061,578.29,660.44,17,55.84,7.15
26075075062,26,075,075062,365,841,7,51,7
26075075063,26,075,075063,543.31,828.38,12.91,62.58,3.97
26077000006,26,077,000006,732.47,246.64,11.41,45.56,7.54
26077000020,26,077,000020,467.15,291.05,11.95,41.84,5.98
26077077001,26,077,077001,297,508,8,40,6
26077077002,26,077,077002,480,794,12,46,12
26077077003,26,077,077003,451.14,760.85,11.01,59.01,5
26077077004,26,077,077004,277,765,4,60,8
26077077005,26,077,077005,355.64,624.9,16.03,41.08,11.01
26077077006,26,077,077006,335.75,779.57,12.54,40.52,4.82
26077077007,26,077,077007,365.56,577.09,10.67,47.45,9.19
26077077008,26,077,077008,508.2,529.94,19.56,63.38,10.01
26077077009,26,077,077009,636.08,896.56,16.13,82.98,14.39
26077077010,26,077,077010,488.27,557.1,7.3,51.41,5.22
26077077011,26,077,077011,494.1,509.51,7.71,40.45,5.78
26077077012,26,077,077012,362.16,263.36,11.01,33.76,5.22
26077077013,26,077,077013,710.86,491.32,21.01,68.76,7.49
26077077014,26,077,077014,274.88,375.22,6.43,22.06,7.26
26077077015,26,077,077015,396.64,487.68,7.23,46.69,8.27
26077077016,26,077,077016,710.59,720.94,25.84,81.3,11.42
26077077017,26,077,077017,617,1026,5,74,11
26077077018,26,077,077018,210,155,8,25,2
26077077019,26,077,077019,288.64,407.15,13.3,37.04,4.2
26077077020,26,077,077020,747,141,24,34,5
26077077021,26,077,077021,1437.58,397.88,51.98,115.97,7
26077077022,26,077,077022,870,133,45,53,8
26077077023,26,077,077023,461,292,21,73,2
26077077024,26,077,077024,1088,348,30,92,4
26077077025,26,077,077025,824.39,335.43,18.58,45.96,4.89
26077077026,26,077,077026,1008,106,40,40,7
26077077027,26,077,077027,803,43,9,13,4
26077077028,26,077,077028,913,31,5,6,3
26077077029,26,077,077029,904.86,434.63,25.09,78.07,12.99
26077077030,26,077,077030,706.91,74.89,13.91,16.09,3.13
26077077031,26,077,077031,830,385,27,60,7
26077077032,26,077,077032,493.2,125.05,17,16.09,6.91
26077077033,26,077,077033,537,124,16,25,6
26077077034,26,077,077034,709.8,183.78,18.29,33.97,9.58
26077077035,26,077,077035,859,377,20,66,12
26077077036,26,077,077036,710.1,336.93,15.16,50.4,6.06
26077077037,26,077,077037,682.56,325.35,22.01,51.05,7.01
26077077038,26,077,077038,950,367,28,86,5
26077077039,26,077,077039,1168,348,20,73,8
26077077040,26,077,077040,786,202,13,30,4
26077077041,26,077,077041,1034,316,22,53,11
26077077042,26,077,077042,486,184,18,34,5
26077077043,26,077,077043,561,131,18,27,9
26077077044,26,077,077044,692.54,332.06,7.88,50.24,7.88
26077077045,26,077,077045,841,343,13,46,11
26077077046,26,077,077046,493,71,24,23,5
26077077047,26,077,077047,229.85,139.39,10.52,16.59,3.42
26077077048,26,077,077048,620.47,405.07,22.16,48.77,9.36
26077077049,26,077,077049,1064,617,27,73,13
26077077050,26,077,077050,613.37,215.36,19.45,32.3,3.65
26077077051,26,077,077051,802.03,325.57,21.34,53.38,7.15
26077077054,26,077,077054,888,657,21,71,7
26077077055,26,077,077055,643.23,288.9,21.28,43.27,14.96
26077077056,26,077,077056,381.5,158.08,11.29,34.68,10.49
26077077057,26,077,077057,777.47,290.2,15.69,43.14,5.88
26077077058,26,077,077058,398,547,9,40,12
26077077059,26,077,077059,787,762,10,80,13
26077077060,26,077,077060,717,413,11,43,4
26077077061,26,077,077061,771,439,14,60,11
26077077062,26,077,077062,718,173,21,42,5
26077077063,26,077,077063,658.61,384.57,13.42,58.04,6.11
26077077064,26,077,077064,619,390,15,39,7
26077077065,26,077,077065,424,272,17,34,2
26077077066,26,077,077066,924,529,19,55,7
26077077067,26,077,077067,296,291,11,26,6
26077077068,26,077,077068,519.63,396.81,17.37,58.78,8.49
26077077069,26,077,077069,535.14,804.88,13.98,67.89,6.99
26077077070,26,077,077070,274,484,8,35,5
26077077071,26,077,077071,404.5,428.89,16.28,38.66,9.49
26077077072,26,077,077072,604,348,17,44,15
26077077073,26,077,077073,470.41,305.2,19.58,56.03,7.46
26077077074,26,077,077074,600.18,599.21,16.27,58.39,8.61
26077077075,26,077,077075,519.84,596.78,13.05,49.23,5.02
26077077076,26,077,077076,468,505,16,55,6
26077077077,26,077,077077,611,696,16,73,11
26077077078,26,077,077078,574.1,367.37,14.73,51.62,7.39
26077077079,26,077,077079,712,637,7,70,11
26077077080,26,077,077080,581,487,8,50,8
26077077081,26,077,077081,656.87,770.85,19.02,76.08,18.02
26077077082,26,077,077082,808.68,587.28,15.03,67.32,11.03
26077077083,26,077,077083,778,698,19,68,8
26077077084,26,077,077084,919,782,23,111,8
26077077085,26,077,077085,645,540,12,65,10
26077077086,26,077,077086,699.46,503.94,11.12,58.76,11.12
26077077087,26,077,077087,862.34,666.49,15.59,79.9,10.72
26077077088,26,077,077088,648.13,630.15,13.98,58.92,12.98
26077077089,26,077,077089,670.66,530.51,11.41,50.1,8.28
26077077090,26,077,077090,676,475,14,52,9
26077077091,26,077,077091,432.88,869.74,12.94,57.72,6.97
26077077092,26,077,077092,692.81,941.75,9.08,82.25,10.1
26077077093,26,077,077093,464.35,621.45,4.02,64.75,5.08
26077077094,26,077,077094,765,830,13,85,9
26077077095,26,077,077095,548.41,825.58,13.86,78.2,9.9
26077077096,26,077,077096,588.85,862.8,3.9,39,6.82
26077077097,26,077,077097,471.47,590.35,10.12,49.48,7.06
26077077098,26,077,077098,289.45,433.36,7.04,27.17,3.06
26077077099,26,077,077099,678.17,913.82,17.92,84.63,7.01
26077077100,26,077,077100,288.78,512.96,4.89,19.58,6.85
26077077101,26,077,077101,575,840,10,60,8
26077077102,26,077,077102,562,790,13,61,8
26077077103,26,077,077103,565.75,504.32,3.96,49.54,4.95
26077077104,26,077,077104,839,848,5,73,8
26077077105,26,077,077105,856.56,858.4,16.01,76.14,11.01
26077077106,26,077,077106,724.12,932.26,7.06,75.28,13.03
26077077107,26,077,077107,173.25,458.43,5.46,32.48,6.18
26079079001,26,079,079001,141.28,267.63,7.96,10.94,2.98
26079079002,26,079,079002,114,153,3,6,3
26079079003,26,079,079003,153.58,519.06,4.91,21.67,0.99
26079079004,26,079,079004,433.62,905.01,22.02,54.06,3
26079079005,26,079,079005,213,536,6,33,3
26079079006,26,079,079006,116,338,4,12,1
26079079007,26,079,079007,118,342,3,13,2
26079079008,26,079,079008,261,878,18,53,3
26079079009,26,079,079009,281,741,26,40,11
26079079010,26,079,079010,39,109,3,3,0
26079079011,26,079,079011,113,470,7,14,1
26079079012,26,079,079012,128,407,8,7,3
26079079013,26,079,079013,168.81,450.52,5.09,15.4,2.02
26081000002,26,081,000002,203.79,446.48,5.51,27.54,5.51
26081081001,26,081,081001,394.8,446.36,12.32,49.38,10.09
26081081002,26,081,081002,766,839,5,96,10
26081081003,26,081,081003,334.86,501.84,4.46,37.5,9.82
26081081004,26,081,081004,314.88,535.8,6.41,24.55,5.44
26081081005,26,081,081005,489.12,856.2,12.59,78.45,13.56
26081081006,26,081,081006,279.89,317.96,4.96,33.62,3.06
26081081007,26,081,081007,371,439,8,33,8
26081081008,26,081,081008,382.36,518.69,6.68,41.34,10.34
26081081009,26,081,081009,238,621,5,52,10
26081081010,26,081,081010,318.84,790.63,8.02,41.12,18.02
26081081011,26,081,081011,315,831,7,53,16
26081081012,26,081,081012,408,708,10,66,8
26081081013,26,081,081013,471.09,911.38,11.93,68.58,13.91
26081081014,26,081,081014,225.17,376.9,3.23,18.57,8.88
26081081015,26,081,081015,376.03,446.7,15.42,43.7,13.31
26081081016,26,081,081016,669.13,862.88,27.96,75.9,20.97
26081081017,26,081,081017,482.83,802.85,15.52,64.24,17.11
26081081018,26,081,081018,277.99,581.38,6.77,33.45,10.13
26081081019,26,081,081019,498.82,239.1,19.69,57.2,9.38
26081081020,26,081,081020,409.83,1340.37,11.88,83.15,20.79
26081081021,26,081,081021,395,1357,8,90,21
26081081022,26,081,081022,555,1396,5,84,17
26081081023,26,081,081023,506.68,697.91,20.57,73.12,18.6
26081081024,26,081,081024,267.75,1159.92,4.98,44.87,30.96
26081081025,26,081,081025,344,1428,10,83,20
26081081026,26,081,081026,333.22,819.12,5.82,64.41,15.5
26081081027,26,081,081027,363.95,935.73,9.58,59.38,17.24
26081081028,26,081,081028,579,1015,14,68,18
26081081029,26,081,081029,281.63,471.03,11.04,66.31,8.06
26081081030,26,081,081030,318.46,708.52,10.78,49.48,8.38
26081081031,26,081,081031,514.73,1253.86,8.55,84.16,16.61
26081081032,26,081,081032,492.82,1168.48,10.77,68.37,14.55
26081081033,26,081,081033,251.72,622.12,6.31,48.16,8.6
26081081034,26,081,081034,432.82,913.66,18.67,65.36,10
26081081035,26,081,081035,525,936,13,56,15
26081081036,26,081,081036,415,911,18,77,15
26081081037,26,081,081037,479,752,6,60,11
26081081038,26,081,081038,555,1031,9,71,14
26081081039,26,081,081039,354,794,10,54,10
26081081040,26,081,081040,440,888,14,60,15
26081081041,26,081,081041,406,670,8,46,6
26081081042,26,081,081042,502,678,11,58,10
26081081043,26,081,081043,335.59,423.73,5.9,36.51,4.79
26081081044,26,081,081044,574.41,725.27,10.1,62.49,8.21
26081081045,26,081,081045,625.88,1016.34,14.78,87.83,18.63
26081081046,26,081,081046,261.04,297.15,5.51,22.65,5.81
26081081047,26,081,081047,589.76,671.35,12.45,51.16,13.14
26081081048,26,081,081048,501,517,15,45,11
26081081049,26,081,081049,466,614,15,52,8
26081081050,26,081,081050,360.19,632.64,11.16,43.89,10.2
26081081051,26,081,081051,401.85,762.32,22.25,84.63,19.61
26081081052,26,081,081052,492.32,918.67,12.98,45.94,18.97
26081081053,26,081,081053,428,1037,16,68,14
26081081054,26,081,081054,441.32,1057.57,16.9,59.64,15.9
26081081055,26,081,081055,643.41,385.86,11.44,52.39,7.62
26081081056,26,081,081056,679.56,469.84,13.13,34.49,7.07
26081081057,26,081,081057,678.57,456.32,6.07,45.46,6.09
26081081058,26,081,081058,612.69,345.74,12.98,44.49,8.34
26081081059,26,081,081059,663.85,353.49,3.75,42.19,6.56
26081081060,26,081,081060,753.76,341.44,14.98,36.94,7.99
26081081061,26,081,081061,320,1118,9,57,16
26081081062,26,081,081062,451,617,15,53,8
26081081063,26,081,081063,406,909,21,72,12
26081081064,26,081,081064,633,681,36,65,21
26081081065,26,081,081065,641,432,24,63,12
26081081066,26,081,081066,458,995,9,54,17
26081081067,26,081,081067,559,1225,14,75,20
26081081068,26,081,081068,465,965,12,74,19
26081081069,26,081,081069,582,611,7,37,10
26081081070,26,081,081070,707.97,383.12,44.06,88.53,13.09
26081081071,26,081,081071,375,145,12,42,7
26081081072,26,081,081072,870,411,23,79,11
