GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDKEL,G18GOVRKOB,G18GOVIORM,G18GOVLCAL,G18GOVIKLO,G18SOSRSCH,G18SOSDMCC,G18SOSLHOD,G18ATGRSCH,G18ATGDSWA,G18INSDMCL,G18INSRSCH,G18TRERLAT,G18TREDFRA
20001170040,20,001,170040,178.94,182.18,10.06,10.93,7.95,221.22,154.86,12.97,260.03,132.01,138.96,250.09,232.19,155.9
20001190010,20,001,190010,0.03,0.05,0,0,0,0.06,0.02,0,0.06,0.02,0.01,0.06,0.06,0.02
20001190020,20,001,190020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20003000010,20,003,000010,32.3,68.24,6.77,2.6,0.52,83.87,19.8,4.17,87.52,21.36,19.8,85.96,85.44,22.4
2000300002A,20,003,00002A,155.04,213.3,15.8,13.83,1.98,268.6,103.69,21.73,279.46,113.56,105.66,289.34,270.58,120.48
2000300002B,20,003,00002B,0.42,0.67,0.06,0.02,0,0.8,0.32,0.04,0.81,0.33,0.32,0.84,0.8,0.35
2000300002C,20,003,00002C,0.13,0.2,0.02,0.01,0,0.24,0.1,0.01,0.25,0.1,0.1,0.25,0.24,0.11
20003000030,20,003,000030,127.43,182.99,20.02,7.97,2.95,220.12,82.51,30.75,231.04,99.34,78.58,247.92,230.95,101.41
20003000040,20,003,000040,100.01,148.01,9,12,2,179.01,77,12,187.01,78,66,200.01,185.01,83
20003000050,20,003,000050,15.89,31.78,1.99,0.99,0,32.78,15.89,1.99,31.79,18.87,18.87,30.79,28.81,21.85
20003000060,20,003,000060,23.1,25.85,3.66,1.83,1.37,34.77,16.47,3.2,36.6,17.61,13.95,39.8,36.37,17.84
20003000080,20,003,000080,10.86,40.48,0.99,0,0,38.51,9.87,0.99,42.46,6.91,8.89,38.51,38.51,9.87
20003000100,20,003,000100,10.15,20.04,0.99,0.49,0.25,24.25,6.68,0.99,24.25,7.18,5.94,24.99,23.51,8.41
20003000110,20,003,000110,26.61,54.81,8,0.04,0.98,70.83,14.55,6,70.9,18.5,16.5,73.88,67.89,21.51
20003000120,20,003,000120,9.98,28.58,1.81,0,0.91,30.85,8.17,1.81,32.21,7.26,7.26,32.21,32.21,8.17
20003000130,20,003,000130,12.02,34.42,2.19,0,1.09,37.15,9.83,2.19,38.79,8.74,8.74,38.79,38.79,9.83
2000300014A,20,003,00014A,48.13,76.08,6.54,1.99,0.02,90.33,35.74,4.8,92.26,37.7,35.79,95.09,90.32,39.61
20003000160,20,003,000160,29.84,63.27,6.24,2.4,0.48,77.62,18.33,3.84,81.02,19.73,18.32,79.53,79.06,20.73
20003000170,20,003,000170,57,69,3,0,0,76,42,8,79,48,41,83,82,43
20003000180,20,003,000180,18,59,2,1,3,62,16,4,66,14,13,68,66,14
20003000190,20,003,000190,30.85,60.96,3.01,1.51,0.75,73.75,20.32,3.01,73.75,21.82,18.06,76.01,71.49,25.59
20003000200,20,003,000200,77.9,87.15,12.34,6.17,4.63,117.23,55.53,10.8,123.4,59.39,47.05,134.2,122.63,60.16
20003000210,20,003,000210,31.37,75.33,4.27,1.04,0.02,83.89,21.93,5.19,92.9,18.05,18.97,87.03,82.84,27.12
20003000220,20,003,000220,49,65,4,1,2,74,34,10,80,38,36,82,78,40
20003000230,20,003,000230,6.17,10.43,0.44,0.88,0,11.02,4.41,1.47,13.51,3.53,4.11,12.63,12.34,4.41
20003000240,20,003,000240,35.83,60.57,2.56,5.12,0,63.98,25.59,8.53,78.49,20.47,23.89,73.37,71.66,25.59
20003200010,20,003,200010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20003200020,20,003,200020,48.97,119.83,11.31,1.12,0.05,144.4,33.27,3.48,139.58,38.54,26.21,147.84,138.58,38.57
20005000010,20,005,000010,78,83,7,13,1,98,65,14,99,81,70,109,102,77
20005000020,20,005,000020,114,112,6,4,4,146,87,3,145,91,83,143,156,83
20005000030,20,005,000030,111,101,13,5,3,121,101,11,127,100,95,135,128,101
20005000040,20,005,000040,212.46,211.61,20,10.97,4,258.51,181.45,17.08,274.29,182.69,179.41,256.83,260.58,193.51
2000500005A,20,005,00005A,355.02,302.62,32.81,25.35,2.18,378.25,303.72,30.95,406.18,304.53,260.51,437.16,400.53,310.42
2000500006A,20,005,00006A,241.65,127.04,12.02,8.01,0.01,174.97,201.73,9.02,176.98,205.74,163.83,212.93,170.01,211.73
2000500006B,20,005,00006B,0.02,0.03,0,0,0,0.04,0.02,0,0.04,0.02,0.02,0.04,0.04,0.02
2000500006C,20,005,00006C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000500007A,20,005,00007A,255.05,164.08,26.01,22,3,208.09,226.04,20.01,216.09,236.05,203.04,248.1,217.09,235.05
2000500007B,20,005,00007B,0.14,0.21,0.02,0.01,0,0.24,0.11,0.02,0.24,0.13,0.11,0.26,0.25,0.13
2000500007C,20,005,00007C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000500008A,20,005,00008A,128.39,116.68,10.8,7.75,3.87,137.33,116.42,9.91,141.1,124.37,102.09,158.62,147.9,115.78
2000500008B,20,005,00008B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000500008D,20,005,00008D,0.1,0.16,0.01,0.01,0,0.18,0.09,0.01,0.18,0.1,0.08,0.2,0.19,0.1
20005000090,20,005,000090,112,135,17,9,1,171,95,6,186,84,63,205,177,94
20005000100,20,005,000100,103.32,169,20.17,2,2,215.32,71.07,3.07,226.6,61.87,55.67,233.77,219.62,69.8
20005000110,20,005,000110,58,159,22,2,1,190,43,6,205,35,30,202,203,34
20005000120,20,005,000120,30,38,4,1,0,48,21,1,48,22,17,53,51,20
20005000130,20,005,000130,41,66,9,1,1,77,39,3,80,37,28,89,84,33
20005000140,20,005,000140,117,106,25,11,1,167,81,9,176,80,62,194,175,82
2000500016A,20,005,00016A,195.64,290.33,22.34,9.9,4.93,335.04,160.01,25.99,333.58,181.95,153.61,360.46,343.11,178.83
2000500017A,20,005,00017A,91.26,98.91,12.98,6.99,1.99,115.97,82.19,10.98,120.95,87.18,76.11,134.99,122.92,88.19
2000500017B,20,005,00017B,0.01,0,0,0,0,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01
20005100050,20,005,100050,151.08,238.04,14,8,5,292.06,109.07,9,296.06,109.07,93.06,314.07,301.06,110.07
20005120030,20,005,120030,51.68,39,6.83,0,0,51.68,41.93,2.93,62.4,34.13,26.33,69.23,63.38,31.2
20005180010,20,005,180010,0.18,0.27,0.02,0.01,0,0.31,0.15,0.02,0.31,0.17,0.14,0.34,0.32,0.16
20005180020,20,005,180020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20007000010,20,007,000010,2,1,1,2,0,3,1,0,4,2,2,4,3,2
20007000020,20,007,000020,0,5,0,1,0,5,0,1,5,0,0,6,6,0
20007000030,20,007,000030,0,16,1,0,0,16,1,0,16,1,0,16,16,0
20007000040,20,007,000040,17,47,5,0,0,51,17,2,54,15,12,54,56,13
20007000050,20,007,000050,17,45,7,1,0,47,21,2,54,15,11,55,52,18
20007000060,20,007,000060,18,41,4,0,0,45,15,2,47,14,11,46,49,12
20007000070,20,007,000070,76,149,32,3,2,195,55,9,217,42,43,216,214,46
20007000080,20,007,000080,34,94,21,0,1,109,35,6,114,31,20,127,121,27
20007000090,20,007,000090,9,23,2,2,1,28,7,3,32,5,5,33,34,4
20007000100,20,007,000100,1,8,1,0,0,10,0,0,10,0,0,10,10,0
20007000110,20,007,000110,61.05,156.79,12.85,8.19,0,173.32,57.37,8.19,197.89,40.99,36.4,197.96,196.07,40.97
2000700012A,20,007,00012A,43,128,19,6,1,147,40,8,166,27,20,170,161,31
2000700012B,20,007,00012B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20007000130,20,007,000130,37.04,100.27,12.48,6.27,1,117.9,31.89,7.27,137.7,16.36,15.18,134.74,136.64,18.35
20007000140,20,007,000140,16,84,11,0,0,92,16,2,95,12,8,95,98,11
20007000150,20,007,000150,7.91,22.94,5.67,0.54,0,30.78,5.74,0.54,32.41,4.65,2.42,35.3,32.29,3.68
20007000160,20,007,000160,12,28,2,0,0,31,8,2,34,6,4,36,30,10
20007000170,20,007,000170,9,7,1,1,0,11,6,1,11,7,6,12,12,6
20007000180,20,007,000180,2,13,2,1,0,13,2,3,17,1,0,18,16,2
20007000190,20,007,000190,2.87,16.95,2.16,0.72,0.43,18.53,3.02,1.01,20.4,1.87,2.59,19.68,20.4,2.3
20007000200,20,007,000200,17.13,101.05,12.84,4.28,2.57,110.47,17.98,5.99,121.6,11.13,15.41,117.32,121.6,13.7
20007000210,20,007,000210,1,14,0,2,0,14,0,3,15,1,0,17,15,1
20007000220,20,007,000220,5,8,0,0,0,8,5,0,9,4,5,8,8,5
20007000230,20,007,000230,8,46,3,0,0,48,6,3,50,4,7,46,48,7
20009000010,20,009,000010,2,15,5,0,0,14,7,0,19,3,3,19,19,3
20009000020,20,009,000020,5,32,6,0,0,28,10,0,34,6,9,32,33,7
20009000030,20,009,000030,34.02,129.05,10.01,3,0,143.06,27.02,6,153.07,22.01,15.01,156.07,154.06,22.02
20009000040,20,009,000040,21,64,12,2,1,68,26,1,86,10,12,84,81,15
20009000050,20,009,000050,14,27,4,1,0,34,10,2,36,9,7,38,35,9
20009000060,20,009,000060,4,15,4,1,0,20,3,1,21,3,3,21,20,3
20009000070,20,009,000070,37.51,126,17.2,1.03,0.02,135.25,43.44,0.05,149.37,26.36,22.33,153.39,144.37,31.37
20009000080,20,009,000080,5,32,4,1,0,33,8,0,41,1,4,37,38,2
20009000090,20,009,000090,7,17,5,1,0,20,7,1,24,5,5,24,23,5
20009000100,20,009,000100,7,14,3,0,0,16,8,0,20,4,2,21,21,3
2000900011A,20,009,00011A,107,110,33,10,1,140,106,9,175,81,80,174,169,86
2000900011B,20,009,00011B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20009000120,20,009,000120,145,206,50,9,1,265,126,12,305,100,86,313,293,108
20009000130,20,009,000130,115,180,18,12,0,201,98,25,240,81,71,245,234,84
20009000140,20,009,000140,189,278,59,15,4,364,154,17,413,122,103,428,417,123
20009000150,20,009,000150,180,276,51,9,2,357,145,10,405,106,101,408,391,118
20009000160,20,009,000160,191.69,389.87,46.44,6.15,2.06,491.64,134.38,8.17,536.06,100.11,87.04,545.09,514.98,114.2
20009000170,20,009,000170,110.81,182.87,45.52,11.09,3.05,228.5,105.61,17.15,260.95,88.29,79.23,264.94,252.8,92.39
20009000180,20,009,000180,154.53,184.69,41.86,7.03,3.01,238.65,136.51,10.01,275.55,108.62,104.61,272.6,264.62,115.61
2000900019A,20,009,00019A,137,241,50,6,2,293,121,12,329,101,91,334,320,108
2000900019B,20,009,00019B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20009000200,20,009,000200,71.82,116.29,25.03,5.18,1.14,141.33,69.58,5.43,158.25,59.1,49.89,165.38,153.78,63.42
20009000210,20,009,000210,69.65,82.78,14.43,4.15,1.06,94.53,72.35,5.16,103.94,68.09,56.01,112.97,110.87,61.18
2000900022A,20,009,00022A,31.55,41.59,8.14,3.28,0.12,49.57,28.87,4.24,52.87,29.83,26.58,57.8,54.51,27.19
2000900022B,20,009,00022B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000900022C,20,009,00022C,7.98,14.39,1.97,0.39,0.1,17.44,7.09,0.3,19.61,5.32,4.73,19.61,19.02,5.81
2000900022E,20,009,00022E,0.3,0.53,0.07,0.01,0,0.65,0.26,0.01,0.73,0.2,0.18,0.73,0.7,0.22
2000900022F,20,009,00022F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000900023A,20,009,00023A,125.91,287.45,32.43,11.46,4.75,344.56,103.08,12.43,375.94,83.17,77.41,377.94,370.28,89.76
2000900023B,20,009,00023B,12.99,57.46,5.39,0.91,0.87,62.14,12.03,2.6,66.69,10.08,9.15,67.55,64.06,11.85
2000900023C,20,009,00023C,0.99,1.78,0.24,0.05,0.01,2.15,0.88,0.04,2.42,0.66,0.58,2.42,2.35,0.72
20009000240,20,009,000240,82.01,111.03,18,5,2,130.04,74.01,8,168.04,45.01,48.01,163.04,162.04,51.01
20009000250,20,009,000250,75.26,151.96,26.16,2.05,1.01,173.14,73.24,4.04,206.26,44.19,42.17,205.27,203.21,48.24
20009000260,20,009,000260,53.11,120.49,29.07,4.03,1.01,134.59,60.09,10.02,159.64,46.07,46.06,156.65,155.61,48.1
2000900027A,20,009,00027A,61,100,22,7,2,137,42,8,154,33,21,168,157,33
2000900027B,20,009,00027B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20009000280,20,009,000280,107,203,34,4,10,251,84,12,295,58,47,300,287,60
20009000290,20,009,000290,241.49,474,94.8,13.97,9.98,589.75,209.56,25.95,650.63,171.64,157.67,658.61,649.63,174.63
20009000300,20,009,000300,20.95,69.83,9.98,1,0,79.8,19.95,0,87.78,12.97,9.98,90.78,87.78,12.97
20009000310,20,009,000310,23,53,8,0,1,64,16,1,70,14,13,69,68,15
20009000320,20,009,000320,13.97,35.92,4.99,1,1,41.91,12.97,2,44.9,11.97,8.98,47.89,44.9,11.97
20009000330,20,009,000330,41,76,10,5,0,84,40,5,96,35,36,96,94,34
20009000340,20,009,000340,66.81,120.42,16.5,3.3,0.82,145.99,59.39,2.47,164.14,44.54,39.59,164.14,159.19,48.66
20009000350,20,009,000350,23.64,88.6,14.77,4.92,0.98,105.32,21.68,3.94,116.16,16.76,15.77,117.14,111.24,21.67
20009000360,20,009,000360,12,27,7,0,0,33,13,0,36,10,8,38,36,9
20009000370,20,009,000370,16.96,39.91,8.98,0,1,47.89,15.96,2,52.88,12.97,9.98,55.87,54.87,11.97
20009000380,20,009,000380,16.04,34.09,6.02,2,0,39.11,13.04,3,41.12,12.03,11.02,43.13,43.13,12.03
20009000390,20,009,000390,3,14,5,1,0,17,2,3,19,4,0,20,18,2
20009900010,20,009,900010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20011000010,20,011,000010,31,118,1,1,1,122,25,4,127,25,26,122,123,28
2001100002A,20,011,00002A,132.18,150.41,14.48,22.09,1.94,181.3,125.25,11.6,191.06,131.93,124.24,194.83,191.97,128.15
2001100002B,20,011,00002B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001100002C,20,011,00002C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001100002D,20,011,00002D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001100002E,20,011,00002E,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001100002F,20,011,00002F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001100002G,20,011,00002G,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001100002H,20,011,00002H,0.02,0.04,0,0,0,0.05,0.02,0,0.05,0.02,0.02,0.05,0.05,0.02
2001100003A,20,011,00003A,125.37,150.31,6.37,13.26,3.11,165.92,105.96,22.42,164.49,132.9,116.84,180.32,173.28,124.06
20011000040,20,011,000040,45.83,70.66,6.37,5.3,0.16,68.81,51.94,5.45,73.51,53.81,55.61,72.33,79.94,47.3
2001100005A,20,011,00005A,130.39,208.13,5.88,18.26,4.73,234.63,108.85,19.3,253.07,110.22,106.6,250.03,244.88,118.1
2001100005B,20,011,00005B,0,0.01,0,0,0,0.01,0,0,0.01,0,0,0.01,0.01,0
2001100005C,20,011,00005C,0.97,2.28,0.1,0.07,0.04,2.52,0.79,0.12,2.7,0.75,0.72,2.65,2.59,0.85
2001100005D,20,011,00005D,2.08,4.88,0.21,0.14,0.08,5.39,1.68,0.26,5.78,1.61,1.54,5.66,5.53,1.82
20011000060,20,011,000060,148.87,251.27,20.12,15.05,4.17,307.68,122.29,10.99,315.07,125.4,119.96,316.86,321.91,117.52
20011000070,20,011,000070,176.83,255.99,22.08,9.06,5.03,302.19,138.67,23.1,320.35,149.63,134.61,328.3,313.25,152.72
20011000080,20,011,000080,132.65,242.56,20.06,21.04,4.03,273.72,124.52,19.08,293.84,130.49,125.47,293.8,277.77,140.56
20011000090,20,011,000090,26,75,4,2,0,85,18,1,85,23,21,81,86,21
20011000100,20,011,000100,40,119,8,7,3,130,37,10,129,47,42,135,133,40
20011000110,20,011,000110,91.81,268.44,21.95,7.98,3.99,296.39,75.84,14.97,310.36,75.84,66.86,314.35,317.34,70.85
20011000120,20,011,000120,90,169,9,7,3,188,74,10,205,69,65,203,211,64
20011000130,20,011,000130,59,102,4,5,0,124,38,7,120,48,42,120,126,43
20011000140,20,011,000140,82.48,177.98,9.54,9.84,1,198.06,70.53,7.67,208.35,72.56,68.66,207.58,209.16,71.6
20011000150,20,011,000150,41,94,3,5,2,109,28,7,103,37,32,110,106,39
20011000160,20,011,000160,38,84,0,6,0,90,31,6,102,27,27,100,98,29
20011000170,20,011,000170,143.97,337.62,14.74,9.87,5.69,372.79,116.22,17.96,399.7,111.39,106.47,391.58,382.7,125.96
20011000180,20,011,000180,29,59,2,3,0,67,22,4,65,27,23,69,67,27
20011000190,20,011,000190,8.19,28.56,2.05,1.02,0.01,30.61,5.16,5.03,37.64,3.16,4.14,36.65,36.66,4.15
20011900020,20,011,900020,0.33,0.77,0.03,0.02,0.01,0.85,0.27,0.04,0.92,0.25,0.24,0.9,0.88,0.29
20011900030,20,011,900030,0.03,0.07,0,0,0,0.08,0.03,0,0.09,0.02,0.02,0.08,0.08,0.03
20013000010,20,013,000010,16,45,5,0,1,55,13,0,56,13,11,57,55,14
20013000020,20,013,000020,65.68,64.2,10,6.94,0.03,81.23,60.57,5.99,99.12,48.69,40.68,104.14,97.15,49.64
20013000030,20,013,000030,219.83,201.9,42.97,15.99,2,278.85,181.85,15.99,337.8,143.89,112.91,362.78,324.81,154.87
2001300004A,20,013,00004A,146.92,209.87,40.96,12.94,0.08,258.1,125.63,16.04,302.98,98.83,80.68,319.06,287.14,110.59
2001300004B,20,013,00004B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001300005A,20,013,00005A,11.94,22.89,4.98,1,0,32.84,7.96,0,29.85,9.95,2.99,36.82,32.84,5.97
2001300005B,20,013,00005B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20013000060,20,013,000060,83.63,176.14,22.09,4.14,4.89,217.99,53.98,11.97,238.24,49.64,29.75,252.2,238.06,42.92
20013000070,20,013,000070,61.98,91,16,7,2,106.99,60.98,6,130.99,43.99,38.99,135.98,120.99,53.98
20013000080,20,013,000080,34.11,82.42,12.31,0.94,1.89,99.46,26.53,5.68,111.77,18.96,17.06,113.66,108.93,22.73
2001300009A,20,013,00009A,33.43,50.67,6.38,5.94,2.03,65.04,28.2,5.11,73.55,22.88,20.71,74.61,68.52,27.83
2001300009B,20,013,00009B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001300009C,20,013,00009C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20013000100,20,013,000100,37,63,12,2,1,73,37,4,83,31,32,81,81,33
20013000110,20,013,000110,75.48,178.91,19.32,0.12,2.08,201.51,63.29,7.21,226.7,47.18,39.25,229.75,223.55,47.46
20013000120,20,013,000120,27.49,138.43,14.73,1.96,2.95,157.08,25.53,3.93,164.94,23.56,16.69,162.98,165.92,19.64
2001300012A,20,013,00012A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20013000130,20,013,000130,25,45,8,2,2,49,26,7,63,21,17,63,65,18
20013000140,20,013,000140,94,97,27,3,2,108,107,8,133,91,77,143,130,92
20013000150,20,013,000150,12,28,5,2,0,36,10,1,37,10,12,35,37,9
20013000160,20,013,000160,51.86,75.35,20.55,1.96,0,100.79,45.01,3.91,108.62,40.12,29.36,118.4,103.73,44.03
2001300017A,20,013,00017A,0.23,1.18,0.13,0.02,0.03,1.34,0.22,0.03,1.41,0.2,0.14,1.39,1.42,0.17
2001300017B,20,013,00017B,0.52,0.96,0.21,0.02,0.01,1.21,0.42,0.06,1.42,0.28,0.27,1.4,1.32,0.35
2001300018A,20,013,00018A,0.27,1.36,0.14,0.02,0.03,1.54,0.25,0.04,1.62,0.23,0.16,1.6,1.63,0.19
20013000190,20,013,000190,0.01,0.03,0,0,0,0.03,0.01,0,0.03,0,0,0.03,0.03,0
20013000200,20,013,000200,78.66,144.54,31.46,2.95,0.98,182.88,63.91,8.85,214.34,42.28,41.3,211.39,198.61,52.11
20013000210,20,013,000210,56.14,116.65,20.45,3.04,0,146.21,47.99,2.09,158.38,37.88,34.64,161.6,154.27,41.97
20013900010,20,013,900010,0.82,1.51,0.33,0.03,0.01,1.91,0.67,0.09,2.23,0.44,0.43,2.2,2.07,0.54
2001500001A,20,015,00001A,979.57,1158.8,184.86,45.47,8.9,1364.4,908.42,85.02,1544.36,806.55,726.49,1582.9,1515.68,821.38
2001500001L,20,015,00001L,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001500001N,20,015,00001N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001500001O,20,015,00001O,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001500002A,20,015,00002A,253.77,291.99,72.31,19.01,4.02,364.11,238.9,34.07,407.56,224.53,209.59,417.45,403.42,224.66
2001500002B,20,015,00002B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001500002C,20,015,00002C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20015000030,20,015,000030,203.23,220.39,57.78,19.09,6.04,260.87,204.4,33.25,319.77,181.73,173.78,322.64,310.53,187.94
2001500004A,20,015,00004A,396.52,496,89.54,19.06,5.03,594.32,365.64,37.17,671.94,323.18,276.21,693.85,656.78,334.32
2001500004B,20,015,00004B,4.27,7.64,0.91,0.16,0.03,8.63,3.99,0.39,9.69,3.29,2.75,9.61,9.69,3.21
20015000050,20,015,000050,346.5,478.99,79.18,19.02,5.01,569.1,305.54,44.06,683.3,235.39,231.4,677.27,658.25,259.44
20015000070,20,015,000070,337.24,625.59,77.82,18.96,8.98,696.43,321.28,38.91,803.19,244.45,224.49,806.18,783.24,254.43
20015000080,20,015,000080,54,127,24,2,4,146,51,15,154,58,46,163,162,50
2001500009C,20,015,00009C,2.96,3.5,0.56,0.14,0.03,4.13,2.75,0.26,4.67,2.44,2.2,4.79,4.58,2.48
2001500009F,20,015,00009F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001500009G,20,015,00009G,0.01,0.01,0,0,0,0.01,0.01,0,0.01,0,0,0.01,0.01,0
2001500009H,20,015,00009H,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20015000100,20,015,000100,29.14,92.25,11.04,1.01,0,103.3,27.14,2.01,111.32,21.12,19.08,111.34,111.32,21.12
20015000110,20,015,000110,10,28,2,0,0,30,10,0,32,8,5,34,30,9
20015000120,20,015,000120,15.39,64.53,3.12,3.02,0,65.61,17.41,3.03,77.72,10.33,14.29,68.73,72.69,14.36
20015000130,20,015,000130,248.41,370.63,68.56,12.92,6.96,432.23,237.48,25.83,512.72,184.82,160.97,515.7,496.82,199.72
2001500014A,20,015,00014A,583.78,647.44,85.35,22.3,2.93,770.18,507.16,36.07,934.78,373.97,334.86,956.07,899.91,401.85
2001500016A,20,015,00016A,505.29,467.53,81.2,41.04,7.99,539.76,492.21,47.12,635.12,443.97,401.97,659.06,611.06,462.01
2001500016B,20,015,00016B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001500016C,20,015,00016C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20015000190,20,015,000190,343.52,382.93,79.53,12.75,9.81,453.61,327.82,33.36,542.95,262.04,249.3,556.66,527.26,277.72
20015000220,20,015,000220,281.39,273.76,36.74,16.82,0.99,316.41,267.52,26.74,376.92,232.78,217.96,379.84,361.08,243.65
20015000240,20,015,000240,54,196,14,0,1,203,54,4,215,48,40,208,212,46
20015000250,20,015,000250,61,158,19,2,1,172,59,7,191,48,41,191,180,57
20015000260,20,015,000260,26.2,43.33,6.06,3.02,0.01,50.38,27.2,1.03,55.43,23.17,25.13,52.45,53.43,24.17
20015000270,20,015,000270,8,32.98,2,1,1,33.98,9,2,36.98,7,4.01,38.97,36.97,7.01
20015000280,20,015,000280,27.46,78.81,8.12,3.04,0,88.95,20.45,5.03,94.01,21.39,18.26,89.1,90.01,24.39
20015000290,20,015,000290,108.46,154.41,33.68,8.59,2.86,182.04,105.71,16.34,210.89,89.46,74.38,221.18,209.03,90.35
