GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOTH,G16USSDWIE,G16USSRMOR,G16USSLGAR,G16USSOTH
20001000010,20,001,000010,35,112,4,3,0,25,128,5,0
20001000020,20,001,000020,18.9,109.1,0,0,1,13.9,109.1,4,0
20001000030,20,001,000030,9,46,1,1,0,8,46,8,0
20001000040,20,001,000040,58,197,13,4,2,54,199,13,0
20001000050,20,001,000050,10,44,2,2,0,10,43,5,0
2000100006A,20,001,00006A,31.2,111.4,3.7,3.4,2,22.5,118.3,6,0
2000100006B,20,001,00006B,0,0,0,0,0,0,0,0,0
2000100006C,20,001,00006C,4.4,12.2,0.8,0,0,2.6,12.8,1.2,0
2000100006D,20,001,00006D,0,0.2,0,0,0,0,0.2,0,0
20001000070,20,001,000070,110.1,205.1,18.4,12.6,2.9,98.5,218.6,29,0
20001000080,20,001,000080,121.4,254.7,16.9,13,2.1,92.6,295.1,22,0
20001000130,20,001,000130,24.9,69.1,4.2,0.1,0,14.9,72.7,6.8,0
20001000140,20,001,000140,82,265,11,5,0,70,270,22,0
20001000150,20,001,000150,23,63,6,0,0,10,77,7,0
2000100016A,20,001,00016A,25,99.7,7.2,3,0,28.2,95.8,11.8,0
2000100016C,20,001,00016C,3.8,10.8,0.7,0.2,0.1,3,11.3,0.9,0
20001000170,20,001,000170,27,91,7,1,0,24,96,3,0
20001000180,20,001,000180,28,87,8,5,0,35,89,7,0
20001000190,20,001,000190,19,47,0,1,2,13,56,1,0
2000100020A,20,001,00020A,67,195.9,5.1,7,0,54.1,205.8,9.1,0
2000100020B,20,001,00020B,0.6,1.1,0.1,0.1,0,0.6,1.1,0.1,0
2000100020C,20,001,00020C,0,0,0,0,0,0,0,0,0
20001000210,20,001,000210,120.2,340.2,21.3,7.8,1.9,95,355.7,30,0
20001170010,20,001,170010,144.1,281.1,33.6,10,1,110.4,326.7,27.8,0
20001170020,20,001,170020,151.6,375.4,19.8,12.9,0,117.9,414.1,27.7,0
20001170030,20,001,170030,169.7,297.1,23.2,15.1,3,147.9,310.9,37.3,0
2000117003B,20,001,17003B,0,0,0,0,0,0,0,0,0
2000117003C,20,001,17003C,0.8,3.4,0.2,0.1,0,0.9,3.2,0.4,0
20001170040,20,001,170040,148.1,332.2,21.8,13.9,2,140,333.4,35.7,0
20001190010,20,001,190010,0,0.1,0,0,0,0,0.1,0,0
20001190020,20,001,190020,0,0,0,0,0,0,0,0,0
20003000010,20,003,000010,19.8,110.4,4.2,3.6,0,23.4,105.2,6.2,0
2000300002A,20,003,00002A,98.8,329.8,22.7,11.8,2,101.7,338.7,25.7,0
2000300002B,20,003,00002B,0.2,1.1,0.1,0,0,0.3,1.1,0,0
2000300002C,20,003,00002C,0.1,0.3,0,0,0,0.1,0.3,0,0
20003000030,20,003,000030,88,301.6,27,15.9,0,100.9,310.5,17,0
20003000040,20,003,000040,74,238,19,6,2,81,231,19,0
20003000050,20,003,000050,16.9,41.7,5,2,0,23.8,35.8,4,0
20003000060,20,003,000060,19.2,45.5,4.1,1.8,0.7,19.4,46,6,0
20003000080,20,003,000080,9.9,54.3,0,1,0,10.9,52.3,0,0
20003000100,20,003,000100,5.4,32.4,1.2,0.5,0,6.2,32.2,2,0
20003000110,20,003,000110,16.3,79.4,3.1,1,0,13.4,77.5,8,0
20003000120,20,003,000120,7.7,39.9,0.9,2.3,0,7.3,40.4,1.4,0
20003000130,20,003,000130,9.3,48.1,1.1,2.7,0,8.7,48.6,1.6,0
2000300014A,20,003,00014A,26.7,124.6,7.6,2.9,0.9,29.5,125.6,5.8,0
20003000160,20,003,000160,18.3,102.2,3.8,3.4,0,21.7,97.4,5.8,0
20003000170,20,003,000170,40,99,9,0,0,42,95,8,0
20003000180,20,003,000180,17,76,3,3,1,20,74,4,0
20003000190,20,003,000190,16.6,98.6,3.8,1.5,0,18.8,97.8,6,0
20003000200,20,003,000200,64.8,153.5,13.9,6.2,2.3,65.6,155,20,0
20003000210,20,003,000210,29.7,98.7,4.2,3.1,0,24.8,100.7,5.2,0
20003000220,20,003,000220,33,97,2,5,0,30,97,7,0
20003000230,20,003,000230,4,15.6,0.9,0.6,0.3,4.1,15.6,0.7,0
20003000240,20,003,000240,23,90.4,5.1,3.4,1.7,23.9,90.4,4.3,0
20003200010,20,003,200010,0,0,0,0,0,0,0,0,0
20003200020,20,003,200020,33.4,156.7,9.4,3.2,0,39.6,157.8,3.3,0
20005000010,20,005,000010,74,157,12,8,1,88,157,13,0
20005000020,20,005,000020,95,160,13,8,12,84,198,14,0
20005000030,20,005,000030,110,174,13,11,3,102,179,23,0
20005000040,20,005,000040,202.2,276.2,19.1,15.9,11.9,171.8,330.5,17.1,0
2000500005A,20,005,00005A,316.9,451.2,45.2,14.5,14.1,279.4,512.1,36.1,0
2000500006A,20,005,00006A,209.1,221.4,12,7,2,188,233.4,21,0
2000500006B,20,005,00006B,0,0,0,0,0,0,0,0,0
2000500006C,20,005,00006C,0,0,0,0,0,0,0,0,0
2000500007A,20,005,00007A,204,323.1,47,20,1,214.1,337.1,32,0
2000500007B,20,005,00007B,0.1,0.3,0,0,0,0.1,0.3,0,0
2000500007C,20,005,00007C,0,0,0,0,0,0,0,0,0
2000500008A,20,005,00008A,126,193.7,19.5,8.8,2.9,128.1,195.6,22.3,0
2000500008B,20,005,00008B,0,0,0,0,0,0,0,0,0
2000500008D,20,005,00008D,0.1,0.2,0,0,0,0.1,0.2,0,0
20005000090,20,005,000090,78,240,16,13,0,66,249,23,0
20005000100,20,005,000100,67.8,243,15.2,2,5,60.6,262.3,12.1,0
20005000110,20,005,000110,33,239,7,9,0,40,235,10,0
20005000120,20,005,000120,17,71,5,2,0,20,71,6,0
20005000130,20,005,000130,26,106,7,2,0,26,105,4,0
20005000140,20,005,000140,63,209,18,12,0,61,231,9,0
2000500016A,20,005,00016A,165.5,417.7,34,13.8,2.2,177.3,415.7,30.4,0
2000500017A,20,005,00017A,68.3,151.9,12,6,2,78.2,150,12,0
2000500017B,20,005,00017B,1.6,1.6,0,0,0,0.8,1.6,0,0
20005100050,20,005,100050,98.1,334.1,15,9,1,106.1,342.1,12,0
20005120030,20,005,120030,33.1,78,5.8,1,0,25.4,88.7,3.9,0
20005180010,20,005,180010,0.1,0.4,0,0,0,0.2,0.4,0,0
20005180020,20,005,180020,0,0,0,0,0,0,0,0,0
20007000010,20,007,000010,1,5,1,0,0,0,6,1,0
20007000020,20,007,000020,0,7,0,0,0,0,6,1,0
20007000030,20,007,000030,0,22,0,0,0,0,21,1,0
20007000040,20,007,000040,10,59,4,3,1,11,60,5,0
20007000050,20,007,000050,17,72,3,1,0,16,72,5,0
20007000060,20,007,000060,15,59,4,1,0,15,60,2,0
20007000070,20,007,000070,41,266,12,6,0,32,273,17,0
20007000080,20,007,000080,29,164,4,1,1,28,162,10,0
20007000090,20,007,000090,5,30,1,4,0,3,32,1,0
20007000100,20,007,000100,0,16,0,0,0,0,16,0,0
20007000110,20,007,000110,49.2,242.7,13.7,4.6,0.9,45.5,253.6,12.8,0
2000700012A,20,007,00012A,39,214,14,1,2,40,206,17,0
2000700012B,20,007,00012B,0,0,0,0,0,0,0,0,0
20007000130,20,007,000130,29.6,169.3,6.4,2.2,1,24.5,165.6,12.4,0
20007000140,20,007,000140,11,128,0,1,1,10,119,9,0
20007000150,20,007,000150,4.2,44,0.9,1.3,0.1,5,44.8,1.8,0
20007000160,20,007,000160,4,42,3,0,0,4,42,1,0
20007000170,20,007,000170,5,16,0,0,0,6,15,0,0
20007000180,20,007,000180,0,18,2,0,0,0,18,2,0
20007000190,20,007,000190,2.4,25,0.7,0.3,0.3,3.7,23.7,1,0
20007000200,20,007,000200,14.6,149,4.3,1.7,1.7,22.3,141.3,6,0
20007000210,20,007,000210,0,27,2,0,1,2,24,4,0
20007000220,20,007,000220,4,9,1,0,0,3,10,1,0
20007000230,20,007,000230,5,66,1,0,0,4,65,3,0
20009000010,20,009,000010,1,24,3,0,0,0,25,0,0
20009000020,20,009,000020,7,38,0,0,0,4,36,4,0
20009000030,20,009,000030,28,197.1,5,0,0,19,197.1,11,0
20009000040,20,009,000040,13,91,2,1,0,10,89,7,0
20009000050,20,009,000050,8,43,4,1,0,7,47,2,0
20009000060,20,009,000060,1,17,0,0,0,0,17,1,0
20009000070,20,009,000070,22.4,177.7,3.1,2,2,15.3,179.8,11.1,0
20009000080,20,009,000080,0,46,0,0,0,1,43,3,0
20009000090,20,009,000090,9,35,2,1,0,4,43,3,0
20009000100,20,009,000100,5,17,2,0,0,2,23,1,0
2000900011A,20,009,00011A,105,200,20,11,0,74,227,25,0
2000900011B,20,009,00011B,0,0,0,0,0,0,0,0,0
20009000120,20,009,000120,101,363,13,11,2,81,384,21,0
20009000130,20,009,000130,83,273,21,9,3,64,295,29,0
20009000140,20,009,000140,114,470,24,16,2,87,517,25,0
20009000150,20,009,000150,113,442,12,8,7,80,485,19,0
20009000160,20,009,000160,123.2,569.5,13.2,9.1,0,66.8,623.5,21.5,0
20009000170,20,009,000170,85.3,307.8,16.2,5.1,3,54.9,340,16.4,0
20009000180,20,009,000180,104.7,330,17.9,8,2,71.8,355.7,31,0
2000900019A,20,009,00019A,99,385,16,11,2,63,421,19,0
2000900019B,20,009,00019B,0,0,0,0,0,0,0,0,0
20009000200,20,009,000200,78.1,196.2,11.6,5,1,56.7,210.8,20.1,0
20009000210,20,009,000210,70.2,148.3,11.2,3,0,53.8,157.3,18.4,0
2000900022A,20,009,00022A,39.5,68.5,4.4,1.1,0,24.9,73.4,7.1,0
2000900022B,20,009,00022B,0,0,0,0,0,0,0,0,0
2000900022C,20,009,00022C,4.6,22.5,0.8,0.3,0,3.5,22.5,1.7,0
2000900022E,20,009,00022E,0.2,0.8,0,0,0,0.1,0.8,0.1,0
2000900022F,20,009,00022F,0,0,0,0,0,0,0,0,0
2000900023A,20,009,00023A,91,482.6,11.5,3.8,0.9,63.1,481.7,34.3,0
2000900023B,20,009,00023B,10.8,84.2,3.5,0,0,9,81.6,6.2,0
2000900023C,20,009,00023C,0.6,2.8,0.1,0,0,0.4,2.8,0.2,0
20009000240,20,009,000240,45,205.1,9,7,2,33,213.1,17,0
20009000250,20,009,000250,50.1,234.5,10.1,2,0,35.2,251.4,6.1,0
20009000260,20,009,000260,45,209.7,15,3,0,27.1,221.7,16.1,0
2000900027A,20,009,00027A,27,192,13,3,1,26,191,18,0
2000900027B,20,009,00027B,0,0,0,0,0,0,0,0,0
20009000280,20,009,000280,41,305,14,9,1,23,334,13,0
20009000290,20,009,000290,163.7,816.3,29.9,11,3,120.7,837.2,64.9,0
20009000300,20,009,000300,12,97.8,2,1,0,8,98.8,4,0
20009000310,20,009,000310,10,68,2,1,1,4,75,4,0
20009000320,20,009,000320,9,52.9,7,1,0,12,57.9,2,0
20009000330,20,009,000330,34,131,4,3,2,23,134,14,0
20009000340,20,009,000340,38.8,188.1,6.6,2.5,0,28.9,188.1,14,0
20009000350,20,009,000350,12.8,134.9,5.9,1,1,16.7,129,10.8,0
20009000360,20,009,000360,8,44,4,0,0,8,40,7,0
20009000370,20,009,000370,10,83.8,3,3,0,10,82.8,5,0
20009000380,20,009,000380,14,67.2,2,3,1,14,64.2,5,0
20009000390,20,009,000390,1,26,2,0,0,2,24,4,0
20009900010,20,009,900010,0,0,0,0,0,0,0,0,0
20011000010,20,011,000010,29,165,5,3,0,33,158,13,0
2001100002A,20,011,00002A,119.6,210.2,11.6,8.7,1,106.2,218,22.2,0
2001100002B,20,011,00002B,0,0,0,0,0,0,0,0,0
2001100002C,20,011,00002C,0,0,0,0,0,0,0,0,0
2001100002D,20,011,00002D,0,0,0,0,0,0,0,0,0
2001100002E,20,011,00002E,0,0,0,0,0,0,0,0,0
2001100002F,20,011,00002F,0,0,0,0,0,0,0,0,0
2001100002G,20,011,00002G,0,0,0,0,0,0,0,0,0
2001100002H,20,011,00002H,0,0.1,0,0,0,0,0.1,0,0
2001100003A,20,011,00003A,126.1,251.5,22.4,6.2,2,117.7,255.1,29.6,0
20011000040,20,011,000040,55,113.9,5.5,4.2,0.1,52.4,113.7,13.5,0
2001100005A,20,011,00005A,110.4,314.7,22.4,15.9,4.3,107.1,329.3,30,0
2001100005B,20,011,00005B,0,0,0,0,0,0,0,0,0
2001100005C,20,011,00005C,0.8,3.2,0.1,0,0,0.7,3.4,0.2,0
2001100005D,20,011,00005D,1.7,6.9,0.3,0.1,0,1.5,7.3,0.3,0
20011000060,20,011,000060,114.9,349.9,19.3,7.8,2,101.6,364.4,32,0
20011000070,20,011,000070,144.7,375.8,23.1,9,3,131.6,395,29.1,0
20011000080,20,011,000080,122.5,378.2,13.1,9,1,128.4,361.3,30.1,0
20011000090,20,011,000090,24,113,3,0,0,22,109,9,0
20011000100,20,011,000100,23,151,8,5,0,29,143,10,0
20011000110,20,011,000110,70.8,412.1,8,4,0,80.8,385.2,26,0
20011000120,20,011,000120,70,253,9,5,3,77,251,23,0
20011000130,20,011,000130,43,179,13,3,0,42,180,13,0
20011000140,20,011,000140,75.6,265.2,10.3,7.5,0.1,74.9,266.6,17,0
20011000150,20,011,000150,34,163,5,6,0,48,149,12,0
20011000160,20,011,000160,25,114,2,3,0,23,112,6,0
20011000170,20,011,000170,120.4,475.2,18.8,7.4,2.4,102.5,503.6,23.8,0
20011000180,20,011,000180,21,80,4,2,0,23,74,6,0
20011000190,20,011,000190,4.2,47.9,1,1,1,5.2,46.8,1,0
20011900020,20,011,900020,0.3,1.1,0,0,0,0.2,1.1,0,0
20011900030,20,011,900030,0,0.1,0,0,0,0,0.1,0,0
20013000010,20,013,000010,12,73,0,1,0,9,77,1,0
20013000020,20,013,000020,49.7,102.3,11.9,5,0,37.7,117.1,12.9,0
20013000030,20,013,000030,164.9,365.8,27,10,0,129.9,419.7,17,0
2001300004A,20,013,00004A,119.6,304.5,22.9,24.8,1,95.6,343.2,32.9,0
2001300004B,20,013,00004B,0,0,0,0,0,0,0,0,0
2001300005A,20,013,00005A,13.9,48.8,2,2,0,14.9,46.8,6,0
2001300005B,20,013,00005B,0,0,0,0,0,0,0,0,0
20013000060,20,013,000060,47,269.7,7.2,2.3,0,35.8,273.2,16.2,0
20013000070,20,013,000070,54,174,9,4,1,54,179,11,0
20013000080,20,013,000080,26.5,137.3,3.8,3.8,0,28.4,140.2,4.7,0
2001300009A,20,013,00009A,26.8,93.1,5.2,5.1,0,34.7,89.3,6.2,0
2001300009B,20,013,00009B,0,0,0,0,0,0,0,0,0
2001300009C,20,013,00009C,0,0,0,0,0,0,0,0,0
20013000100,20,013,000100,27,103,4,2,0,26,103,4,0
20013000110,20,013,000110,44.7,259.6,10,6.1,0,44.9,267.5,9.1,0
20013000120,20,013,000120,23.6,173.8,4.9,6.9,3,20.6,188.5,11.8,0
2001300012A,20,013,00012A,0,0,0,0,0,0,0,0,0
20013000130,20,013,000130,18,62,13,2,0,13,77,7,0
20013000140,20,013,000140,101,139,6,10,0,88,156,13,0
20013000150,20,013,000150,11,48,0,5,0,10,48,4,0
20013000160,20,013,000160,38.2,134.1,13.7,2,0,37.2,137,13.7,0
2001300017A,20,013,00017A,0.2,1.5,0,0.1,0,0.2,1.6,0.1,0
2001300017B,20,013,00017B,0.3,1.4,0,0,0,0.2,1.6,0.1,0
2001300018A,20,013,00018A,0.2,1.7,0,0.1,0,0.2,1.9,0.1,0
20013000190,20,013,000190,0,0,0,0,0,0,0,0,0
20013000200,20,013,000200,46.2,217.3,6.9,3,6.9,36.4,235,11.8,0
20013000210,20,013,000210,37.8,193.9,10.3,2,0,33.8,200,8.3,0
20013900010,20,013,900010,0.5,2.3,0.1,0,0.1,0.4,2.5,0.1,0
2001500001A,20,015,00001A,723.6,1617.6,187.8,40.5,55.4,640.5,1822.2,160.2,0
2001500001L,20,015,00001L,0,0,0,0,0,0,0,0,0
2001500001N,20,015,00001N,0,0,0,0,0,0,0,0,0
2001500001O,20,015,00001O,0,0,0,0,0,0,0,0,0
2001500002A,20,015,00002A,212.5,524.9,53.1,19,1,191.5,528.8,84.3,0
2001500002B,20,015,00002B,0,0,0,0,0,0,0,0,0
2001500002C,20,015,00002C,0,0,0,0,0,0,0,0,0
20015000030,20,015,000030,168.7,437.8,27.3,11.2,0,156.6,418.6,60.8,0
2001500004A,20,015,00004A,345.1,733.6,52.2,21.1,6,302.1,789.5,70.5,0
2001500004B,20,015,00004B,3.1,10.4,0.7,0,0.1,2.6,10.8,1.2,0
20015000050,20,015,000050,251.4,740.5,61.1,15,7,205.3,808.5,56.2,0
20015000070,20,015,000070,246.4,897,60.9,11,15,222.5,922.9,71.8,0
20015000080,20,015,000080,40,183,13,4,3,45,174,23,0
2001500009C,20,015,00009C,2.2,4.9,0.6,0.1,0.2,1.9,5.5,0.5,0
2001500009F,20,015,00009F,0,0,0,0,0,0,0,0,0
2001500009G,20,015,00009G,0,0,0,0,0,0,0,0,0
2001500009H,20,015,00009H,0,0,0,0,0,0,0,0,0
20015000100,20,015,000100,22.1,121.4,9,2,2,19.1,126.4,10,0
20015000110,20,015,000110,7,31,2,2,1,6,32,4,0
20015000120,20,015,000120,15.3,88.9,2.1,1,2,12.3,92.9,2.1,0
20015000130,20,015,000130,169.9,599.2,47.7,10.9,2,171.9,598.2,63.6,0
2001500014A,20,015,00014A,407.4,987.8,61.9,24,10.8,332.7,1089.3,83.6,0
2001500016A,20,015,00016A,442,813.6,69.2,29,6,381,858.6,105.3,0
2001500016B,20,015,00016B,0,0,0,0,0,0,0,0,0
2001500016C,20,015,00016C,0,0,0,0,0,0,0,0,0
20015000190,20,015,000190,267.9,620.5,53,16.7,3.9,234.6,641.1,72.6,0
20015000220,20,015,000220,241.6,481,38.7,11.9,1,219.9,483,58.4,0
20015000240,20,015,000240,44,231,9,5,7,38,254,11,0
20015000250,20,015,000250,54,195,10,0,1,42,195,19,0
20015000260,20,015,000260,23.1,66.5,1,1,0,24.1,64.5,3,0
20015000270,20,015,000270,4,44,0,0,0,6,41,0,0
20015000280,20,015,000280,15.4,104.3,4,2,0,15.4,106.2,10.1,0
20015000290,20,015,000290,79.9,251.2,19.2,4.8,2.9,75.2,254.5,29,0
20015000300,20,015,000300,20.7,51.8,3.1,1.3,2.2,19.4,55.1,2.7,0
20015000320,20,015,000320,24,185,3,4,1,31,180,5,0
20015000330,20,015,000330,48.6,203.4,17.3,1.5,0.1,50.5,209.2,13.9,0
20015000340,20,015,000340,459.6,1486,98.4,24,18.2,415.8,1508,138.5,0
20015000350,20,015,000350,62.7,164.1,10.9,6,0,58.7,170.1,13.9,0
20015000360,20,015,000360,101.3,361,20.8,7.2,0.9,92.2,361.9,38,0
20015000380,20,015,000380,21,113,5,2,0,24,108,8,0
20015000390,20,015,000390,45.8,216.3,11.4,3.1,0,42.6,212.3,15.7,0
20015000410,20,015,000410,143.5,531.1,33.2,11.7,2,150.3,498.9,62.5,0
20015000430,20,015,000430,221,910,55,14,7,208,892,89,0
20015000440,20,015,000440,10,58,4,1,0,10,58,5,0
20015000450,20,015,000450,60.1,257.8,8.3,5.1,1,59.1,244.8,27.4,0
20015120040,20,015,120040,36.4,147.3,7.3,3.2,0.3,33.9,141.5,16.3,0
20015120050,20,015,120050,75.6,304.2,15.3,6.6,0.7,70.5,292.3,33.8,0
20015120080,20,015,120080,57.6,259.2,15,3,2,52.4,261.6,24,0
20015120090,20,015,120090,28.4,164.8,3,0,1,21.6,177.3,5,0
20015140010,20,015,140010,527.1,1174.8,113,21.6,11.3,470.2,1232.4,134.8,0
20015140020,20,015,140020,264.1,629,64.2,14.4,6.9,233.6,664.5,69,0
20015140030,20,015,140030,46.9,177.4,10.3,1.3,1,43.5,187.6,9.6,0
20015140040,20,015,140040,134.1,471.4,29.7,2.6,6.5,112.4,485.8,54,0
20015140050,20,015,140050,81.8,294.7,21.1,3.8,1.3,69.7,307.2,30.7,0
20015140060,20,015,140060,4.8,20.3,0.6,0.4,0.4,4,20.5,1.8,0
20015140070,20,015,140070,7.6,26.8,1.6,0.4,0.2,7,27.2,2.5,0
20015140080,20,015,140080,35.6,93.9,10.9,4.3,1.2,32.1,101.2,13.1,0
20015140090,20,015,140090,0,0,0,0,0,0,0,0,0
20015200010,20,015,200010,0,0.2,0,0,0,0,0.2,0,0
20015200020,20,015,200020,224.9,835.6,62,18,7,211.9,842.6,82,0
20015800050,20,015,800050,28.3,102.8,3.7,1.2,1,30.9,98.9,7.3,0
20015800060,20,015,800060,0,0,0,0,0,0,0,0,0
2001580010A,20,015,80010A,0,0,0,0,0,0,0,0,0
2001580010B,20,015,80010B,0,0,0,0,0,0,0,0,0
2001580030A,20,015,80030A,0,0,0,0,0,0,0,0,0
2001580040B,20,015,80040B,0,0,0,0,0,0,0,0,0
2001580070A,20,015,80070A,0,0,0,0,0,0,0,0,0
2001580070B,20,015,80070B,0,0,0,0,0,0,0,0,0
2001580070C,20,015,80070C,0,0,0,0,0,0,0,0,0
2001580070D,20,015,80070D,0.1,0.4,0,0,0,0.1,0.4,0,0
2001580070E,20,015,80070E,0,0,0,0,0,0,0,0,0
2001580070F,20,015,80070F,14.5,47.5,3.1,0.8,0.6,13.1,48.1,4.4,0
20017000010,20,017,000010,5,51,0,1,0,2,53,1,0
20017000020,20,017,000020,10,39,1,0,0,8,36,5,0
20017000030,20,017,000030,21,47,2,0,1,15,43,14,0
20017000040,20,017,000040,18.6,100.8,7.3,2.3,3,8.9,110,5,0
20017000050,20,017,000050,40,172,4,3,0,31,180,17,0
20017000060,20,017,000060,57,153,9,7,0,55,152,15,0
20017000070,20,017,000070,7,21,2,2,0,9,24,0,0
20017000080,20,017,000080,26,44,2,0,0,23,49,0,0
20017000090,20,017,000090,44,127,3,1,3,42,129,9,0
20017000100,20,017,000100,74,183,12,12,1,62,212,17,0
20017000110,20,017,000110,13.4,31.2,2.7,2.7,0,15.1,33,0,0
20019000010,20,019,000010,5,39,3,0,0,5,39,3,0
20019000020,20,019,000020,0,35,0,0,0,0,35,0,0
20019000030,20,019,000030,12,89,2,1,0,11,92,2,0
20019000040,20,019,000040,5.8,32.8,0.1,0.1,0,4.8,33.7,0.3,0
20019000050,20,019,000050,8,36,0,0,0,9,29,4,0
20019000060,20,019,000060,33.2,152.2,5.9,3.9,0,34.2,149.3,10.7,0
20019000070,20,019,000070,3,21,1,0,0,4,19,2,0
20019000080,20,019,000080,13,112,1,1,0,15,101,8,0
20019000090,20,019,000090,67,258,6,8,0,62,257,18,0
20019000100,20,019,000100,9,125,3,3,0,9,116,13,0
20019000110,20,019,000110,7,53,0,1,0,8,51,2,0
20019000120,20,019,000120,28,201,3,4,0,32,184,12,0
20019000130,20,019,000130,5,42,0,1,0,2,41,4,0
20019000140,20,019,000140,1,40,0,0,0,2,39,0,0
20021000010,20,021,000010,75.8,207.8,10.1,6.1,0,86.8,201.8,11.2,0
20021000020,20,021,000020,57,180,11,6,1,61,163,22,0
2002100002A,20,021,00002A,0,0,0,0,0,0,0,0,0
20021000030,20,021,000030,147.3,458.3,23.6,9,0,167,433.7,28.9,0
2002100004A,20,021,00004A,71,272.1,8.7,8.3,1,76.6,257.6,22.8,0
2002100004B,20,021,00004B,0,0,0,0,0,0,0,0,0
20021000050,20,021,000050,53.2,92.3,5.9,3,2,53.2,93.3,15.7,0
20021000060,20,021,000060,57.3,146.2,12,1,0,51.4,149.3,15.9,0
20021000070,20,021,000070,84.6,196.8,11.9,1.8,0.9,78.2,206,13.8,0
2002100007A,20,021,00007A,0,0,0,0,0,0,0,0,0
20021000080,20,021,000080,74.7,195,15.8,1.1,1,86.4,187.4,9.9,0
20021000090,20,021,000090,54.8,145.4,13.2,1.9,0,50,151.1,15.1,0
2002100010A,20,021,00010A,51.9,157.8,5,8,0,59.9,142.9,11,0
2002100010B,20,021,00010B,0,0,0,0,0,0,0,0,0
20021000110,20,021,000110,60,281.9,7,3,0,66,266.9,13,0
20021000120,20,021,000120,61.1,189.4,9.1,2,0,70.2,172.4,16,0
2002100012A,20,021,00012A,0.1,0.3,0,0,0,0.1,0.3,0,0
2002100013A,20,021,00013A,43.9,154.6,11,3,0,53.9,131.6,17,0
2002100013B,20,021,00013B,0.5,2,0.1,0,0,0.5,1.9,0.2,0
2002100013C,20,021,00013C,0,0,0,0,0,0,0,0,0
2002100013D,20,021,00013D,0,0,0,0,0,0,0,0,0
20021000140,20,021,000140,107,238.8,7.4,1.2,0,104.1,221.4,19.6,0
2002100015A,20,021,00015A,37.9,122.8,8.9,3,0,48.9,111.8,10,0
20021000170,20,021,000170,234.5,672.9,25.7,17.8,0,259.3,654.1,48.5,0
2002100018A,20,021,00018A,51.6,204.7,10.5,4.8,0,53.6,194.1,16.3,0
20021000190,20,021,000190,31,107,6,2,0,30,107,9,0
20021000200,20,021,000200,48.9,250.5,4,6,0,58.9,234.5,10,0
20021000210,20,021,000210,21.8,116.2,4.7,0.8,0,26.5,116.2,2.3,0
20021000220,20,021,000220,15,75,2,0,0,13,74,5,0
20021000230,20,021,000230,4.6,34.3,1.9,1.8,0,4.7,35.2,1.9,0
20021000240,20,021,000240,9.4,60.7,5.1,1.2,0,14.3,51.8,4.1,0
20021000250,20,021,000250,67,222,9,4,0,58,227,15,0
20021000260,20,021,000260,0,0,0,0,0,0,0,0,0
20021000270,20,021,000270,19,65,0,1,0,17,61,6,0
20021000280,20,021,000280,42,66,5,4,0,44,67,9,0
20021000290,20,021,000290,35.8,72.6,5.8,4.8,0,41.6,68.7,6.8,0
2002100030A,20,021,00030A,71.5,232.5,8.3,1,0,76.2,238.6,3.4,0
2002100030B,20,021,00030B,5,11.7,0.7,0.1,0,4.6,12.2,0.8,0
2002100030C,20,021,00030C,0.2,0.8,0,0,0,0.3,0.7,0,0
20021000310,20,021,000310,19.5,26.4,1.1,1,0,19.6,25.3,1,0
20021000320,20,021,000320,15,51,6,1,0,20,44,9,0
20021000330,20,021,000330,16.5,51.5,2.9,1,0,19.4,45.7,2,0
20021000340,20,021,000340,37,194,4,5,0,43,189,10,0
20021000350,20,021,000350,21,86,7,1,0,26,79,8,0
20021000360,20,021,000360,55.9,230.5,11,3,0,65.9,217.5,17,0
2002100037A,20,021,00037A,37.3,137.9,1.9,3.8,0.9,36.4,139.8,6.7,0
2002100037B,20,021,00037B,0.1,0.5,0,0,0,0.1,0.5,0,0
2002100037C,20,021,00037C,0,0,0,0,0,0,0,0,0
2002100037D,20,021,00037D,0,0,0,0,0,0,0,0,0
20021000380,20,021,000380,6.2,32.8,1.3,0.2,0,7.5,32.8,0.7,0
2002100042A,20,021,00042A,1.2,2.4,0.2,0.2,0,1.4,2.3,0.2,0
2002100042B,20,021,00042B,0,0,0,0,0,0,0,0,0
20021000999,20,021,000999,99.8,135.7,11.1,6,0,109.8,127.7,14.3,0
20023000010,20,023,000010,4,19,0,1,0,3,21,0,0
20023000020,20,023,000020,52,276,5,1,0,33,287,8,0
20023000030,20,023,000030,0,24,0,0,2,1,24,0,0
20023000040,20,023,000040,3,27,0,0,0,1,29,0,0
20023000050,20,023,000050,0,15,0,0,0,0,15,0,0
20023000060,20,023,000060,0,32,0,3,0,1,31,3,0
20023000070,20,023,000070,45,325,7,1,2,31,331,16,0
20023000080,20,023,000080,77,455,17,14,0,55,489,21,0
20025000010,20,025,000010,44,328,11,5,0,36,332,15,0
20025000020,20,025,000020,39.8,201.7,11.6,5.8,0,34.9,203.7,17.5,0
20025000030,20,025,000030,17.2,173.3,9.4,6.2,0,13.1,179.3,9.5,0
20025000040,20,025,000040,11,49,3,2,2,15,49,4,0
20025000050,20,025,000050,2,19,0,0,1,1,19,2,0
20025000060,20,025,000060,1,20,0,0,0,1,19,1,0
20025000070,20,025,000070,5,34,1,1,1,2,38,2,0
