GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDKEL,G18GOVRKOB,G18GOVIORM,G18GOVLCAL,G18GOVIKLO,G18SOSRSCH,G18SOSDMCC,G18SOSLHOD,G18ATGRSCH,G18ATGDSWA,G18INSDMCL,G18INSRSCH,G18TRERLAT,G18TREDFRA
20001000010,20,001,000010,48,98,5,3,4,116,35,5,125,31,27,122,115,37
20001000020,20,001,000020,39.7,56.5,2,2,0,66.5,25.8,4,75.4,22.8,22.8,76.4,68.4,29.8
20001000030,20,001,000030,15,27,2,2,2,35,8,3,40,8,11,37,33,14
20001000040,20,001,000040,58,113,10,12,4,133,50,8,153,42,43,147,141,50
20001000050,20,001,000050,13,38,1,1,0,40,11,2,43,10,8,45,41,12
2000100006A,20,001,00006A,44.5,73.4,4.4,1.4,2.1,86.9,30.7,5.3,96.5,28.3,25.6,96.2,92.6,27.4
2000100006B,20,001,00006B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000100006C,20,001,00006C,5.1,8,0.1,0.3,0.1,10.1,3.2,0.3,10.9,2.7,3,10.3,9.7,3.5
2000100006D,20,001,00006D,0.1,0.1,0,0,0,0.1,0,0,0.1,0,0,0.1,0.1,0
20001000070,20,001,000070,130.5,123.9,21.2,6.8,3.9,166.4,109.2,12.6,178,108.2,106.2,177,167.4,117.8
20001000080,20,001,000080,148.7,171.9,9.2,12.8,4,214.9,111.7,14.1,251.6,90.1,93.8,246.7,221.1,118.3
20001000130,20,001,000130,29.4,45.1,1,1.7,0.8,57,18.4,1.8,61.4,15.8,17.4,58.1,54.6,20.1
20001000140,20,001,000140,133,148,11,7,4,197,85,18,217,83,73,228,211,89
20001000150,20,001,000150,20,41,6,1,3,55,16,0,57,15,9,61,56,15
2000100016A,20,001,00016A,34,66.7,5.9,6.7,2,81.9,25.5,5.9,88,26.2,24.4,89.8,82.8,30.3
2000100016C,20,001,00016C,5,7.1,0.3,0.4,0.1,8.4,4.1,0.4,9.3,3.6,3.8,9,8.9,4
20001000170,20,001,000170,35,55,1,3,0,61,27,7,70,24,20,73,66,29
20001000180,20,001,000180,44,60,5,1,2,76,37,1,87,26,31,81,79,34
20001000190,20,001,000190,22,36,1,2,1,42,19,1,44,18,18,40,41,20
2000100020A,20,001,00020A,83.9,125.1,15.8,5,3,167.7,53.2,10.9,191.6,41.3,45.2,185.7,176.7,57.2
2000100020B,20,001,00020B,0.7,0.6,0.1,0,0,0.8,0.6,0.1,0.9,0.5,0.5,0.9,0.8,0.6
2000100020C,20,001,00020C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20001000210,20,001,000210,159,223.9,9.7,11.6,4.8,266.6,130.9,11.6,294.7,114.4,120.2,284,281.1,125
20001170010,20,001,170010,174.9,162,13.9,6,4.9,229.4,115.4,16.9,259.3,104.4,108.4,251.3,227.6,125.2
20001170020,20,001,170020,174.3,272.4,11.9,11.9,1,330.9,125.8,14.9,362.6,108,114.9,351.7,341.8,126.8
20001170030,20,001,170030,197.1,154.8,15.2,12.2,9.1,211.3,159.8,15.2,248.6,143.7,144.8,240.6,223.3,163
2000117003B,20,001,17003B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000117003C,20,001,17003C,1.1,2.3,0.2,0.2,0.1,2.8,0.8,0.2,3,0.9,0.8,3.1,2.8,1
20001170040,20,001,170040,178.9,182.2,10.1,10.9,8,221.2,154.9,13,260,132,139,250.1,232.2,155.9
20001190010,20,001,190010,0,0,0,0,0,0.1,0,0,0.1,0,0,0.1,0.1,0
20001190020,20,001,190020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20003000010,20,003,000010,32.3,68.2,6.8,2.6,0.5,83.9,19.8,4.2,87.5,21.4,19.8,86,85.4,22.4
2000300002A,20,003,00002A,155,213.3,15.8,13.8,2,268.6,103.7,21.7,279.5,113.6,105.7,289.3,270.6,120.5
2000300002B,20,003,00002B,0.4,0.7,0.1,0,0,0.8,0.3,0,0.8,0.3,0.3,0.8,0.8,0.3
2000300002C,20,003,00002C,0.1,0.2,0,0,0,0.2,0.1,0,0.2,0.1,0.1,0.2,0.2,0.1
20003000030,20,003,000030,127.4,183,20,8,3,220.1,82.5,30.8,231,99.3,78.6,247.9,230.9,101.4
20003000040,20,003,000040,100,148,9,12,2,179,77,12,187,78,66,200,185,83
20003000050,20,003,000050,15.9,31.8,2,1,0,32.8,15.9,2,31.8,18.9,18.9,30.8,28.8,21.9
20003000060,20,003,000060,23.1,25.9,3.7,1.8,1.4,34.8,16.5,3.2,36.6,17.6,13.9,39.8,36.4,17.8
20003000080,20,003,000080,10.9,40.5,1,0,0,38.5,9.9,1,42.5,6.9,8.9,38.5,38.5,9.9
20003000100,20,003,000100,10.2,20,1,0.5,0.2,24.2,6.7,1,24.2,7.2,5.9,25,23.5,8.4
20003000110,20,003,000110,26.6,54.8,8,0,1,70.8,14.6,6,70.9,18.5,16.5,73.9,67.9,21.5
20003000120,20,003,000120,10,28.6,1.8,0,0.9,30.9,8.2,1.8,32.2,7.3,7.3,32.2,32.2,8.2
20003000130,20,003,000130,12,34.4,2.2,0,1.1,37.1,9.8,2.2,38.8,8.7,8.7,38.8,38.8,9.8
2000300014A,20,003,00014A,48.1,76.1,6.5,2,0,90.3,35.7,4.8,92.3,37.7,35.8,95.1,90.3,39.6
20003000160,20,003,000160,29.8,63.3,6.2,2.4,0.5,77.6,18.3,3.8,81,19.7,18.3,79.5,79.1,20.7
20003000170,20,003,000170,57,69,3,0,0,76,42,8,79,48,41,83,82,43
20003000180,20,003,000180,18,59,2,1,3,62,16,4,66,14,13,68,66,14
20003000190,20,003,000190,30.9,61,3,1.5,0.8,73.8,20.3,3,73.8,21.8,18.1,76,71.5,25.6
20003000200,20,003,000200,77.9,87.2,12.3,6.2,4.6,117.2,55.5,10.8,123.4,59.4,47,134.2,122.6,60.2
20003000210,20,003,000210,31.4,75.3,4.3,1,0,83.9,21.9,5.2,92.9,18,19,87,82.8,27.1
20003000220,20,003,000220,49,65,4,1,2,74,34,10,80,38,36,82,78,40
20003000230,20,003,000230,6.2,10.4,0.4,0.9,0,11,4.4,1.5,13.5,3.5,4.1,12.6,12.3,4.4
20003000240,20,003,000240,35.8,60.6,2.6,5.1,0,64,25.6,8.5,78.5,20.5,23.9,73.4,71.7,25.6
20003200010,20,003,200010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20003200020,20,003,200020,49,119.8,11.3,1.1,0,144.4,33.3,3.5,139.6,38.5,26.2,147.8,138.6,38.6
20005000010,20,005,000010,78,83,7,13,1,98,65,14,99,81,70,109,102,77
20005000020,20,005,000020,114,112,6,4,4,146,87,3,145,91,83,143,156,83
20005000030,20,005,000030,111,101,13,5,3,121,101,11,127,100,95,135,128,101
20005000040,20,005,000040,212.5,211.6,20,11,4,258.5,181.4,17.1,274.3,182.7,179.4,256.8,260.6,193.5
2000500005A,20,005,00005A,355,302.6,32.8,25.4,2.2,378.2,303.7,31,406.2,304.5,260.5,437.2,400.5,310.4
2000500006A,20,005,00006A,241.7,127,12,8,0,175,201.7,9,177,205.7,163.8,212.9,170,211.7
2000500006B,20,005,00006B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000500006C,20,005,00006C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000500007A,20,005,00007A,255.1,164.1,26,22,3,208.1,226,20,216.1,236.1,203,248.1,217.1,235.1
2000500007B,20,005,00007B,0.1,0.2,0,0,0,0.2,0.1,0,0.2,0.1,0.1,0.3,0.2,0.1
2000500007C,20,005,00007C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000500008A,20,005,00008A,128.4,116.7,10.8,7.8,3.9,137.3,116.4,9.9,141.1,124.4,102.1,158.6,147.9,115.8
2000500008B,20,005,00008B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000500008D,20,005,00008D,0.1,0.2,0,0,0,0.2,0.1,0,0.2,0.1,0.1,0.2,0.2,0.1
20005000090,20,005,000090,112,135,17,9,1,171,95,6,186,84,63,205,177,94
20005000100,20,005,000100,103.3,169,20.2,2,2,215.3,71.1,3.1,226.6,61.9,55.7,233.8,219.6,69.8
20005000110,20,005,000110,58,159,22,2,1,190,43,6,205,35,30,202,203,34
20005000120,20,005,000120,30,38,4,1,0,48,21,1,48,22,17,53,51,20
20005000130,20,005,000130,41,66,9,1,1,77,39,3,80,37,28,89,84,33
20005000140,20,005,000140,117,106,25,11,1,167,81,9,176,80,62,194,175,82
2000500016A,20,005,00016A,195.6,290.3,22.3,9.9,4.9,335,160,26,333.6,181.9,153.6,360.5,343.1,178.8
2000500017A,20,005,00017A,91.3,98.9,13,7,2,116,82.2,11,121,87.2,76.1,135,122.9,88.2
2000500017B,20,005,00017B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20005100050,20,005,100050,151.1,238,14,8,5,292.1,109.1,9,296.1,109.1,93.1,314.1,301.1,110.1
20005120030,20,005,120030,51.7,39,6.8,0,0,51.7,41.9,2.9,62.4,34.1,26.3,69.2,63.4,31.2
20005180010,20,005,180010,0.2,0.3,0,0,0,0.3,0.1,0,0.3,0.2,0.1,0.3,0.3,0.2
20005180020,20,005,180020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20007000010,20,007,000010,2,1,1,2,0,3,1,0,4,2,2,4,3,2
20007000020,20,007,000020,0,5,0,1,0,5,0,1,5,0,0,6,6,0
20007000030,20,007,000030,0,16,1,0,0,16,1,0,16,1,0,16,16,0
20007000040,20,007,000040,17,47,5,0,0,51,17,2,54,15,12,54,56,13
20007000050,20,007,000050,17,45,7,1,0,47,21,2,54,15,11,55,52,18
20007000060,20,007,000060,18,41,4,0,0,45,15,2,47,14,11,46,49,12
20007000070,20,007,000070,76,149,32,3,2,195,55,9,217,42,43,216,214,46
20007000080,20,007,000080,34,94,21,0,1,109,35,6,114,31,20,127,121,27
