GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREAFUE,G20USSDGID,G20USSRCOL,G20USSISAV,G20USSILIN
23001019105,23,001,019105,1392.86,1341.78,64.53,27.22,7,1056.57,1583.34,165.09,40.28
23001020601,23,001,020601,1912.55,1368.91,70.88,31.64,3.8,1570.17,1601.18,143.03,56.33
23001020602,23,001,020602,1083.74,777.03,40.15,17.94,2.19,889.55,908.73,81.16,31.99
23001020603,23,001,020603,900.23,847.82,30.68,16.15,7.03,712.02,971.5,83.56,38
23001020604,23,001,020604,1334.94,1248.23,46.55,24.82,9.86,1056.41,1430.11,126.19,57.58
23001020605,23,001,020605,1292.23,1165.17,57.7,33.95,3.13,1024,1329.8,146.91,68.2
23001029255,23,001,029255,924,1667,33,27,4,691,1834,93,38
23001038565,23,001,038565,510,820,27,9,3,397,898,53,22
23001040035,23,001,040035,2301.31,2913.08,130.32,62.4,14.18,1833.39,3208.28,262.69,124.91
23001040665,23,001,040665,568.03,770.12,24.53,9.81,2.94,445.4,868.23,32.37,13.73
23001040770,23,001,040770,553.4,821.03,22.32,20.13,2.04,469.8,852.31,66.42,31.18
23001044585,23,001,044585,668.08,1008.15,41.52,22.04,2.03,520.21,1079.73,83.45,52.81
23001046160,23,001,046160,669.21,1013.09,36.86,13.86,2.08,510.75,1144.08,60.29,26.01
23001060020,23,001,060020,1520.58,1907.84,59.19,28.89,10.81,1161.53,2162.41,135.26,53.79
23001064570,23,001,064570,1039.16,1759.11,52.7,25.85,1.99,839.28,1878.44,102.42,66.63
23001077800,23,001,077800,1302,2057,56,32,2,1015,2255,112,61
23001079585,23,001,079585,283.84,626.89,15.3,6.15,3.01,199.72,694.56,21.58,16.37
23001387401,23,001,387401,1228.68,574.1,27.74,33.93,2.08,1073.69,662.88,81.26,29.51
23001387402,23,001,387402,1496,1489,61,28,5,1160,1743,91,70
23001387403,23,001,387403,1777.05,818.62,39.44,49.6,2.99,1555.37,944.7,117.12,42.42
23001387404,23,001,387404,1384,1148,60,28,0,1105,1347,129,31
23001387405,23,001,387405,755.4,471.52,18.06,12.7,3.67,649.86,540.09,52.2,20.6
23001387406,23,001,387406,1191.89,1575.36,62.17,25.11,5.01,934.08,1822.83,98.46,60.21
23001387407,23,001,387407,1924.42,1202.15,46.07,32.38,9.34,1655.37,1376.96,133.11,52.55
23003NA,23,003,NA,14114.3,21144.97,423.6,235.26,52.09,9877.51,24115.67,1078.68,747.34
23005002655,23,005,002655,354,625,13,12,1,255,691,33,24
23005007170,23,005,007170,1639.87,1500.77,54.86,27.43,1.96,1334.23,1699.63,130.29,49.96
23005010180,23,005,010180,5369.7,1455.16,68.54,47.68,12.91,4484.68,2146.49,315.86,37.74
23005011125,23,005,011125,1035.91,1174.55,53.42,19.79,2.97,817.27,1302.18,102.88,48.49
23005012300,23,005,012300,258,66,3,6,0,219,102,9,3
23005015430,23,005,015430,4118.88,1804.48,88.02,34.01,7,3260.7,2545.61,249.08,35.01
23005024495,23,005,024495,6213,2678,133,61,18,5100,3667,311,50
23005026525,23,005,026525,4367.58,1676.92,111.86,59.93,11.99,3757.33,2144.34,287.64,47.94
23005027025,23,005,027025,38,19,0,0,0,27,29,1,0
23005028240,23,005,028240,6527.35,4285.64,219.98,132.99,25,5198.5,5375.54,489.95,160.99
23005028870,23,005,028870,2681,2563,113,61,8,2100,2975,259,90
23005031390,23,005,031390,2404,1426,46,38,0,1972,1746,184,26
23005031600,23,005,031600,749,798,14,19,4,550,925,77,34
23005041067,23,005,041067,134,53,4,0,1,104,78,7,1
23005048085,23,005,048085,1095.22,1435.69,44.72,21.78,4.07,890.5,1569.19,84.83,57.55
23005048820,23,005,048820,1738,1761,85,35,4,1388,2025,165,52
23005053860,23,005,053860,1881.12,1019.52,47.98,29.99,4,1506.3,1305.39,168.92,19.99
23005060685,23,005,060685,692,490,14,16,2,540,588,75,16
23005061945,23,005,061945,1606,1475,60,21,1,1257,1713,137,55
23005066145,23,005,066145,9624.3,5238.84,216.46,110.32,32.09,7694.32,6833.51,545.14,160.26
23005066775,23,005,066775,535,721,18,11,0,438,769,53,25
23005073670,23,005,073670,2822.85,3058.34,108.09,47.63,6.96,2211.76,3518.73,233.03,93.22
23005084301,23,005,084301,1624.59,618.31,38.17,30.9,3.14,1368.97,776.11,141.77,29.74
23005084302,23,005,084302,902.19,343.37,21.2,17.16,1.74,760.24,431,78.73,16.52
23005084303,23,005,084303,1177.84,448.28,27.67,22.4,2.28,992.52,562.69,102.79,21.56
23005084304,23,005,084304,1206.64,459.24,28.35,22.95,2.33,1016.79,576.44,105.3,22.09
23005084305,23,005,084305,2414.53,918.96,56.73,45.92,4.67,2034.62,1153.48,210.71,44.2
23005084306,23,005,084306,1503.49,572.22,35.32,28.6,2.91,1266.93,718.26,131.2,27.53
23005084307,23,005,084307,1002.72,381.63,23.56,19.07,1.94,844.94,479.02,87.5,18.36
23005086025,23,005,086025,5844,5292,232,131,23,4672,6138,527,186
23005087845,23,005,087845,4841.42,1444.08,80.14,44.07,12.01,3994.67,2144.66,267.36,36.06
23005605411,23,005,605411,3038,361,37,53,19,2411,505,517,27
23005605412,23,005,605412,2710,427.37,46.93,98.85,0,2325.57,554.18,402.41,46.93
23005605413,23,005,605413,1763,133,8,21,0,1610,186,150,3
23005605421,23,005,605421,4344.82,349.17,65.47,65.47,6.94,3641.51,518.8,614.03,31.74
23005605422,23,005,605422,3552.32,362.71,55.32,102.32,4.03,2927.87,467.55,718.01,14.16
23005605431,23,005,605431,3475.43,646.2,57.22,99.23,19.02,2799.1,905.77,511.04,42.11
23005605432,23,005,605432,2773.31,720.82,40.99,34.99,3,2246.44,947.76,317.92,34.99
23005605441,23,005,605441,3753.42,766.54,72.06,80.12,3,3107.94,1020.7,504.51,60.06
23005605442,23,005,605442,2835,756,29,39,0,2422,978,260,16
23005605451,23,005,605451,2624.4,694.02,36.05,60.04,0,2222.95,914.26,269.25,24.05
23005605452,23,005,605452,2992.62,1172.22,73.04,44.73,2.74,2455.81,1534.66,262.93,34.69
23005719901,23,005,719901,2438.42,560.64,38.04,41.06,2,1905.96,801.89,260.24,23.04
23005719902,23,005,719902,2225.58,587.36,34.96,51.94,4,1796.04,816.11,220.76,33.96
23005719903,23,005,719903,2391.09,930.67,55.44,28.25,4.62,1996.33,1193.98,223.85,33.37
23005719904,23,005,719904,2267.52,882.76,52.59,26.78,4.38,1893.09,1132.54,212.29,31.65
23005719905,23,005,719905,2881.39,829.57,43.98,43.97,2,2528.58,1011.48,254.86,39.98
23005821051,23,005,821051,1709.62,836.9,42.55,29.07,3.72,1388.95,1021.31,167.66,40
23005821052,23,005,821052,1214.61,594.58,30.23,20.65,2.64,986.79,725.59,119.12,28.42
23005821053,23,005,821053,1877.13,918.94,46.73,31.91,4.09,1525.01,1121.45,184.07,43.91
23005821054,23,005,821054,1097.65,537.33,27.32,18.66,2.39,891.76,655.72,107.64,25.68
23005821055,23,005,821055,1737.32,822.55,43.11,28.95,3.42,1413.79,1013.72,167.46,37.28
23007NA,23,007,NA,8058.56,8632.78,353.55,182.41,30.66,6278.54,9680.98,967.27,323.27
23009NA,23,009,NA,19654.65,15145.03,556.17,385.27,41,15624.21,17550.79,1850.15,744.12
23011000590,23,011,000590,380.38,785.2,20.53,9.78,1.96,282.59,839.95,48.89,21.51
23011004020,23,011,004020,1018.07,1181.6,35.36,19.13,1,800.54,1322.2,98.24,33.25
23011004475,23,011,004475,614,986,24,15,2,473,1056,78,35
23011012350,23,011,012350,611,919,23,15,3,464,1005,75,29
23011012735,23,011,012735,1119,1398,55,29,3,869,1583,115,43
23011013470,23,011,013470,646.93,1099.19,33.94,13.98,1,507.16,1162.08,93.85,37.94
23011021001,23,011,021001,1253.23,451.32,22.71,9.88,0,1062.63,941.16,100.73,52.34
23011021002,23,011,021002,1217.37,696.1,42.21,12.1,1,948.03,994.51,95.67,26.34
23011021003,23,011,021003,1354.3,700.99,34.15,12.07,2,1136.04,1401.23,164.67,80.35
23011021004,23,011,021004,1479.1,2316.59,120.93,70.96,8,1155.3,1480.1,111.93,50.97
23011024670,23,011,024670,913,770,43,19,6,721,919,80,38
23011024950,23,011,024950,392,422,15,4,2,322,459,43,13
23011027085,23,011,027085,1712,1474,73,38,4,1405,1684,161,53
23011030550,23,011,030550,1291,446,29,27,3,1053,576,151,17
23011040175,23,011,040175,859,1263,45,19,4,630,1399,103,46
23011043080,23,011,043080,841,812,34,13,1,631,986,55,32
23011046405,23,011,046405,1091,1400,67,34,3,869,1567,114,41
23011047770,23,011,047770,568.93,548.4,15.64,5.87,0,458.46,617.8,53.76,10.75
23011054560,23,011,054560,1699,1857,55,38,3,1276,2115,194,65
23011059110,23,011,059110,698,1036,26,25,3,545,1159,61,29
23011061700,23,011,061700,472,534,16,13,0,383,601,37,22
